Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.5,2.0,5.0,1.25,2.5,5.0,8.0,0.0,6.5,0.4813,5.032,25.3822,32.848,28.2974,22.5516,13.7321,9.0501,21.8205,0.3653,3
2,3.5,2.0,5.0,1.25,2.5,5.0,8.0,0.0,6.5,0.4813,5.032,25.3822,32.848,28.2974,22.5516,13.7321,9.0501,21.8205,0.3653,3
3,3.5,3.4853,5.0,1.25,1.2374,5.0,8.0,0.0,7.9012,0.379,7.3167,25.2292,43.8708,56.4538,26.1823,13.2439,10.719,18.013,0.3308,3
4,3.5,3.4853,5.0,1.2375,2.5001,5.0,7.9998,0.0,7.9012,0.2858,9.4944,25.2536,51.2579,55.7683,20.1392,15.8934,16.3882,26.9868,0.3017,5
5,2.2806,7.9852,7.9658,0.0183,1.2306,5.0,7.8021,0.03,6.6632,8.6082,5.6299,15.6759,33.1761,22.7849,112.5464,6.2618,5.6486,18.9054,0.4122,3
6,2.2806,7.9852,7.9658,0.0183,1.2306,5.0,7.9329,0.03,6.6632,9.1549,5.6625,16.9201,33.0224,23.2181,115.8803,6.544,5.6961,19.7181,0.4013,3
7,2.2806,7.9852,7.9658,0.0743,1.2616,5.0,7.9939,0.0414,6.7273,8.8813,5.8952,17.6086,33.9112,24.0047,114.8592,6.8407,5.972,20.4626,0.3873,3
8,2.2806,7.9851,7.9998,0.0743,1.2616,5.0,7.9995,0.0417,6.6811,9.293,5.7967,17.6231,33.4492,23.2865,116.4469,6.7908,5.8385,20.3667,0.3909,3
9,2.0463,7.9947,7.9997,0.0328,1.2616,5.0,7.993,0.0417,6.6685,9.4252,5.6958,17.3708,33.5549,23.3398,117.8478,6.63,5.8289,21.1066,0.3918,3
10,2.0463,7.9943,7.9893,0.0329,1.2289,5.0,7.993,0.0417,6.6685,9.5287,5.6542,17.3631,33.3812,23.3783,118.0614,6.6033,5.7493,20.8672,0.3943,3
11,2.1967,7.9872,7.9894,1.1015,1.0565,5.0,7.9887,0.1564,2.0004,152.2326,0.8291,11.4087,4.3992,0.0446,128.4516,5.9525,0.1473,6.0788,0.74,2
12,2.0464,7.9871,7.9998,1.1156,0.9117,5.0,7.9998,0.0417,2.0019,157.7756,0.8292,11.4203,4.4249,0.0541,131.5226,5.7852,0.1619,5.9227,0.7412,2
13,2.0464,7.9871,7.9991,1.0026,0.9305,5.0,7.9998,0.0463,2.0016,156.6837,0.8031,11.4352,4.3842,0.0638,134.6664,5.6414,0.1581,6.0431,0.7423,2
14,2.0464,7.9908,7.9991,1.0026,0.9158,5.0,7.9998,0.0463,2.0016,157.2778,0.7992,11.4314,4.3696,0.0638,134.9469,5.6271,0.1557,6.0128,0.7426,2
15,2.0464,7.9946,7.9991,1.0292,0.8831,5.0,7.9998,0.0463,2.0016,158.6198,0.7969,11.4234,4.3504,0.0615,134.724,5.6324,0.1517,5.9286,0.743,2
16,2.0035,7.9946,7.9991,1.029,0.8831,5.0,7.9997,0.0758,2.0016,158.8505,0.7843,11.4006,4.3369,0.0595,134.7832,5.6202,0.1435,5.9839,0.7433,2
17,2.0035,7.9946,7.9991,1.029,0.8478,5.0,7.9997,0.0758,2.0009,160.1603,0.7735,11.3995,4.3015,0.0596,135.4492,5.5832,0.138,5.915,0.744,2
18,2.0035,7.9946,7.9991,1.0211,0.8478,5.0,7.9997,0.0758,2.0009,160.1288,0.7715,11.4006,4.2978,0.0603,135.696,5.572,0.1377,5.9207,0.7441,2
19,2.0035,7.9946,7.9991,0.9837,0.8503,5.0,7.9997,0.1105,2.0001,160.0891,0.7497,11.4042,4.2499,0.0607,136.8374,5.5212,0.1268,5.9658,0.7449,2
20,2.0043,7.9947,7.9991,0.9837,0.817,5.0,7.9997,0.1105,2.0001,161.2865,0.7402,11.4042,4.2183,0.061,137.4652,5.4872,0.1222,5.9011,0.7456,2
21,2.0027,7.9946,7.9991,0.7513,0.0132,5.0,7.9998,4.8609,2.0,215.5537,-0.0027,11.324,1.0298,-0.084,160.5878,4.4607,1.019,6.5488,0.7701,2
22,2.0,7.9985,7.9991,0.7984,0.0005,5.0,7.9998,4.9988,2.0,217.2131,-0.0041,11.3091,0.9923,-0.0858,159.1545,4.5084,1.188,6.5505,0.769,2
23,2.0003,7.9999,7.9996,0.8212,0.0003,5.0,7.9999,4.9988,2.0,217.394,-0.0039,11.3057,0.9956,-0.086,158.3771,4.5362,1.1834,6.5313,0.7688,2
24,2.0003,8.0,7.9996,0.8557,0.0003,5.0,7.9999,4.9999,2.0,217.5787,-0.0036,11.3009,1.0004,-0.0862,157.1537,4.5789,1.1777,6.5039,0.7686,2
25,2.0003,8.0,7.9996,0.8954,0.0003,5.0,7.9999,4.9999,2.0,217.7816,-0.0032,11.2954,1.0064,-0.0864,155.7604,4.628,1.1695,6.4722,0.7684,2
26,2.0003,8.0,7.9996,0.9232,0.0003,5.0,7.9999,4.9999,2.0,217.9265,-0.003,11.292,1.0106,-0.0866,154.7889,4.6629,1.1638,6.4501,0.7682,2
27,2.0003,8.0,7.9998,0.9491,0.0,5.0,8.0,4.9999,2.0,218.0766,-0.0027,11.2888,1.0145,-0.0868,153.9007,4.6951,1.1587,6.4291,0.768,2
28,2.0003,7.9999,7.9998,0.979,0.0001,5.0,8.0,4.9999,2.0,218.226,-0.0024,11.2848,1.019,-0.087,152.8656,4.7328,1.1525,6.4056,0.7679,2
29,2.0003,7.9999,7.9998,0.9991,0.0001,5.0,8.0,4.9999,2.0,218.3293,-0.0023,11.282,1.0221,-0.0871,152.1711,4.7583,1.1484,6.3897,0.7677,2
30,2.0003,7.9999,7.9999,1.0309,0.0001,5.0,8.0,4.9999,2.0,218.4928,-0.0019,11.2777,1.027,-0.0873,151.0825,4.7988,1.142,6.3649,0.7675,2
31,2.0003,7.9999,8.0,1.2802,0.0001,5.0,8.0,4.9999,2.0,219.7768,0.0008,11.2438,1.0657,-0.0888,142.7273,5.125,1.0923,6.1722,0.7659,2
