Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.3953,2.0,5.2094,1.0755,2.5872,5.0,8.0,0.0,6.814,0.3921,5.5181,26.1613,37.3544,33.9411,24.8552,13.2004,10.6124,25.3105,0.3259,3
2,2.0,3.294,5.8014,0.0,5.0,4.3782,8.0,0.0,4.8786,0.8623,4.1906,22.477,22.3476,10.9793,31.536,10.5429,10.8628,52.8003,0.3594,2
3,2.0,3.294,5.8014,0.0,5.0,4.3782,8.0,0.0,4.8786,0.8623,4.1906,22.477,22.3476,10.9793,31.536,10.5429,10.8628,52.8003,0.3594,2
4,2.0,3.294,5.8014,0.0,5.0,4.3782,8.0,0.0,4.8786,0.8623,4.1906,22.477,22.3476,10.9793,31.536,10.5429,10.8628,52.8003,0.3594,2
5,5.3,4.9871,6.5826,2.2235,5.0,3.5,7.97,2.5,7.7591,0.3051,10.6595,31.943,37.147,21.8646,11.8809,17.547,9.1012,58.9334,0.3596,5
6,5.0161,5.9575,8.0,2.0027,1.7284,5.0,8.0,0.0,8.0,1.4157,12.0178,24.9749,56.5793,35.5561,55.6639,12.651,14.2425,17.8576,0.2579,6
7,5.0161,5.9575,8.0,2.0027,1.7284,5.0,8.0,0.0,8.0,1.4157,12.0178,24.9749,56.5793,35.5561,55.6639,12.651,14.2425,17.8576,0.2579,6
8,5.0161,5.9575,8.0,2.0027,1.7284,5.0,8.0,0.0,8.0,1.4157,12.0178,24.9749,56.5793,35.5561,55.6639,12.651,14.2425,17.8576,0.2579,6
9,4.3386,8.0,7.4518,0.481,4.9552,2.8535,8.0,0.2561,7.9464,0.8177,17.9396,30.1344,41.9417,39.3397,31.3658,10.2242,33.2258,73.3649,0.1246,6
10,5.1787,8.0,7.7663,2.5602,5.0,3.3951,8.0,2.4205,8.0,0.8525,15.9545,28.1026,42.6474,18.6982,18.2292,17.8303,11.575,58.9112,0.274,5
11,2.2531,8.0,8.0,1.5785,5.0,3.6873,8.0,0.73,7.2691,1.1434,15.5632,23.2168,47.6696,20.0136,33.1708,12.9313,23.1148,72.866,0.0968,4
12,2.2531,8.0,8.0,1.5785,5.0,3.6873,8.0,0.73,7.2691,1.1434,15.5632,23.2168,47.6696,20.0136,33.1708,12.9313,23.1148,72.866,0.0968,4
13,4.8634,5.3052,8.0,2.5563,2.03,5.0,8.0,0.0,8.0,1.0704,13.043,25.9463,61.2976,32.8867,44.4798,14.3152,16.6075,19.5998,0.2315,6
