Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,3.5,2.0,5.0,1.25,2.5,5.0,8.0,0.0,6.5,0.4813,5.032,25.3822,32.848,28.2974,22.5516,13.7321,9.0501,21.8205,0.3653,3
2,3.5,2.0,5.0,1.25,2.5,5.0,8.0,0.0,6.5,0.4813,5.032,25.3822,32.848,28.2974,22.5516,13.7321,9.0501,21.8205,0.3653,3
3,8.0,8.0,7.9403,4.992,4.9904,2.0,7.9672,0.0721,8.0,0.725,36.3121,37.845,41.7299,15.599,5.1435,22.0832,50.111,32.9441,0.3324,5
4,4.291,7.9851,8.0,1.4871,2.5457,4.9559,7.7953,0.3303,7.9064,1.8796,13.7187,18.6773,56.7226,31.9161,55.392,12.6695,14.3615,23.6155,0.2412,6
5,2.1764,7.5491,7.9915,0.0374,4.824,2.7456,7.6483,0.0032,7.8,0.823,15.0266,24.8947,44.3118,38.4109,41.4452,6.2837,35.4116,90.3622,0.1654,5
6,2.7425,3.2194,7.7724,1.2316,4.8859,4.9227,7.8304,0.0249,6.4743,0.5856,8.8341,23.328,53.7882,18.4402,39.2965,12.3161,20.8366,56.1367,0.0838,5
7,2.2063,7.5986,7.9616,0.0216,4.98,4.9641,7.9483,0.0488,7.7245,1.0479,16.0075,19.3599,72.8334,40.202,59.3443,12.6381,30.6891,73.5333,0.0752,8
8,2.2087,7.959,7.938,0.0216,4.98,4.9893,7.9485,0.0943,7.792,1.1151,16.6828,18.8079,73.9188,40.9935,59.0794,13.0177,30.6572,73.0211,0.0826,8
9,3.4254,7.9968,7.6336,0.4063,4.7269,4.9228,7.9559,0.0121,7.9865,1.0259,18.6719,19.96,72.4112,43.7518,48.0782,14.9019,31.7343,57.6802,0.0672,8
10,5.342,4.9007,7.9852,0.0084,4.3705,4.7555,7.976,0.2474,7.9992,0.4979,12.1716,28.7401,63.1489,47.4477,58.9444,11.2476,23.4654,52.6646,0.0293,6
11,5.342,4.9007,7.9852,0.0084,4.3705,4.8956,7.9559,0.2474,7.9993,0.5056,12.2065,27.7719,65.2381,47.4841,59.7246,11.5738,23.2078,51.2864,0.0267,7
12,3.5102,7.8547,7.7658,0.6575,4.806,4.9321,7.9587,0.0611,7.9277,1.0187,18.9007,20.2111,73.0772,40.0187,46.1699,15.5005,31.6012,57.3256,0.0639,8
13,5.3569,7.9229,7.9938,0.2014,4.2683,4.846,7.755,0.0233,7.9454,1.0313,16.7657,19.885,63.292,41.0661,57.0976,12.6041,25.4525,39.3752,0.0983,7
14,5.3632,7.9229,7.9938,0.1963,4.2628,4.8457,7.9645,0.0266,7.9454,1.0815,16.8448,22.314,62.7925,42.1631,60.4514,13.3604,25.5893,41.718,0.0658,7
15,2.2835,3.1097,7.5344,0.0115,4.9965,4.8833,7.9983,0.0819,7.9198,0.3302,11.1517,28.4505,76.6806,52.9562,47.472,11.1425,31.8546,90.1354,0.1157,7
16,2.6044,7.7782,7.987,0.1552,4.9993,4.8164,7.9455,0.076,7.9814,0.9881,17.8064,20.3042,75.2854,43.9151,54.9597,13.0351,33.4695,73.7655,0.0626,8
17,7.9546,7.8579,7.6382,0.0339,4.9846,4.8891,7.9973,0.0456,7.9369,0.7973,19.4196,24.5779,60.2937,43.2431,48.8331,16.9316,28.1426,35.1235,0.0993,7
18,2.0535,7.9858,7.9388,0.0481,4.9971,4.9294,7.9425,0.0738,7.9393,1.0637,17.523,19.027,76.9111,44.0519,57.3737,12.9623,33.0166,76.6633,0.0796,8
19,2.0535,7.9858,7.9614,0.0481,4.997,4.9294,7.9425,0.0738,7.8945,1.0806,17.3073,18.9759,76.0461,42.9703,58.0068,12.8829,32.5407,76.2291,0.0803,8
20,2.8465,7.9858,7.9614,0.0487,4.8396,4.984,7.9425,0.0738,7.8945,1.1003,17.1133,19.3674,73.5376,42.7375,59.4096,13.1728,30.3636,66.1374,0.0751,8
21,2.0534,7.962,7.9521,0.0146,4.9966,4.981,7.8913,0.048,7.9948,1.0411,17.7461,18.4415,79.2706,45.4633,57.5156,12.8455,33.7713,76.1236,0.0874,8
22,2.0534,7.7827,7.9521,0.0146,4.9984,4.981,7.8952,0.0382,8.0,0.9996,17.5404,18.759,79.6177,45.9171,57.3807,12.7676,33.9916,76.8241,0.0832,8
23,2.0027,7.832,7.9523,1.1719,4.9301,4.9942,7.8072,0.0023,7.9836,1.0221,20.6309,17.4496,84.4939,37.2943,40.403,15.6398,36.8832,66.0101,0.1063,7
24,2.0094,2.1608,7.9939,0.0747,4.9951,4.9942,7.8072,0.122,7.9836,0.319,10.1782,27.4792,84.1968,52.0764,51.5754,9.688,31.8581,94.3265,0.1367,7
25,2.0843,7.9958,7.9674,0.0381,4.9949,4.994,7.9428,0.0106,7.9838,1.0656,17.9911,18.9027,79.4842,45.4545,58.3773,13.1334,34.3433,76.1638,0.0813,8
26,7.3978,7.7839,7.968,0.0405,4.9803,4.8787,7.94,0.0112,7.9838,0.8314,19.3584,23.9436,64.0312,43.0923,53.6606,15.5443,29.6033,39.0462,0.0744,7
27,2.1578,7.6053,7.9999,0.0044,4.9994,4.9677,7.9997,0.0435,7.9867,0.986,17.2417,20.3235,78.8671,46.2101,59.7801,12.9393,33.8119,78.7887,0.0624,8
28,2.1562,7.651,7.9994,0.0044,4.9994,4.7903,7.9997,0.0435,7.8113,1.0211,16.4375,20.6335,72.1386,42.0719,59.27,12.2907,32.3038,78.3372,0.0582,8
29,2.1438,7.8868,7.9416,0.0116,4.8199,4.9793,7.9998,0.0517,7.9925,1.0714,17.1587,19.7798,77.153,46.2134,60.6727,12.917,32.1673,74.1977,0.0696,8
30,2.1438,7.8924,7.9416,0.2127,4.8028,4.9793,7.9992,0.0517,7.8063,1.1446,16.7758,19.4256,73.8293,40.6757,58.3519,13.2824,30.5857,70.2689,0.0743,8
31,7.9253,7.6698,7.9108,0.042,4.9925,4.5434,7.9964,0.4028,7.9832,0.7533,17.7343,26.813,55.4327,40.7501,50.4825,14.9887,24.4752,39.9196,0.0676,7
