Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
1,4.1731,6.7688,7.9556,1.0822,0.2495,4.5815,7.5079,0.8913,2.0,123.5817,0.315,11.1635,2.2688,-0.0095,119.0371,3.9109,0.0059,3.4636,28.2089,0.7786,2
2,3.1131,6.0404,4.1756,4.3058,1.3574,3.3081,4.8972,3.5725,5.1487,0.9914,1.7849,2.2884,6.6206,0.7309,0.943,7.0637,0.0106,3.4752,0.8674,0.8221,1
3,7.9873,4.067,2.6259,1.9461,1.2348,4.7433,7.6026,0.7381,3.0726,14.0553,1.1109,14.4609,2.5569,1.5008,9.1963,16.6604,0.1818,0.8662,3.7134,0.7638,2
4,3.1139,6.1917,6.8001,0.0785,0.4442,3.093,6.1473,3.0163,7.2323,0.7748,1.4847,10.0408,12.8912,17.0767,41.7164,1.9123,0.1583,14.4339,0.6109,0.6491,1
5,4.0763,2.2484,5.3539,3.399,3.0337,2.4056,2.2048,0.1787,3.1258,0.1276,1.5247,0.1669,5.2126,0.0058,0.5035,0.9778,1.8215,2.2294,0.9134,0.9172,0
6,2.7198,3.4629,6.1611,1.6587,1.7829,4.5778,5.7764,2.3023,7.7567,0.1966,3.7104,7.0869,37.8736,22.755,14.558,5.6204,2.0073,15.5138,0.5525,0.6016,1
7,7.3319,7.9,6.5439,3.1388,0.8359,3.7131,3.7421,4.4097,4.2123,5.1825,0.6114,0.5838,3.0655,-0.0714,6.942,2.6519,0.0816,0.4407,1.8683,0.8809,1
8,7.9288,5.6984,2.3478,4.8212,3.4855,4.089,6.2012,3.8276,5.2854,0.3812,4.4008,6.6123,8.231,1.3366,-0.0264,29.0876,0.1707,2.2421,0.8368,0.7632,1
9,3.3997,2.0183,7.9806,1.5525,0.8626,2.4466,5.0974,2.6602,6.313,0.3206,0.8199,8.2543,10.9781,5.401,24.7459,0.9574,0.2469,11.8457,0.7296,0.756,0
10,3.0436,4.2519,7.1222,3.1251,3.5517,4.1947,4.4721,4.5142,7.9247,0.3527,4.2532,2.6681,41.6883,7.8311,4.2021,5.7596,0.6699,19.7026,0.6022,0.6583,0
11,7.3364,5.2415,4.221,3.3514,4.4861,3.7683,2.0465,0.4486,7.5082,6.6292,15.7831,0.0757,44.5554,11.1151,-0.0121,5.6648,17.9429,1.8947,1.968,0.6247,2
12,6.3565,5.0883,7.2089,1.694,1.0971,4.1337,7.3473,1.6064,3.6244,22.706,0.8449,15.6412,4.4094,0.6472,54.4617,5.9005,0.081,4.0069,5.5767,0.73,2
13,7.8555,2.9359,5.0457,1.1133,4.4323,2.706,7.3392,3.2781,6.6952,0.0266,3.4443,29.6629,11.9801,13.7755,7.0407,10.566,1.5641,31.085,0.5619,0.6354,1
14,6.8254,7.9853,3.104,0.5185,2.7967,2.3874,7.6778,4.2684,5.0294,1.9157,1.2773,20.1338,1.5494,4.0533,8.041,10.9433,0.033,12.4571,0.9212,0.7118,1
15,3.7741,5.337,7.0075,4.3079,1.3983,2.5577,4.3073,3.0928,7.0607,0.3777,3.9625,3.0,17.717,3.4389,2.9915,3.0782,0.7082,6.199,0.7337,0.768,0
16,4.0659,7.0448,4.376,4.9575,2.366,4.7422,7.6674,0.3678,3.0683,30.289,4.8408,10.2963,7.7678,0.182,4.9909,26.4899,1.502,3.4633,7.3693,0.7233,2
17,4.2343,7.0149,7.0337,3.6966,3.1369,3.9075,5.0891,3.9282,2.5002,15.5331,0.6685,1.8293,3.1431,-0.1026,8.9445,5.8155,0.007,3.7945,4.1207,0.8392,1
18,6.1824,4.0074,6.9004,1.9794,4.9742,3.7835,3.4249,2.5195,2.9764,0.4247,1.0616,0.5628,6.5081,-0.0619,4.4866,2.5898,0.1744,4.1288,0.8282,0.8648,0
19,7.3298,4.5899,3.3713,3.4391,3.1085,4.8349,2.146,4.655,6.8276,0.6522,2.9026,0.0176,21.1174,2.8875,-0.0263,6.8901,0.0642,0.8412,0.7515,0.7885,1
20,4.4398,6.5978,2.0653,3.3188,3.2896,4.4308,4.5944,3.5973,4.0804,0.947,1.8188,0.8187,5.7167,0.3495,0.1567,13.4784,0.0188,2.5283,0.8396,0.8269,2
21,6.5029,7.5745,2.6263,0.8938,3.302,4.3579,3.3714,3.8121,7.8161,1.031,5.1095,0.3862,23.1919,17.7392,0.3037,6.9923,0.502,3.373,0.7089,0.6971,1
22,6.2181,4.2898,4.5589,2.0601,2.1271,2.5998,3.0347,3.8917,3.2089,0.3724,0.1854,0.438,1.0755,-0.0255,1.3368,1.2475,0.051,1.3253,0.8923,0.9207,0
23,4.1102,5.772,7.8923,4.7936,4.5678,2.6828,4.9844,4.094,7.9571,0.6819,9.7836,5.6983,37.3539,4.6955,1.9532,7.9026,3.2925,28.065,0.5639,0.6001,2
