Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,1.0,0.33,0.0,0.0,0.67,0.33,1.0,0.67,1.0,1.5335,1.1727,0.5976,1.2299,1.515,1.1727,1.5335,0.4626,1.5335,0.3172,4
2,1.0,0.33,0.67,0.0,0.7506,0.33,0.33,0.6472,0.9992,1.5598,1.1505,1.5413,1.2078,1.7119,1.1505,0.7,0.4953,1.5616,0.3008,4
3,0.67,0.67,0.67,0.67,1.0,0.0,0.0,0.0,1.0,1.3604,0.6011,1.3604,0.6011,1.3792,1.3574,0.4295,1.3574,1.3792,0.3654,0
4,1.0,0.7763,0.6932,0.297,0.2976,0.0575,0.9785,0.0,0.9828,1.5716,0.2377,1.6112,1.1631,0.6842,1.1979,1.6197,1.1979,1.6105,0.346,4
5,0.3488,0.3298,1.0,0.9942,0.9704,0.3292,0.3312,0.0086,0.9966,0.842,1.0549,1.6716,0.3054,1.7362,1.0554,0.8222,1.1127,1.6793,0.3634,3
6,0.9876,0.9983,1.0,0.033,0.0151,0.4291,0.9677,0.0182,0.9966,1.7576,0.2594,1.7298,1.0623,0.8114,0.8779,1.7995,1.0623,1.7375,0.3601,4
7,0.3287,0.9854,0.1396,0.0382,1.0,0.3495,0.9946,0.0128,1.0,0.5929,0.4801,0.5207,1.2893,1.4622,1.2153,1.4748,1.2893,1.4622,0.3739,3
8,0.9443,0.0189,1.0,0.9913,0.9704,0.329,0.3327,0.0088,0.0039,1.4558,1.3905,1.3383,0.6027,1.405,1.3351,0.463,1.3905,0.3849,0.3889,1
9,0.33,0.9893,1.0,0.0028,0.9456,0.3474,0.67,0.9836,0.0207,0.812,0.3031,1.6633,1.1198,1.7749,1.0464,1.645,0.2913,0.7389,0.4506,3
10,0.3587,0.3407,0.9505,0.0194,0.9773,0.3292,0.3297,0.9298,0.9967,0.8184,1.0744,1.7414,1.1414,1.6886,1.0843,0.7844,0.2188,1.6458,0.3797,3
11,0.3392,0.9955,0.0047,0.0026,0.9912,0.0152,0.988,0.3163,0.6871,0.3214,0.7309,0.2349,1.5003,1.2215,1.5003,1.2291,1.4549,1.2263,0.425,3
12,0.9443,0.9983,0.7879,0.9977,0.9535,0.3308,0.989,0.0011,0.9533,2.3821,-0.2865,2.4579,-0.2878,2.3665,0.4991,2.2984,0.5614,2.367,0.6391,5
13,0.6715,0.9983,0.7007,0.0105,0.9704,0.3308,0.9978,0.0011,0.0041,1.3671,0.5786,1.4397,1.3552,1.4482,1.2982,1.387,1.3552,0.4323,0.3124,0
14,0.0176,0.3157,0.9996,0.004,0.9828,0.3321,0.9945,0.9998,0.9675,0.8867,0.954,1.7998,1.0017,1.8369,0.9413,1.8114,0.1966,1.8684,0.3702,4
15,0.9333,0.0352,0.672,0.0029,0.0003,0.0132,0.9823,0.0019,0.9698,0.8989,1.8371,0.7408,1.8371,-0.2506,1.8371,0.7981,1.8371,0.8266,0.4883,4
16,0.0592,0.0287,0.998,0.0175,0.9674,0.3292,0.9901,0.0048,0.9967,0.2657,1.478,1.2337,1.478,1.3026,1.423,1.2523,1.478,1.2369,0.2868,3
17,0.0592,0.0287,0.998,0.0175,0.9674,0.3292,0.9901,0.0048,0.9967,0.2657,1.478,1.2337,1.478,1.3026,1.423,1.2523,1.478,1.2369,0.2868,3
18,0.0592,0.9998,0.9996,0.0472,0.9872,0.3391,0.948,0.1026,0.9675,0.8136,0.2607,1.7326,1.0606,1.7605,0.9944,1.8384,1.0605,1.8018,0.3509,4
19,0.9541,0.9983,0.7847,0.0107,0.0005,0.3332,0.989,0.0011,0.9533,1.6426,0.4316,1.7388,1.2203,0.6101,1.1604,1.5703,1.2203,1.6441,0.3195,4
20,0.9357,0.9983,0.7847,0.0107,0.0005,0.3332,0.989,0.0011,0.0091,1.1785,0.8705,1.2455,1.623,0.0625,1.5659,1.0689,1.623,0.0625,0.4848,3
21,0.9357,0.9983,0.7847,0.0107,0.0005,0.3332,0.989,0.0011,0.0091,1.1785,0.8705,1.2455,1.623,0.0625,1.5659,1.0689,1.623,0.0625,0.4848,3
22,0.2986,0.9245,0.0877,0.0424,0.9895,0.0035,0.9374,0.0008,0.8886,0.181,0.6884,0.1331,1.5733,1.1323,1.5733,1.2394,1.5733,1.3064,0.4649,3
23,0.8829,0.0018,0.0028,0.0467,0.9379,0.1112,0.6641,0.3304,0.9782,1.1853,1.6718,-0.0073,1.6718,1.1113,1.6716,0.9423,1.6171,1.0298,0.3807,4
24,0.3013,0.0387,0.9859,0.0336,0.7121,0.064,0.9711,0.9825,0.0011,0.1307,1.6104,1.0924,1.6104,1.1446,1.6104,1.1257,0.8254,0.0804,0.4785,3
25,0.9374,0.3304,0.9187,0.0453,0.9942,0.0036,0.0127,0.0121,0.9793,1.2735,1.491,1.3035,1.5465,1.1557,1.5465,0.1706,1.5465,1.19,0.3121,4
26,0.9443,0.9983,0.7879,0.9899,0.0103,0.3308,0.9585,0.0011,0.0352,1.6747,0.4183,1.756,0.4006,0.6259,1.1501,1.6484,1.2081,0.6259,0.4405,3
27,0.0021,0.898,0.6649,0.032,0.9991,0.29,0.0738,0.9769,0.9964,0.5636,0.3055,1.4702,1.256,1.5044,1.2252,0.5636,0.4267,1.5107,0.4607,3
28,0.0021,0.898,0.6649,0.032,0.9991,0.29,0.0738,0.9769,0.9964,0.5636,0.3055,1.4702,1.256,1.5044,1.2252,0.5636,0.4267,1.5107,0.4607,3
29,0.9418,0.9622,0.9142,0.3649,0.9824,0.0535,0.0488,0.9999,0.022,1.7817,0.2494,1.8236,1.0281,1.7027,1.1197,0.7391,0.3254,0.7391,0.46,3
30,0.9317,0.9428,0.8447,0.352,0.0484,0.0541,0.9974,0.0053,0.6192,1.5742,0.4256,1.6547,1.2343,0.4917,1.3106,1.4425,1.3106,1.271,0.3319,2
