Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,1.0,0.33,0.0,0.0,0.67,0.33,1.0,0.67,1.0,1.5335,1.1727,0.5976,1.2299,1.515,1.1727,1.5335,0.4626,1.5335,0.3172,4
2,0.67,0.0,0.0,0.3426,0.6559,0.33,0.67,0.702,0.67,1.0099,1.633,0.0483,1.5681,0.9698,1.5784,1.0099,0.8323,1.0099,0.4085,3
3,0.9966,0.0621,0.9832,0.038,0.67,0.0,0.33,0.33,0.9999,1.247,1.4701,1.278,1.4701,1.2198,1.4701,0.3525,1.4144,1.239,0.2695,3
4,0.9966,0.0621,0.9832,0.038,0.67,0.0,0.33,0.33,0.9999,1.247,1.4701,1.278,1.4701,1.2198,1.4701,0.3525,1.4144,1.239,0.2695,3
5,0.9966,0.0621,0.9832,0.038,0.67,0.0,0.33,0.33,0.9999,1.247,1.4701,1.278,1.4701,1.2198,1.4701,0.3525,1.4144,1.239,0.2695,3
6,0.9966,0.0621,0.9832,0.038,0.67,0.0,0.33,0.33,0.9999,1.247,1.4701,1.278,1.4701,1.2198,1.4701,0.3525,1.4144,1.239,0.2695,3
7,0.936,0.67,0.0187,0.6636,0.6301,0.3174,0.0272,0.6746,0.5258,1.4003,0.699,0.3077,0.7141,1.1333,1.4008,0.3077,0.6883,0.8037,0.5046,0
8,0.9941,0.0025,1.0,0.037,0.9996,0.9265,0.0472,0.051,0.8925,1.524,1.2493,1.5105,1.2493,1.5113,0.3331,0.5724,1.2493,1.6985,0.3362,4
9,0.0411,0.6817,0.9711,0.038,0.7363,0.0024,0.096,0.9891,0.0104,-0.2842,1.1217,0.7929,1.8595,0.8631,1.8595,-0.2841,1.1103,-0.2842,0.7277,2
10,0.9963,0.0013,0.9353,0.9528,0.7417,0.0024,0.9472,0.0,0.0029,1.337,1.3985,1.4617,0.539,1.4693,1.3985,1.4407,1.3985,0.3741,0.3258,2
11,1.0,0.7874,0.8971,0.975,0.0216,0.9839,1.0,0.9955,0.9992,2.4824,-0.7078,2.6487,-0.5631,1.6313,-0.5437,2.4824,-0.5173,2.4842,0.9353,5
12,0.0338,0.0628,0.972,0.9713,0.1121,0.9972,0.9569,0.0229,0.9954,0.6595,1.1821,1.6521,0.3348,0.6597,0.3876,1.682,1.1821,1.601,0.4461,3
13,0.0588,0.0628,0.9717,0.9713,0.1121,0.9972,0.9569,0.0229,0.9954,0.6715,1.1727,1.6637,0.3245,0.6718,0.3774,1.693,1.1727,1.6121,0.4471,3
14,0.0105,0.0096,0.923,0.969,0.0356,0.0678,0.9896,0.0532,0.9994,0.0594,1.6252,1.1965,0.8163,0.0594,1.6252,1.0646,1.6252,1.041,0.4957,3
15,0.995,0.7953,0.9758,0.9756,0.8323,0.9874,0.9999,0.9957,0.9974,2.7258,-0.9833,2.7634,-0.827,2.908,-0.8003,2.7157,-0.7808,2.7209,1.0571,5
16,0.8917,0.8122,0.9994,0.3273,0.9892,0.0179,0.0219,0.1122,0.9802,1.79,0.1828,1.6042,1.1161,1.6273,1.1716,0.6729,1.1714,1.6471,0.3617,4
17,0.0004,0.0,0.9593,0.0105,0.9572,0.0024,0.0,0.0,0.6926,-1.1367,2.3877,0.0427,2.3877,0.0473,2.3877,-1.1367,2.3877,-0.0144,1.0145,4
18,0.9966,0.0257,0.9378,0.0218,0.0313,0.0122,0.9652,0.9957,0.9974,1.5339,1.2363,1.6526,1.2363,0.5892,1.2363,1.6019,0.4436,1.532,0.3161,4
19,0.995,0.7953,0.9758,0.9756,0.8323,0.9874,0.9999,0.9957,0.9974,2.7258,-0.9833,2.7634,-0.827,2.908,-0.8003,2.7157,-0.7808,2.7209,1.0571,5
20,1.0,0.8821,0.0049,0.0172,0.9968,0.9472,0.995,0.0784,0.0078,1.5005,0.2927,0.5616,1.2575,1.5079,0.3743,1.5122,1.2575,0.5616,0.4683,3
21,0.985,0.0459,0.0091,0.9012,0.9894,0.996,0.9358,0.9958,0.0071,1.9308,0.9136,0.9946,-0.0706,1.9213,0.0922,2.0234,0.0918,0.9946,0.5952,3
22,0.1358,0.1511,0.0619,0.9685,0.0,0.9705,0.9574,0.9229,0.0,0.1306,1.5745,0.1299,0.7611,0.1299,0.7646,1.1993,0.6887,0.1299,0.6724,1
23,0.0107,0.0051,0.9644,0.3217,0.1077,0.9889,0.0353,0.9302,0.0546,-0.3985,1.9345,0.7035,1.8878,-0.3983,1.1918,-0.3985,1.095,-0.3985,0.8729,2
24,0.9873,0.1049,0.9105,0.0574,0.0993,0.957,0.9786,0.9624,0.0132,1.5949,1.2025,1.7326,1.2027,0.6331,0.3309,1.6138,0.3407,0.6329,0.4563,3
25,0.8479,0.9161,0.9764,0.9979,0.993,0.9874,0.9999,0.9955,0.9974,2.9439,-0.9823,2.7999,-0.8198,2.7675,-0.8446,2.7535,-0.8256,2.7587,1.0662,5
26,0.8314,0.1621,0.0001,0.0077,0.9601,0.9655,0.9907,0.0367,0.0,1.2058,1.6711,-0.0085,1.6726,1.0678,0.8621,0.9997,1.6726,-0.0085,0.5145,3
27,0.8479,0.9161,0.9764,0.9979,0.993,0.9874,0.9999,0.9955,0.9974,2.9439,-0.9823,2.7999,-0.8198,2.7675,-0.8446,2.7535,-0.8256,2.7587,1.0662,5
