Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,1.0,0.33,0.0,0.0,0.67,0.33,1.0,0.67,1.0,1.5335,1.1727,0.5976,1.2299,1.515,1.1727,1.5335,0.4626,1.5335,0.3172,4
2,0.9928,0.67,0.6725,0.0001,0.3244,0.67,0.9912,0.33,0.6759,1.6959,0.3277,1.6678,1.1059,0.8239,0.3277,1.6995,1.0479,1.6764,0.4107,4
3,0.6781,0.0091,0.6697,0.0275,0.9809,0.6923,0.9896,0.9954,0.67,1.841,0.9668,1.8198,0.9668,1.8803,0.1237,1.8617,0.149,1.8205,0.4551,5
4,0.6781,0.0091,0.6697,0.0275,0.9809,0.6923,0.9896,0.9954,0.67,1.841,0.9668,1.8198,0.9668,1.8803,0.1237,1.8617,0.149,1.8205,0.4551,5
5,0.7,0.0091,0.6837,0.0118,0.9648,0.6923,0.9634,0.9895,0.667,1.88,0.9777,1.8423,0.9777,1.9008,0.1357,1.9035,0.1483,1.8004,0.4521,5
6,0.3075,0.6684,0.67,0.3397,0.984,0.999,0.997,0.67,0.67,1.2209,-0.0379,2.0418,0.697,2.0939,-0.062,2.066,-0.042,2.0418,0.623,4
7,0.3075,0.6684,0.67,0.3397,0.984,0.999,0.997,0.67,0.67,1.2209,-0.0379,2.0418,0.697,2.0939,-0.062,2.066,-0.042,2.0418,0.623,4
8,0.3075,0.6684,0.67,0.3397,0.984,0.999,0.997,0.67,0.67,1.2209,-0.0379,2.0418,0.697,2.0939,-0.062,2.066,-0.042,2.0418,0.623,4
9,0.3075,0.6684,0.67,0.3397,0.984,0.999,0.997,0.67,0.67,1.2209,-0.0379,2.0418,0.697,2.0939,-0.062,2.066,-0.042,2.0418,0.623,4
10,0.3075,0.6684,0.67,0.3397,0.984,0.999,0.997,0.67,0.67,1.2209,-0.0379,2.0418,0.697,2.0939,-0.062,2.066,-0.042,2.0418,0.623,4
11,0.6858,0.666,0.67,0.3408,0.9797,0.999,0.997,0.67,0.67,2.2065,-0.1612,2.1686,0.576,2.229,-0.1918,2.1925,-0.1715,2.1686,0.6775,5
12,0.6858,0.666,0.67,0.3466,0.9797,0.999,0.9829,0.6575,0.67,2.1997,-0.1541,2.1617,0.5769,2.2221,-0.1847,2.2155,-0.1317,2.1617,0.6706,5
13,0.6858,0.666,0.67,0.3466,0.9797,0.999,0.9829,0.6575,0.67,2.1997,-0.1541,2.1617,0.5769,2.2221,-0.1847,2.2155,-0.1317,2.1617,0.6706,5
14,0.6858,0.666,0.67,0.3466,0.9797,0.999,0.9829,0.6575,0.67,2.1997,-0.1541,2.1617,0.5769,2.2221,-0.1847,2.2155,-0.1317,2.1617,0.6706,5
15,0.6858,0.666,0.67,0.3466,0.9797,0.999,0.9829,0.6575,0.67,2.1997,-0.1541,2.1617,0.5769,2.2221,-0.1847,2.2155,-0.1317,2.1617,0.6706,5
16,0.6858,0.666,0.67,0.3466,0.9797,0.999,0.9829,0.6575,0.67,2.1997,-0.1541,2.1617,0.5769,2.2221,-0.1847,2.2155,-0.1317,2.1617,0.6706,5
17,0.6836,0.6673,0.67,0.3407,0.9805,0.999,0.9959,0.6579,0.67,2.1968,-0.16,2.1642,0.5803,2.2229,-0.1872,2.1905,-0.1353,2.1642,0.6719,5
18,0.6836,0.6673,0.67,0.3407,0.9805,0.999,0.9959,0.6579,0.67,2.1968,-0.16,2.1642,0.5803,2.2229,-0.1872,2.1905,-0.1353,2.1642,0.6719,5
19,0.6947,0.6673,0.67,0.3408,0.9942,0.999,0.997,0.6818,0.67,2.2384,-0.177,2.1806,0.5645,2.2106,-0.2042,2.2044,-0.2136,2.1806,0.6872,5
20,0.8624,0.6673,0.67,0.3529,0.9942,0.999,0.997,0.6729,0.67,2.4487,-0.2342,2.2355,0.4992,2.2654,-0.2616,2.2592,-0.2487,2.2355,0.7106,5
21,0.8624,0.6673,0.6989,0.3529,0.9942,0.999,0.997,0.6745,0.6817,2.4617,-0.2482,2.3154,0.4862,2.2786,-0.2756,2.2725,-0.2666,2.2768,0.7173,5
22,0.8624,0.6673,0.6989,0.3529,0.9942,0.999,0.997,0.6745,0.6817,2.4617,-0.2482,2.3154,0.4862,2.2786,-0.2756,2.2725,-0.2666,2.2768,0.7173,5
23,0.8624,0.6673,0.6989,0.3529,0.9942,0.999,0.997,0.6745,0.6817,2.4617,-0.2482,2.3154,0.4862,2.2786,-0.2756,2.2725,-0.2666,2.2768,0.7173,5
24,0.8624,0.6673,0.702,0.3529,0.9942,0.999,0.997,0.673,0.695,2.4663,-0.2531,2.3265,0.4817,2.2833,-0.2805,2.2772,-0.2678,2.3115,0.7191,5
25,0.8624,0.6673,0.702,0.3529,0.9942,0.999,0.9972,0.6742,0.695,2.4667,-0.2535,2.3269,0.4813,2.2837,-0.281,2.2773,-0.2713,2.3119,0.7196,5
26,0.8624,0.6669,0.702,0.3611,0.9643,0.9973,0.9963,0.6742,0.695,2.4592,-0.2442,2.3192,0.4796,2.3358,-0.2767,2.2715,-0.2631,2.3042,0.717,5
27,0.8624,0.6669,0.702,0.3611,0.9643,0.9973,0.9963,0.6742,0.695,2.4592,-0.2442,2.3192,0.4796,2.3358,-0.2767,2.2715,-0.2631,2.3042,0.717,5
28,0.8624,0.6669,0.702,0.3611,0.9643,0.9973,0.9963,0.6742,0.695,2.4592,-0.2442,2.3192,0.4796,2.3358,-0.2767,2.2715,-0.2631,2.3042,0.717,5
29,0.8624,0.6669,0.6338,0.3612,0.9643,0.9973,0.9963,0.6742,0.695,2.438,-0.2216,2.1299,0.5006,2.3144,-0.2539,2.25,-0.2404,2.2827,0.7069,5
30,0.8624,0.6669,0.6338,0.3612,0.9643,0.9973,0.9963,0.6742,0.695,2.438,-0.2216,2.1299,0.5006,2.3144,-0.2539,2.25,-0.2404,2.2827,0.7069,5
31,0.8624,0.6669,0.702,0.3611,0.9536,0.9973,0.9963,0.6742,0.695,2.4559,-0.2407,2.3159,0.4829,2.3517,-0.2731,2.2682,-0.2596,2.3009,0.7154,5
32,0.8624,0.6669,0.702,0.3611,0.9536,0.9973,0.9963,0.6742,0.695,2.4559,-0.2407,2.3159,0.4829,2.3517,-0.2731,2.2682,-0.2596,2.3009,0.7154,5
33,0.8624,0.6669,0.702,0.3611,0.9536,0.9973,0.9963,0.6742,0.695,2.4559,-0.2407,2.3159,0.4829,2.3517,-0.2731,2.2682,-0.2596,2.3009,0.7154,5
34,0.8624,0.6669,0.702,0.3611,0.9536,0.9973,0.9963,0.6742,0.695,2.4559,-0.2407,2.3159,0.4829,2.3517,-0.2731,2.2682,-0.2596,2.3009,0.7154,5
35,0.8624,0.6669,0.702,0.3611,0.9536,0.9973,0.9963,0.6742,0.695,2.4559,-0.2407,2.3159,0.4829,2.3517,-0.2731,2.2682,-0.2596,2.3009,0.7154,5
36,0.8624,0.6669,0.702,0.3611,0.9536,0.9973,0.9963,0.6742,0.695,2.4559,-0.2407,2.3159,0.4829,2.3517,-0.2731,2.2682,-0.2596,2.3009,0.7154,5
37,0.8676,0.6669,0.702,0.3611,0.9536,0.9973,0.972,0.6742,0.695,2.4474,-0.2344,2.3099,0.4887,2.3457,-0.2668,2.3118,-0.2533,2.2949,0.7126,5
38,0.8624,0.6374,0.7011,0.3611,0.9536,0.9973,0.9963,0.6742,0.7219,2.4548,-0.1596,2.313,0.4839,2.3506,-0.272,2.2671,-0.2585,2.354,0.7051,5
39,0.8624,0.6374,0.7011,0.3611,0.9536,0.9973,0.9963,0.6742,0.7219,2.4548,-0.1596,2.313,0.4839,2.3506,-0.272,2.2671,-0.2585,2.354,0.7051,5
40,0.8624,0.6374,0.7011,0.3611,0.9536,0.9973,0.9963,0.6742,0.7219,2.4548,-0.1596,2.313,0.4839,2.3506,-0.272,2.2671,-0.2585,2.354,0.7051,5
41,0.8624,0.6374,0.7011,0.3611,0.9536,0.9973,0.9963,0.6742,0.7219,2.4548,-0.1596,2.313,0.4839,2.3506,-0.272,2.2671,-0.2585,2.354,0.7051,5
42,0.8624,0.6622,0.702,0.3611,0.9213,0.9973,0.9963,0.6742,0.695,2.4444,-0.2163,2.3043,0.4943,2.3904,-0.2608,2.2565,-0.2473,2.2893,0.7085,5
43,0.8624,0.6622,0.702,0.3611,0.9213,0.9973,0.9963,0.6742,0.695,2.4444,-0.2163,2.3043,0.4943,2.3904,-0.2608,2.2565,-0.2473,2.2893,0.7085,5
44,0.8624,0.6622,0.702,0.3611,0.9213,0.9973,0.9963,0.6742,0.695,2.4444,-0.2163,2.3043,0.4943,2.3904,-0.2608,2.2565,-0.2473,2.2893,0.7085,5
45,0.8624,0.6622,0.702,0.3611,0.9213,0.9973,0.9963,0.6742,0.695,2.4444,-0.2163,2.3043,0.4943,2.3904,-0.2608,2.2565,-0.2473,2.2893,0.7085,5
46,0.8624,0.6622,0.702,0.3611,0.9213,0.9973,0.9963,0.6742,0.695,2.4444,-0.2163,2.3043,0.4943,2.3904,-0.2608,2.2565,-0.2473,2.2893,0.7085,5
47,0.8624,0.6622,0.702,0.3611,0.9213,0.9973,0.9963,0.6742,0.695,2.4444,-0.2163,2.3043,0.4943,2.3904,-0.2608,2.2565,-0.2473,2.2893,0.7085,5
48,0.8624,0.6622,0.702,0.3611,0.9213,0.9973,0.9963,0.6742,0.695,2.4444,-0.2163,2.3043,0.4943,2.3904,-0.2608,2.2565,-0.2473,2.2893,0.7085,5
49,0.8624,0.6622,0.702,0.3611,0.9213,0.9973,0.9963,0.6742,0.695,2.4444,-0.2163,2.3043,0.4943,2.3904,-0.2608,2.2565,-0.2473,2.2893,0.7085,5
50,0.8624,0.6622,0.702,0.3611,0.9213,0.9973,0.9963,0.6742,0.695,2.4444,-0.2163,2.3043,0.4943,2.3904,-0.2608,2.2565,-0.2473,2.2893,0.7085,5
51,0.8624,0.6853,0.7024,0.3838,0.9213,0.9974,0.9963,0.6742,0.7735,2.4827,-0.3163,2.3441,0.4272,2.4289,-0.302,2.2956,-0.2886,2.4569,0.7363,5
52,0.8624,0.6853,0.7024,0.3838,0.9213,0.9974,0.9963,0.6742,0.7735,2.4827,-0.3163,2.3441,0.4272,2.4289,-0.302,2.2956,-0.2886,2.4569,0.7363,5
53,0.8624,0.6853,0.7024,0.3838,0.9213,0.9974,0.9963,0.6742,0.7735,2.4827,-0.3163,2.3441,0.4272,2.4289,-0.302,2.2956,-0.2886,2.4569,0.7363,5
54,0.8624,0.6852,0.7084,0.361,0.9213,0.9974,0.9963,0.6742,0.7734,2.4776,-0.3105,2.3511,0.4613,2.4237,-0.2964,2.2903,-0.283,2.4516,0.7317,5
55,0.8624,0.6852,0.7084,0.361,0.9213,0.9974,0.9963,0.6742,0.7734,2.4776,-0.3105,2.3511,0.4613,2.4237,-0.2964,2.2903,-0.283,2.4516,0.7317,5
56,0.8624,0.6852,0.7084,0.361,0.9213,0.9974,0.9963,0.6742,0.7734,2.4776,-0.3105,2.3511,0.4613,2.4237,-0.2964,2.2903,-0.283,2.4516,0.7317,5
57,0.8624,0.6852,0.7084,0.361,0.9213,0.9974,0.9963,0.6742,0.7734,2.4776,-0.3105,2.3511,0.4613,2.4237,-0.2964,2.2903,-0.283,2.4516,0.7317,5
58,0.8624,0.6852,0.7084,0.361,0.9213,0.9974,0.9963,0.6742,0.7734,2.4776,-0.3105,2.3511,0.4613,2.4237,-0.2964,2.2903,-0.283,2.4516,0.7317,5
59,0.8624,0.6852,0.7084,0.361,0.9213,0.9974,0.9963,0.6742,0.7734,2.4776,-0.3105,2.3511,0.4613,2.4237,-0.2964,2.2903,-0.283,2.4516,0.7317,5
60,0.8624,0.6852,0.7084,0.361,0.9213,0.9974,0.9963,0.6742,0.7734,2.4776,-0.3105,2.3511,0.4613,2.4237,-0.2964,2.2903,-0.283,2.4516,0.7317,5
61,0.8624,0.6852,0.7084,0.361,0.9213,0.9974,0.9963,0.6742,0.7734,2.4776,-0.3105,2.3511,0.4613,2.4237,-0.2964,2.2903,-0.283,2.4516,0.7317,5
62,0.8624,0.6852,0.7084,0.361,0.9213,0.9974,0.9963,0.6742,0.7734,2.4776,-0.3105,2.3511,0.4613,2.4237,-0.2964,2.2903,-0.283,2.4516,0.7317,5
63,0.8624,0.6852,0.7084,0.361,0.9213,0.9974,0.9963,0.6742,0.7734,2.4776,-0.3105,2.3511,0.4613,2.4237,-0.2964,2.2903,-0.283,2.4516,0.7317,5
64,0.856,0.9496,0.7759,0.3716,0.8775,0.9517,0.8078,0.7066,0.7649,2.505,-0.4229,2.4791,0.4236,2.4937,-0.4189,2.5024,-0.387,2.4672,0.7771,5
65,0.856,0.9496,0.7759,0.3716,0.8775,0.9517,0.8078,0.7066,0.7649,2.505,-0.4229,2.4791,0.4236,2.4937,-0.4189,2.5024,-0.387,2.4672,0.7771,5
66,0.856,0.9496,0.7759,0.3716,0.8775,0.9517,0.8078,0.7066,0.7649,2.505,-0.4229,2.4791,0.4236,2.4937,-0.4189,2.5024,-0.387,2.4672,0.7771,5
67,0.856,0.9496,0.7759,0.3716,0.8775,0.9517,0.8078,0.7066,0.7649,2.505,-0.4229,2.4791,0.4236,2.4937,-0.4189,2.5024,-0.387,2.4672,0.7771,5
68,0.856,0.9496,0.7759,0.3716,0.8775,0.9517,0.8078,0.7066,0.7649,2.505,-0.4229,2.4791,0.4236,2.4937,-0.4189,2.5024,-0.387,2.4672,0.7771,5
69,0.856,0.9496,0.7759,0.3716,0.8775,0.9517,0.8078,0.7066,0.7649,2.505,-0.4229,2.4791,0.4236,2.4937,-0.4189,2.5024,-0.387,2.4672,0.7771,5
70,0.856,0.9496,0.7759,0.3716,0.8775,0.9517,0.8078,0.7066,0.7649,2.505,-0.4229,2.4791,0.4236,2.4937,-0.4189,2.5024,-0.387,2.4672,0.7771,5
71,0.856,0.9496,0.7759,0.3716,0.8775,0.9517,0.8078,0.7066,0.7649,2.505,-0.4229,2.4791,0.4236,2.4937,-0.4189,2.5024,-0.387,2.4672,0.7771,5
72,0.856,0.9496,0.7759,0.3716,0.8775,0.9517,0.8078,0.7066,0.7649,2.505,-0.4229,2.4791,0.4236,2.4937,-0.4189,2.5024,-0.387,2.4672,0.7771,5
73,0.856,0.9496,0.7759,0.3716,0.8775,0.9517,0.8078,0.7066,0.7649,2.505,-0.4229,2.4791,0.4236,2.4937,-0.4189,2.5024,-0.387,2.4672,0.7771,5
74,0.856,0.9496,0.7759,0.3716,0.8775,0.9517,0.8078,0.7066,0.7649,2.505,-0.4229,2.4791,0.4236,2.4937,-0.4189,2.5024,-0.387,2.4672,0.7771,5
75,0.856,0.9496,0.7759,0.3716,0.8775,0.9517,0.8078,0.7066,0.7649,2.505,-0.4229,2.4791,0.4236,2.4937,-0.4189,2.5024,-0.387,2.4672,0.7771,5
76,0.856,0.9496,0.7759,0.3716,0.8775,0.9517,0.8078,0.7066,0.7649,2.505,-0.4229,2.4791,0.4236,2.4937,-0.4189,2.5024,-0.387,2.4672,0.7771,5
