Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.67,0.67,0.0,0.67,0.0,0.0,0.67,0.67,0.67,0.9976,0.9111,0.0349,0.9111,0.0349,1.6424,0.9976,0.9111,0.9976,0.5387,1
2,0.332,0.67,1.0,0.0081,1.0,0.3291,1.0,0.6735,0.6688,0.9902,0.1883,1.8261,0.9777,1.8261,0.9196,1.8261,0.1798,1.805,0.4552,4
3,0.9888,0.9509,0.6815,0.3308,0.6704,0.0543,0.6514,0.6633,0.0375,1.5725,0.3379,1.558,1.1608,1.5294,1.2187,1.4776,0.4667,0.6121,0.401,4
4,0.9878,0.9074,0.67,0.0203,0.2995,0.307,0.3431,1.0,0.6572,1.6485,0.2054,1.6023,1.1563,0.739,1.1152,0.7803,0.3654,1.568,0.4527,3
5,0.9908,0.9074,0.6924,0.2977,0.6948,0.3122,0.3431,1.0,0.6505,1.9274,-0.0724,1.9434,0.8691,1.9489,0.8597,1.0897,0.0922,1.8377,0.5129,4
6,0.9883,0.9481,0.675,0.0,0.3232,0.0154,0.978,0.9877,0.9315,1.9169,0.0041,1.8856,0.9199,1.0518,0.9199,1.9387,0.0813,2.0232,0.4976,4
7,0.9883,0.9481,0.6816,0.0,0.33,0.0611,0.9745,0.9739,0.9315,1.9328,-0.0118,1.918,0.9055,1.0757,0.9055,1.9617,0.0368,2.039,0.5072,4
8,0.573,0.8296,0.9933,0.3116,0.6704,0.0031,0.6514,0.7271,0.0116,1.1143,0.3441,1.4401,1.2772,1.4067,1.3204,1.3543,0.4418,0.4787,0.421,0
9,0.573,0.8205,0.9933,0.3091,0.6704,0.0041,0.6511,0.7271,0.939,1.5303,-0.0379,1.8437,0.9324,1.8115,0.9756,1.7603,0.0621,1.9496,0.4948,5
10,0.573,0.8205,0.9933,0.3091,0.6704,0.0041,0.6511,0.7271,0.939,1.5303,-0.0379,1.8437,0.9324,1.8115,0.9756,1.7603,0.0621,1.9496,0.4948,5
