Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
2,1.0,0.33,0.0,0.0,0.67,0.33,1.0,0.67,1.0,1.5335,1.1727,0.5976,1.2299,1.515,1.1727,1.5335,0.4626,1.5335,0.3172,4
3,1.0,0.33,0.0,0.0,0.67,0.33,1.0,0.67,1.0,1.5335,1.1727,0.5976,1.2299,1.515,1.1727,1.5335,0.4626,1.5335,0.3172,4
4,1.0,0.33,0.0,0.0,0.67,0.33,1.0,0.67,1.0,1.5335,1.1727,0.5976,1.2299,1.515,1.1727,1.5335,0.4626,1.5335,0.3172,4
5,0.7205,0.0,0.6156,0.5334,0.869,0.0,0.5533,0.7395,0.8739,1.5888,1.2671,1.3136,0.8611,1.6966,1.2671,1.1191,0.3622,1.6935,0.3019,3
6,0.7205,0.0,0.6156,0.5334,0.869,0.0,0.5533,0.7395,0.8739,1.5888,1.2671,1.3136,0.8611,1.6966,1.2671,1.1191,0.3622,1.6935,0.3019,3
7,0.7966,0.4891,0.399,0.5049,0.0935,0.4568,0.643,0.4864,0.5931,1.4757,1.1547,0.4826,1.119,0.3071,1.2214,1.1713,1.1606,1.0167,0.3874,1
8,0.7966,0.4891,0.399,0.5049,0.0935,0.4568,0.643,0.4864,0.5931,1.4757,1.1547,0.4826,1.119,0.3071,1.2214,1.1713,1.1606,1.0167,0.3874,1
9,0.7966,0.4891,0.399,0.5049,0.0935,0.4568,0.643,0.4864,0.5931,1.4757,1.1547,0.4826,1.119,0.3071,1.2214,1.1713,1.1606,1.0167,0.3874,1
10,0.7966,0.4891,0.399,0.5049,0.0935,0.4568,0.643,0.4864,0.5931,1.4757,1.1547,0.4826,1.119,0.3071,1.2214,1.1713,1.1606,1.0167,0.3874,1
11,0.7966,0.4891,0.399,0.5049,0.0935,0.4568,0.643,0.4864,0.5931,1.4757,1.1547,0.4826,1.119,0.3071,1.2214,1.1713,1.1606,1.0167,0.3874,1
12,0.7966,0.4891,0.399,0.5049,0.0935,0.4568,0.643,0.4864,0.5931,1.4757,1.1547,0.4826,1.119,0.3071,1.2214,1.1713,1.1606,1.0167,0.3874,1
13,0.2072,0.2892,1.0,0.6766,0.8996,0.6292,1.0,0.362,0.0,0.6368,1.1747,1.5629,0.4201,1.7426,0.5397,1.5629,1.1177,0.6295,0.4245,3
14,0.2072,0.2892,1.0,0.6766,0.8996,0.6292,1.0,0.362,0.0,0.6368,1.1747,1.5629,0.4201,1.7426,0.5397,1.5629,1.1177,0.6295,0.4245,3
15,0.2072,0.2892,1.0,0.6766,0.8996,0.6292,1.0,0.362,0.0,0.6368,1.1747,1.5629,0.4201,1.7426,0.5397,1.5629,1.1177,0.6295,0.4245,3
16,0.2072,0.2892,1.0,0.6766,0.8996,0.6292,1.0,0.362,0.0,0.6368,1.1747,1.5629,0.4201,1.7426,0.5397,1.5629,1.1177,0.6295,0.4245,3
17,0.2072,0.2892,1.0,0.6766,0.8996,0.6292,1.0,0.362,0.0,0.6368,1.1747,1.5629,0.4201,1.7426,0.5397,1.5629,1.1177,0.6295,0.4245,3
18,0.2295,0.4498,0.5621,0.34,0.4338,0.0817,0.1098,0.016,0.5087,-1.0066,2.1286,-0.3415,2.2624,-0.7458,2.3199,-1.0205,2.32,-0.5259,1.1279,4
19,0.2295,0.4498,0.5621,0.34,0.4338,0.0817,0.1098,0.016,0.5087,-1.0066,2.1286,-0.3415,2.2624,-0.7458,2.3199,-1.0205,2.32,-0.5259,1.1279,4
20,0.2295,0.4498,0.5621,0.34,0.4338,0.0817,0.1098,0.016,0.5087,-1.0066,2.1286,-0.3415,2.2624,-0.7458,2.3199,-1.0205,2.32,-0.5259,1.1279,4
21,0.2295,0.4498,0.5621,0.34,0.4338,0.0817,0.1098,0.016,0.5087,-1.0066,2.1286,-0.3415,2.2624,-0.7458,2.3199,-1.0205,2.32,-0.5259,1.1279,4
22,0.2295,0.4498,0.5621,0.34,0.4338,0.0817,0.1098,0.016,0.5087,-1.0066,2.1286,-0.3415,2.2624,-0.7458,2.3199,-1.0205,2.32,-0.5259,1.1279,4
