Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,weighted_sum,Fitness,Nc
1,0.2743,0.8953,0.7163,0.3011,0.9034,0.3234,0.6255,0.7165,0.4009,0.704878,0.21063,1.70402,1.131835,1.784838,1.118624,1.475959,0.287471,0.848665,0.5019,0.4607,3
2,0.7791,0.0305,0.1079,0.401,0.8123,0.8247,0.4009,0.4278,0.2404,1.215896,1.642362,0.035131,1.513614,1.238971,0.703889,0.21642,1.4684,0.051239,0.5342,0.5695,3
3,0.3059,0.9202,0.9219,0.2071,0.1673,0.9962,0.6145,0.7886,0.2456,0.741302,0.226511,1.76824,1.15489,0.689084,0.370496,1.424987,0.184201,0.705607,0.6573,0.5625,1
4,0.65,0.5861,0.5975,0.002,0.7144,0.4241,0.3173,0.0995,0.5951,0.92193,1.125133,0.764941,1.656128,1.08052,1.498418,0.082477,1.656033,0.764941,0.6478,0.4195,3
5,0.8244,0.9017,0.5734,0.8104,0.2897,0.7972,0.0729,0.0188,0.8731,1.815608,0.214839,1.287595,0.18456,0.711788,0.189824,0.672026,1.172309,1.806633,0.5959,0.5616,2
6,0.4003,0.0775,0.4497,0.2947,0.7027,0.0297,0.0064,0.1628,0.743,-0.695506,2.242672,-0.577046,2.215361,0.229802,2.242697,-0.891078,2.241467,0.320088,0.76,0.9467,4
7,0.3241,0.664,0.0223,0.0044,0.9872,0.658,0.3246,0.974,0.3292,0.259186,0.813043,0.192863,1.530546,1.185852,0.813043,0.259186,0.714434,0.269405,0.5326,0.6182,1
8,0.3561,0.1001,0.4694,0.121,0.3068,0.9021,0.6709,0.5047,0.8799,0.330494,1.513017,0.555253,1.512842,0.274099,0.592609,1.165144,1.197883,1.389944,0.604,0.4778,2
9,0.0463,0.9543,0.2151,0.8201,0.2321,0.7037,0.2246,0.3127,0.915,0.28245,0.60826,0.29266,0.507494,0.295308,0.653079,0.29266,1.424321,1.402739,0.611,0.6342,0
10,0.7857,0.1141,0.7304,0.921,0.8022,0.4189,0.3658,0.6349,0.7814,1.967145,1.024375,1.887981,0.07571,1.974312,0.854904,0.97949,0.343056,1.958203,0.5595,0.4523,4
11,0.9692,0.1342,0.7031,0.0921,0.0032,0.0911,0.7454,0.3871,0.4782,0.818674,1.842154,0.807146,1.842512,-0.258753,1.842512,0.910305,1.729815,0.121185,0.7019,0.5531,4
12,0.4302,0.8748,0.7222,0.3888,0.5932,0.4882,0.0337,0.9452,0.4933,0.810182,0.271067,1.613444,1.124527,1.260705,0.943332,0.577268,0.365859,0.958411,0.463,0.4809,1
13,0.99,0.6754,0.5221,0.2453,0.4136,0.7684,0.1196,0.6639,0.85,1.668852,0.335052,1.181501,1.119655,0.909832,0.174168,0.720575,0.383536,1.858926,0.7658,0.5147,2
14,0.4889,0.6624,0.2939,0.8127,0.4895,0.6959,0.2662,0.7575,0.3123,0.867706,0.581252,0.523872,0.345283,0.867706,0.489959,0.511908,0.388056,0.539128,0.5386,0.6198,0
15,0.9506,0.4241,0.4372,0.158,0.4055,0.3299,0.836,0.8003,0.2119,1.425407,1.244409,0.622683,1.405468,0.558476,1.350761,1.539507,0.450447,0.370802,0.6326,0.4421,1
16,0.7522,0.2833,0.5578,0.5971,0.2637,0.0596,0.8815,0.3147,0.6491,1.362489,1.470567,0.847885,0.928266,0.265187,1.495798,1.411542,1.454475,1.130778,0.6239,0.337,3
17,0.6123,0.9957,0.7652,0.4213,0.3674,0.9136,0.5073,0.5507,0.5315,1.635061,0.175328,1.995181,0.81133,1.03175,0.015317,1.336301,0.518336,1.393867,0.5689,0.5217,2
