Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.2733,0.0335,0.6776,0.6405,0.8779,0.048,0.4749,0.3197,0.4509,-0.0849,1.7469,0.8792,1.0944,1.0911,1.7469,0.2445,1.7005,0.1807,1.6895,3
2,0.6837,0.3221,0.9851,0.5309,0.183,0.4791,0.3589,0.8061,0.3985,1.4295,1.2795,1.4471,0.9333,0.4698,1.0546,0.5755,0.3617,0.6382,1.3831,0
3,0.8821,0.4888,0.968,0.4225,0.32,0.6412,0.9306,0.061,0.9007,1.9917,0.6935,1.8679,0.827,0.9497,0.288,1.9342,1.0013,1.9738,1.1462,4
4,0.4462,0.0658,0.3497,0.6726,0.5623,0.5535,0.1698,0.2725,0.9385,0.324,1.6374,0.1431,0.8997,0.6666,1.1988,0.0446,1.6157,1.1551,1.6918,2
5,0.0117,0.6531,0.62,0.3146,0.3426,0.2697,0.2424,0.7184,0.1009,-0.5168,1.3496,0.3336,1.9691,-0.4204,1.991,-0.4988,1.2164,-0.5166,2.7881,2
6,0.817,0.9184,0.3072,0.0722,0.0919,0.011,0.6755,0.2357,0.8432,1.2134,0.7812,0.0589,1.6644,0.0034,1.6644,0.9836,1.654,1.2159,1.5115,3
7,0.7357,0.8366,0.2504,0.7967,0.6714,0.5418,0.1977,0.4619,0.8296,1.8034,0.1074,0.7732,0.1203,1.6626,0.6726,0.7597,0.862,1.8912,1.6108,3
8,0.7603,0.9705,0.096,0.4645,0.2624,0.401,0.4408,0.719,0.1958,1.3563,0.6961,0.2174,1.2733,0.2426,1.3808,0.4823,0.6681,0.2229,1.7777,0
9,0.8587,0.5567,0.8084,0.3104,0.1908,0.0773,0.7705,0.9338,0.6416,1.8118,0.7016,1.8104,1.1298,0.6758,1.173,1.779,0.2597,1.5044,1.1448,4
10,0.8846,0.4028,0.0645,0.5626,0.6375,0.8919,0.6056,0.6795,0.7857,1.9495,0.895,0.8427,0.5425,1.6517,0.0569,1.5577,0.2301,1.9493,1.5312,4
11,0.7464,0.743,0.2579,0.335,0.8366,0.3487,0.4134,0.4309,0.3944,1.4393,0.536,0.3553,1.3693,1.5123,1.3572,0.5353,1.2494,0.4992,1.3497,1
12,0.7654,0.5271,0.5416,0.0585,0.8032,0.2522,0.8428,0.1957,0.1833,1.2852,1.1985,0.6841,1.5748,1.3216,1.5599,1.3307,1.5708,0.1348,1.0767,3
13,0.9372,0.416,0.5673,0.942,0.6467,0.2126,0.0373,0.7961,0.2634,1.5762,1.1434,1.1201,0.4142,1.3643,1.295,0.5039,0.3358,0.529,1.4288,1
14,0.6458,0.2472,0.3566,0.6531,0.0277,0.857,0.3053,0.5979,0.0236,0.7334,1.7734,-0.0627,1.1068,-0.175,0.8663,-0.1203,1.2437,-0.175,2.2925,1
15,0.407,0.2462,0.0745,0.5851,0.8127,0.4301,0.475,0.7622,0.2484,0.2436,1.6196,0.0488,1.1129,1.2526,1.4584,0.4053,0.735,0.0682,1.8355,2
16,0.2676,0.6594,0.8795,0.7124,0.6987,0.5667,0.4494,0.5041,0.2438,0.6152,0.4962,1.7245,0.3774,1.5775,0.7424,0.8648,0.902,0.6051,1.4814,2
17,0.3511,0.4703,0.0176,0.0858,0.9517,0.4067,0.1709,0.5992,0.8022,0.0283,1.4736,-0.0756,1.7188,1.0237,1.582,-0.0728,1.1682,1.1352,1.8283,3
18,0.3777,0.8222,0.5407,0.436,0.4227,0.6838,0.3515,0.8445,0.3533,0.6477,0.318,1.0439,1.1043,0.7299,0.5023,0.6105,0.3174,0.6128,1.7331,0
19,0.1787,0.507,0.8865,0.7994,0.7132,0.7883,0.4486,0.6501,0.6183,0.8795,0.6593,1.9781,0.01,1.8717,0.0182,1.1441,0.2741,1.627,1.7651,3
