Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,1.0,0.33,0.0,0.0,0.67,0.33,1.0,0.67,1.0,1.5335,1.1727,0.5976,1.2299,1.515,1.1727,1.5335,0.4626,1.5335,0.3172,4
2,0.67,0.33,0.0,1.0,1.0,0.0095,0.67,0.0,0.67,1.1869,1.4405,0.2408,0.7356,1.206,1.496,1.1869,1.496,1.1869,0.344,2
3,0.6593,0.0091,0.0,1.0,0.9601,0.0153,0.67,0.0,0.67,0.9455,1.6589,0.0111,0.913,1.0856,1.6589,0.9757,1.6589,0.9757,0.411,3
4,0.6593,0.0031,0.0,0.9777,0.9529,0.0005,0.67,0.0007,0.6674,0.9134,1.6831,-0.0238,0.8959,1.0684,1.6831,0.9436,1.6831,0.9363,0.4259,3
5,0.6593,0.0031,0.0008,0.9825,0.947,0.0005,0.67,0.0003,0.6691,0.914,1.6827,-0.0231,0.9044,1.0804,1.6827,0.9443,1.6827,0.9418,0.4242,3
6,0.6648,0.0,0.0008,0.9825,0.928,0.0005,0.669,0.0001,0.6724,0.9206,1.6894,-0.0329,0.9118,1.105,1.6894,0.9324,1.6894,0.9418,0.4248,3
7,0.6648,0.0001,0.0008,0.9957,0.9214,0.0005,0.669,0.0001,0.6724,0.9248,1.6863,-0.0284,0.9343,1.1196,1.6863,0.9366,1.6863,0.946,0.421,3
8,0.7238,0.0001,0.6953,0.987,0.0663,0.0017,0.7073,0.0003,0.6674,1.0239,1.7218,0.9588,0.9558,-0.0799,1.7218,0.9878,1.7218,0.8847,0.4326,3
9,0.7238,0.0039,0.6953,0.9687,0.0028,0.0017,0.7176,0.0004,0.6674,0.9811,1.754,0.9157,0.9571,-0.127,1.754,0.968,1.754,0.8413,0.4504,3
10,0.7117,0.0039,0.6953,0.9559,0.0028,0.0017,0.7176,0.0004,0.6691,0.9399,1.7651,0.9007,0.9472,-0.1435,1.7651,0.953,1.7651,0.8311,0.4588,3
11,0.7233,0.0039,0.6954,0.0,0.7346,0.0,0.0064,0.0004,0.6673,0.2601,2.2596,0.192,2.2596,0.2838,2.2596,-0.9193,2.2596,0.1122,0.7884,4
12,0.7233,0.0039,0.7048,0.0,0.7346,0.0,0.0064,0.0,0.6691,0.2698,2.2532,0.2261,2.2532,0.2935,2.2532,-0.9086,2.2532,0.1272,0.781,4
13,0.7341,0.0039,0.7243,0.0004,0.7454,0.0,0.0064,0.0,0.6691,0.3295,2.2288,0.3089,2.2288,0.3512,2.2288,-0.8679,2.2288,0.1646,0.7551,4
14,0.7186,0.0039,0.725,0.0081,0.743,0.0,0.0001,0.0,0.6761,0.2882,2.234,0.3026,2.234,0.3389,2.234,-0.8766,2.234,0.1773,0.7601,4
15,0.7228,0.0039,0.725,0.0081,0.743,0.0,0.0001,0.0,0.676,0.3013,2.2316,0.3063,2.2316,0.3425,2.2316,-0.8726,2.2316,0.1808,0.7576,4
16,0.7228,0.0022,0.725,0.0081,0.7404,0.0,0.0001,0.0,0.676,0.2974,2.2341,0.3024,2.2341,0.3338,2.2341,-0.8768,2.2341,0.1769,0.7599,4
17,0.7245,0.0022,0.725,0.0081,0.7404,0.0,0.0001,0.0001,0.7076,0.3306,2.2146,0.3318,2.2146,0.3631,2.2146,-0.8445,2.2146,0.2914,0.7375,4
18,0.7188,0.0001,0.7259,0.008,0.7532,0.0,0.0001,0.0001,0.7082,0.3235,2.2108,0.3393,2.2108,0.3914,2.2108,-0.8383,2.2108,0.2985,0.7337,4
19,0.73,0.0001,0.7501,0.0022,0.7459,0.0,0.7105,0.0,0.0137,0.381,2.1887,0.419,2.1887,0.4117,2.1887,0.3374,2.1887,-0.8019,0.712,4
20,0.73,0.0001,0.7501,0.0022,0.7459,0.0,0.7105,0.0,0.0137,0.381,2.1887,0.419,2.1887,0.4117,2.1887,0.3374,2.1887,-0.8019,0.712,4
21,0.73,0.0029,0.7523,0.0022,0.7459,0.0,0.7105,0.0004,0.0001,0.3738,2.1935,0.4156,2.1935,0.4045,2.1935,0.3299,2.1935,-0.8099,0.7153,4
22,0.73,0.0029,0.7523,0.0022,0.7459,0.0,0.7105,0.0004,0.0001,0.3738,2.1935,0.4156,2.1935,0.4045,2.1935,0.3299,2.1935,-0.8099,0.7153,4
