Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,0.5856,0.0,0.5,0.243,0.67,0.243,0.5,1.0,0.757,1.0121,1.4325,0.746,1.42,1.2671,1.42,0.746,0.6664,1.4516,0.3112,1
2,0.5856,0.0,0.5,0.243,0.67,0.243,0.5,1.0,0.757,1.0121,1.4325,0.746,1.42,1.2671,1.42,0.746,0.6664,1.4516,0.3112,1
3,0.5463,0.2466,0.45,0.4913,0.704,0.2676,0.5481,0.6038,0.7868,0.9647,1.3584,0.6923,1.0712,1.4268,1.3515,0.9704,0.786,1.5605,0.2946,1
4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.5335,1.2299,0.5976,1.2299,1.5335,0.4457,1.5335,1.2299,1.5335,0.3153,4
5,0.0403,0.472,0.4035,0.5,1.0,0.5,0.5,0.9514,0.9709,0.7618,0.8346,0.9387,0.7713,1.6843,0.7713,1.1643,0.2101,1.7476,0.4394,2
6,0.5,0.1806,0.9905,0.4564,0.4693,0.5687,0.5144,0.0264,0.6376,0.6587,1.4958,1.2256,1.2742,0.5731,1.0132,0.7016,1.4984,1.0906,0.3529,2
7,0.6227,0.085,0.8781,0.5936,0.575,0.6149,0.5484,0.0,0.7036,1.1936,1.3814,1.5535,0.8234,1.0437,0.7666,0.9594,1.3814,1.4143,0.2663,1
8,0.6227,0.085,0.8781,0.5936,0.575,0.6149,0.5484,0.0,0.7036,1.1936,1.3814,1.5535,0.8234,1.0437,0.7666,0.9594,1.3814,1.4143,0.2663,1
9,0.5466,0.0,0.4146,0.4104,0.55,0.5537,0.6253,0.6716,1.0,1.0318,1.32,0.682,1.171,1.0424,0.8643,1.278,0.5567,1.4249,0.3407,0
10,0.5454,0.548,0.548,0.548,0.5448,0.5429,0.4924,0.548,0.548,1.0749,0.8399,1.0831,0.8399,1.073,0.8533,0.9179,0.8399,1.0831,0.3492,0
11,1.0,0.0,1.0,0.0,0.1225,1.0,1.0,0.0,1.0,1.5895,1.1828,1.5895,1.1828,0.659,0.3943,1.5895,1.1828,1.5895,0.3214,4
12,1.0,0.0,1.0,0.0,0.0,0.0968,1.0,0.7893,0.8608,1.4125,1.3302,1.4125,1.3302,0.4657,1.3301,1.4125,0.3727,1.6261,0.3392,1
13,0.3433,0.3593,0.6295,0.5057,0.4712,0.5407,0.6214,0.3927,0.6553,0.4303,1.3413,1.1609,1.0921,0.6775,1.007,1.1361,1.3018,1.2371,0.3427,0
14,0.588,0.55,0.55,0.55,0.55,0.7991,0.55,0.55,0.55,1.3832,0.6841,1.2657,0.6841,1.2657,0.1538,1.2657,0.6841,1.2657,0.435,0
15,0.7085,0.5014,0.7503,0.5007,0.6362,0.5028,0.5006,0.5006,0.6394,1.7157,0.8058,1.7923,0.8073,1.5302,0.8023,1.1214,0.8076,1.5394,0.3057,4
16,0.5,0.5,0.5,0.5,0.5045,0.6241,0.5,0.5,0.5,0.8166,1.0582,0.8166,1.0582,0.8296,0.7392,0.8166,1.0582,0.8166,0.3952,0
17,1.0,0.0054,1.0,0.0721,0.0003,0.0181,0.6149,1.0,1.0,1.3946,1.3448,1.3946,1.3448,0.4462,1.3448,1.2155,0.5709,1.3946,0.315,0
18,0.7538,0.5588,0.6434,0.5614,0.5706,0.5,0.6293,0.6365,0.6477,1.9069,0.5578,1.6631,0.5508,1.4454,0.7093,1.6226,0.3442,1.6751,0.4224,4
19,0.5958,0.6087,0.5652,0.6145,0.5088,0.517,0.5054,0.5138,0.4787,1.2538,0.6597,1.1576,0.6441,0.9858,0.9009,0.976,0.9087,0.902,0.38,0
20,0.5,0.7549,0.6475,0.7496,0.5,0.6105,0.5443,0.5443,0.5369,1.1866,0.1365,1.6265,0.1441,1.1866,0.4593,1.3158,0.6403,1.2936,0.5267,1
21,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7467,1.1137,0.7467,1.1137,0.7467,1.1137,0.7467,1.1137,0.7467,0.3932,0
22,0.5831,0.5011,0.5507,0.5304,0.5886,0.6867,0.5003,0.6325,0.634,1.3545,0.8193,1.2543,0.747,1.3715,0.3372,1.1052,0.4721,1.5091,0.415,1
23,0.5939,0.5939,0.5939,0.5939,0.5939,0.5945,0.5939,0.5939,0.5939,1.4496,0.5217,1.4496,0.5217,1.4496,0.5201,1.4496,0.5217,1.4496,0.427,0
24,0.5,0.5,0.5,0.5,0.8603,0.5,0.9502,0.5,0.5,1.1518,0.7819,1.1518,0.7819,1.881,0.7819,1.7758,0.7819,1.1518,0.3293,2
25,0.5,0.5,0.5,0.5,0.5,0.5,0.9811,0.5,0.5,0.9967,0.9118,0.9967,0.9118,0.9967,0.9118,1.5676,0.9118,0.9967,0.3235,1
26,0.5,0.5,0.5,0.5,0.5,0.5,0.9811,0.5,0.5,0.9967,0.9118,0.9967,0.9118,0.9967,0.9118,1.5676,0.9118,0.9967,0.3235,1
27,0.4357,0.4357,0.469,0.4357,0.9436,0.9436,0.9436,0.4357,0.4566,1.0756,0.8461,1.1537,0.8461,1.8664,0.1318,1.8664,0.8461,1.1233,0.409,2
28,0.5828,0.5828,0.5828,0.5828,0.5262,0.5844,0.5534,0.5828,0.5828,1.3323,0.6259,1.3323,0.6259,1.1587,0.6215,1.2411,0.6259,1.3323,0.3911,0
29,0.6523,0.5323,0.5845,0.5227,0.5228,0.5189,0.6523,0.5408,0.5966,1.5234,0.7756,1.3204,0.7998,1.1311,0.8093,1.5234,0.7535,1.358,0.3169,2
30,0.6523,0.5323,0.5845,0.5227,0.5228,0.5189,0.6523,0.5408,0.5966,1.5234,0.7756,1.3204,0.7998,1.1311,0.8093,1.5234,0.7535,1.358,0.3169,2
31,0.6523,0.5323,0.5845,0.5227,0.5228,0.5189,0.6523,0.5408,0.5966,1.5234,0.7756,1.3204,0.7998,1.1311,0.8093,1.5234,0.7535,1.358,0.3169,2
32,0.5289,0.5662,0.5662,0.5662,0.5662,0.5662,0.5662,0.5662,0.5662,1.1187,0.7123,1.2331,0.7123,1.2331,0.7123,1.2331,0.7123,1.2331,0.3617,0
33,0.5254,0.5244,0.6616,0.6654,0.6655,0.5285,0.532,0.5119,0.5244,1.1462,0.7892,1.5563,0.4156,1.5666,0.7788,1.1659,0.8201,1.1433,0.3722,2
34,0.4204,0.419,0.6286,0.6343,0.6344,0.4254,0.4823,0.4001,0.4191,0.5256,1.2872,1.1288,0.7867,1.1464,1.2769,0.6765,1.3154,0.5228,0.3997,0
35,0.5154,0.5277,0.4955,0.5378,0.6281,0.5389,0.6029,0.5387,0.7028,1.0924,0.8015,1.0358,0.7754,1.4375,0.7726,1.3611,0.7732,1.6354,0.3331,1
36,0.5826,0.5436,0.5436,0.5359,0.5439,0.5359,0.5605,0.5359,0.5386,1.2182,0.8287,1.0965,0.8485,1.0973,0.8485,1.1489,0.8485,1.081,0.3252,0
37,0.5154,0.5277,0.4955,0.5378,0.6281,0.5389,0.6029,0.5387,0.7028,1.0924,0.8015,1.0358,0.7754,1.4375,0.7726,1.3611,0.7732,1.6354,0.3331,1
38,0.5587,0.555,0.7595,0.551,0.562,0.5528,0.5283,0.5471,0.5549,1.2615,0.6975,1.7744,0.7082,1.2717,0.7035,1.169,0.7187,1.2498,0.3558,1
39,0.5664,0.5669,0.5367,0.5675,0.5659,0.5672,0.5662,0.5681,0.5669,1.2399,0.705,1.1485,0.7034,1.2384,0.7042,1.2393,0.7018,1.2416,0.3632,0
40,0.6382,0.6388,0.6388,0.6388,0.6183,0.4387,0.5563,0.5569,0.6378,1.5893,0.3928,1.5911,0.3928,1.531,0.8916,1.3411,0.6164,1.5882,0.4147,4
41,0.5398,0.5415,0.5413,0.5409,0.0774,0.5414,0.5413,0.5412,0.5414,0.8153,1.0551,0.82,1.0565,0.2744,1.0553,0.82,1.0557,0.8201,0.436,0
42,0.5258,0.5044,0.5281,0.5631,0.5115,0.492,0.554,0.5507,0.5556,0.9745,0.9819,0.9814,0.8341,0.9319,1.0106,1.0614,0.8665,1.0664,0.3366,0
43,0.825,0.5051,1.0,0.5047,0.501,0.5005,0.5048,0.5052,0.5043,1.9027,0.7542,1.6896,0.7551,1.1727,0.7654,1.1833,0.7539,1.1818,0.3363,2
44,0.5178,0.5161,0.5172,0.5171,0.5204,0.5207,0.5229,0.51,0.5177,0.8854,1.0069,0.8835,1.0044,0.8934,0.9959,0.9007,1.0215,0.8852,0.3528,0
45,0.5,0.5,0.5538,0.5433,0.5023,0.5,0.7038,0.5427,0.5791,0.9691,0.9346,1.1305,0.8276,0.9755,0.9346,1.5627,0.8291,1.2096,0.3186,1
46,0.5,0.5,0.5538,0.5433,0.5023,0.5,0.7038,0.5427,0.5791,0.9691,0.9346,1.1305,0.8276,0.9755,0.9346,1.5627,0.8291,1.2096,0.3186,1
47,0.4881,0.5822,0.504,0.5831,0.5598,0.5763,0.5855,0.5001,0.5062,0.916,0.7407,0.9607,0.7382,1.1296,0.7566,1.2103,0.9506,0.967,0.3748,0
48,0.5151,0.5153,0.5129,0.5153,0.5148,0.5273,0.514,0.5151,0.5148,0.8692,1.0154,0.8629,1.0154,0.8683,0.9861,0.8659,1.0157,0.8684,0.3621,0
49,0.4881,0.5822,0.504,0.5831,0.5598,0.5763,0.5855,0.5001,0.5062,0.916,0.7407,0.9607,0.7382,1.1296,0.7566,1.2103,0.9506,0.967,0.3748,0
50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7467,1.1137,0.7467,1.1137,0.7467,1.1137,0.7467,1.1137,0.7467,0.3932,0
51,0.5444,0.5444,0.5444,0.5444,0.5456,0.5442,0.5443,0.5392,0.5444,1.0867,0.8369,1.0866,0.8369,1.0903,0.8374,1.0865,0.8504,1.0865,0.3366,0
52,0.5444,0.5444,0.5444,0.5444,0.5456,0.5442,0.5443,0.5392,0.5444,1.0867,0.8369,1.0866,0.8369,1.0903,0.8374,1.0865,0.8504,1.0865,0.3366,0
53,0.5532,0.5444,0.5146,0.5479,0.5446,0.5182,0.5238,0.5382,0.5129,1.0654,0.8775,0.9473,0.8687,1.0385,0.9436,0.975,0.8935,0.9424,0.3475,0
54,0.5733,0.5734,0.5801,0.4882,0.5781,0.5699,0.6275,0.5836,0.5763,1.298,0.6555,1.3192,0.8715,1.3131,0.665,1.4643,0.6277,1.3075,0.3515,1
