Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
1,1.0,0.33,0.0,0.0,0.67,0.33,1.0,0.67,1.0,1.5335,1.1727,0.5976,1.2299,1.515,1.1727,1.5335,0.4626,1.5335,0.3172,4
2,1.0,0.67,0.6992,0.3214,0.3331,0.0528,1.0,0.0,0.9707,1.5553,0.4427,1.6087,1.161,0.6983,1.2117,1.5553,1.2117,1.6199,0.3064,4
3,0.6847,0.33,0.9892,0.0325,0.67,0.2838,0.3292,0.6673,0.9951,1.5441,1.1799,1.5499,1.237,1.5065,1.2093,0.6615,0.4768,1.5365,0.3037,4
4,0.3294,0.3229,0.9982,0.3067,0.67,0.2553,0.67,0.357,0.6845,0.4566,1.3419,1.3398,1.3529,1.3167,1.3766,1.3167,1.3122,1.3544,0.2399,0
5,0.33,0.3379,0.9999,0.0086,0.9964,0.2902,0.0067,1.0,0.6679,0.4813,1.312,1.3582,1.3748,1.3663,1.3443,0.4061,0.6034,1.3332,0.3853,0
6,0.76,0.0548,0.9486,0.3463,0.7371,0.0713,0.9263,0.6505,0.0131,1.4608,1.4285,1.4012,1.3586,1.4246,1.4285,1.4393,0.7255,0.3335,0.307,1
7,0.5996,0.67,0.944,0.0429,0.9756,0.0086,0.9458,0.0305,0.9676,1.3954,0.3856,1.7323,1.1592,1.6714,1.1592,1.7291,1.1592,1.6879,0.271,4
8,0.74,0.7032,0.0784,0.0157,0.9632,0.8972,0.6826,0.0272,0.6548,1.5569,0.4911,0.474,1.324,1.501,0.3801,1.434,1.324,1.3597,0.4019,2
9,0.9982,0.7505,0.9449,0.0029,0.3294,0.0115,0.2689,0.7015,0.6682,1.3815,0.4473,1.4933,1.3589,0.5018,1.3589,0.4554,0.533,1.3538,0.4461,1
10,0.7693,0.6494,0.9662,0.0004,0.7138,0.0124,0.3148,0.5736,0.83,1.6321,0.586,1.5275,1.2969,1.5394,1.2969,0.5696,0.7871,1.6716,0.3257,4
11,0.6375,0.6701,0.9664,0.0402,0.9398,0.09,0.0474,0.0819,0.995,1.158,0.6967,1.3454,1.4453,1.3963,1.4453,0.3105,1.4453,1.2819,0.3246,0
12,0.0842,0.6965,0.9995,0.0122,0.9709,0.0247,0.9257,0.9865,0.0411,0.4628,0.5145,1.411,1.3325,1.4749,1.3325,1.5573,0.5295,0.4627,0.4423,2
13,0.9085,0.9089,0.9589,0.7296,0.0291,0.4405,0.3621,0.002,0.009,1.3806,0.5838,1.2968,0.6313,0.2403,1.3013,0.3565,1.4964,0.2403,0.5437,1
14,0.7756,0.0094,0.0599,0.0423,0.9709,0.9436,0.017,0.9679,0.3602,1.2846,1.5851,0.1164,1.5851,1.159,0.7293,0.1164,0.7704,0.2309,0.5695,2
15,0.0992,0.06,0.9823,0.3442,0.9711,0.3389,0.0283,0.775,0.0041,-0.2564,1.8411,0.7928,1.7764,0.8182,1.7809,-0.2565,0.9522,-0.2565,0.7202,3
16,0.0146,0.0094,0.9752,0.9175,0.9709,0.0343,0.4229,0.9458,0.9505,0.716,1.1379,1.697,0.1977,1.706,1.1379,0.9312,0.2404,1.7453,0.4617,3
17,0.0148,0.0094,0.9799,0.9175,0.9709,0.0386,0.4229,0.9458,0.9475,0.7189,1.1356,1.6896,0.1951,1.7086,1.1356,0.9341,0.2378,1.7534,0.4622,3
18,0.7756,0.0011,0.9752,0.0213,0.9841,0.9436,0.9833,0.0747,0.942,2.0134,0.9709,1.8876,0.9709,1.869,0.0527,1.8707,0.9709,1.9498,0.3736,5
19,0.7965,0.0011,0.9401,0.0213,0.9826,0.0617,0.9793,0.0747,0.942,1.6437,1.3091,1.562,1.3091,1.478,1.3091,1.4851,1.3091,1.5587,0.0648,5
20,0.7756,0.0019,0.9752,0.2921,0.0255,0.0672,0.9831,0.093,0.942,1.2896,1.5811,1.1547,1.5503,0.122,1.581,1.1369,1.581,1.2214,0.3273,4
21,0.0408,0.0011,0.9541,0.0213,0.9845,0.8987,0.8502,0.0747,0.9727,0.493,1.3096,1.536,1.3096,1.4732,0.3657,1.6546,1.3096,1.4988,0.3371,4
22,0.0,0.0011,0.9541,0.0212,0.9845,0.8987,0.8502,0.0747,0.9727,0.4712,1.3261,1.5162,1.3261,1.4532,0.3839,1.635,1.326,1.4789,0.3363,4
23,0.7669,0.0011,0.9541,0.0212,0.9845,0.0018,0.8611,0.0747,0.9727,1.5357,1.3746,1.4572,1.3746,1.3939,1.3746,1.5726,1.3746,1.4197,0.0376,3
24,0.7587,0.0081,0.9752,0.0767,0.9309,0.0048,0.0075,0.9757,0.9602,1.5545,1.3501,1.4442,1.3501,1.5279,1.3501,0.4391,0.5275,1.4751,0.3171,3
25,0.7587,0.147,0.9752,0.0929,0.7997,0.0192,0.8866,0.9757,0.9602,1.9594,1.0004,1.8534,1.0012,2.0001,1.0013,1.988,0.1454,1.8831,0.3492,5
26,0.7587,0.0011,0.9589,0.027,0.9648,0.0082,0.8774,0.9735,0.0487,1.515,1.3827,1.438,1.3827,1.4262,1.3827,1.5526,0.559,0.3954,0.3186,2
27,0.7372,0.0052,0.9476,0.0929,0.7997,0.0208,0.8866,0.9757,0.0014,1.4032,1.4459,1.3816,1.4458,1.4803,1.4459,1.4676,0.6323,0.3097,0.3231,2
28,0.785,0.0024,0.9752,0.0431,0.9127,0.012,0.9437,0.9096,0.006,1.5314,1.3945,1.3897,1.3945,1.5007,1.3945,1.4521,0.4718,0.3795,0.3344,3
29,0.785,0.0024,0.9119,0.0012,0.0765,0.0274,0.9437,0.9148,0.9796,1.5579,1.3727,1.5284,1.3727,0.4089,1.3727,1.4788,0.454,1.407,0.3328,3
30,0.7521,0.1086,0.8127,0.9242,0.8546,0.0214,0.3567,0.9418,0.0285,1.5949,1.3084,1.6535,0.3954,1.6545,1.3085,0.6008,0.4218,0.4945,0.4507,3
31,0.7587,0.0026,0.7909,0.0955,0.964,0.0306,0.9452,0.9372,0.0179,1.4766,1.4141,1.5126,1.4141,1.3891,1.4141,1.4253,0.5309,0.3529,0.3297,2
32,0.7587,0.0026,0.8624,0.0859,0.964,0.1696,0.9428,0.9372,0.0174,1.5754,1.3328,1.6222,1.3327,1.4887,1.3309,1.5289,0.4412,0.4623,0.3279,4
33,0.7587,0.0026,0.8683,0.0859,0.964,0.0088,0.9292,0.9536,0.0005,1.4915,1.402,1.5354,1.402,1.4041,1.402,1.4673,0.5442,0.3694,0.3249,3
34,0.757,0.0026,0.809,0.0859,0.9942,0.0088,0.9292,0.9536,0.0004,1.4732,1.4149,1.5236,1.4148,1.3218,1.4149,1.4515,0.5583,0.3519,0.3268,3
35,0.757,0.0025,0.7976,0.0859,0.9942,0.0007,0.9292,0.9543,0.0467,1.4873,1.4034,1.5309,1.4034,1.336,1.4034,1.4656,0.547,0.3675,0.3257,3
36,0.757,0.0026,0.7976,0.1131,0.914,0.0007,0.9292,0.9543,0.0016,1.4368,1.4445,1.4806,1.4443,1.4377,1.4445,1.415,0.5922,0.3116,0.3278,1
37,0.1325,0.0012,0.9671,0.7729,0.0795,0.0285,0.9632,0.9282,0.8631,0.4605,1.3346,1.4802,0.3927,0.4599,1.3346,1.4881,0.4299,1.6197,0.468,3
38,0.0002,0.0028,0.9753,0.0454,0.9942,0.0252,0.9493,0.0986,0.8197,-0.0378,1.6929,1.0085,1.6929,0.9644,1.6929,1.0626,1.6928,1.1773,0.3894,4
39,0.0014,0.01,0.9671,0.7356,0.0024,0.0436,0.9803,0.9282,0.8557,0.3426,1.4218,1.3733,0.5392,0.3426,1.4218,1.3449,0.5262,1.5176,0.4686,1
40,0.8832,0.0011,0.995,0.0474,0.9896,0.8734,0.0046,0.006,0.9703,1.6226,1.3206,1.4358,1.3206,1.4483,0.3567,0.4784,1.3206,1.4904,0.3402,2
41,0.0396,0.0011,0.9511,0.0694,0.976,0.954,0.0551,0.006,0.9794,0.0426,1.637,1.1322,1.637,1.0804,0.8033,0.0426,1.637,1.0727,0.5015,3
42,0.0003,0.2329,0.9775,0.0002,0.9866,0.867,0.0007,0.0125,0.9703,0.0531,1.6198,1.0867,1.6297,1.0659,0.6963,0.0531,1.6297,1.1025,0.5074,3
43,0.8064,0.0021,0.0276,0.0987,0.0187,0.0097,0.993,0.8851,0.9663,1.1079,1.7416,-0.1088,1.7415,-0.1088,1.7416,0.9022,0.8325,0.9635,0.5582,3
44,0.0003,0.2235,0.9979,0.0602,0.9866,0.8258,0.0007,0.0464,0.9772,0.0985,1.5897,1.0805,1.5977,1.1075,0.653,0.0985,1.5977,1.1288,0.4955,3
45,0.0001,0.2235,0.9764,0.0602,0.9665,0.8258,0.0259,0.8568,0.9772,0.5528,1.256,1.5454,1.2642,1.5661,0.2821,0.5528,0.2855,1.5437,0.4823,3
46,0.8064,0.0004,0.9417,0.042,0.9569,0.8136,0.0048,0.8851,0.027,1.4901,1.4412,1.3981,1.4412,1.3696,0.4821,0.3161,0.4991,0.3161,0.4834,1
47,0.8064,0.0001,0.9177,0.0471,0.0342,0.0462,0.993,0.909,0.9662,1.6116,1.3411,1.5586,1.3411,0.4512,1.3411,1.4156,0.412,1.4741,0.3341,3
48,0.8064,0.0001,0.9177,0.0471,0.0345,0.0462,0.993,0.909,0.9662,1.6117,1.341,1.5588,1.341,0.4513,1.341,1.4157,0.4118,1.4742,0.3341,3
49,0.809,0.0,0.9379,0.0,0.9649,0.9227,0.0,0.0,0.9865,1.5641,1.3816,1.478,1.3816,1.4274,0.4741,0.397,1.3816,1.3808,0.3316,2
50,0.7456,0.0071,0.9177,0.9674,0.8992,0.0739,0.9541,0.2995,0.0142,1.6219,1.2775,1.6348,0.4321,1.6582,1.2775,1.5746,1.2416,0.5354,0.3231,4
51,0.7456,0.0071,0.9177,0.9674,0.8992,0.0753,0.9424,0.2995,0.0142,1.617,1.2816,1.6299,0.4367,1.6533,1.2816,1.591,1.2457,0.53,0.3228,4
52,0.7456,0.0001,0.9177,0.9898,0.943,0.1721,0.9424,0.2995,0.0,1.6828,1.226,1.6956,0.4198,1.6558,1.2239,1.657,1.1898,0.6027,0.3209,4
53,0.7754,0.0006,0.9166,0.0667,0.0598,0.016,0.9858,0.8398,0.9492,1.5318,1.3861,1.5056,1.3861,0.3908,1.3861,1.3767,0.4172,1.4523,0.3415,3
54,0.7552,0.0006,0.9166,0.0667,0.0598,0.016,0.9858,0.8398,0.9492,1.4956,1.3945,1.4955,1.3945,0.3796,1.3945,1.3664,0.4265,1.4421,0.3417,2
55,0.806,0.0,0.0202,0.0919,0.9694,0.0025,0.9858,0.0078,0.9765,1.1404,1.7166,-0.0724,1.7166,0.99,1.7166,0.9528,1.7166,0.9744,0.4047,4
56,0.806,0.0001,0.8617,0.8763,0.0038,0.9737,0.0936,0.8851,0.8652,1.9023,1.0917,1.9034,0.1042,0.7746,0.2404,0.7746,0.111,1.9017,0.5681,3
57,0.0137,0.0029,0.8455,0.1021,0.966,0.0607,0.0196,0.8936,0.9447,-0.0802,1.722,1.1404,1.7219,0.9902,1.722,-0.0802,0.818,1.0329,0.5422,3
58,0.002,0.0001,0.8564,0.1004,0.9581,0.0033,0.9115,0.0079,0.9334,-0.133,1.758,1.0896,1.7579,0.9587,1.758,1.0393,1.758,1.0053,0.414,4
59,0.8125,0.0,0.8294,0.9249,0.9771,0.0855,0.991,0.0073,0.9447,1.9897,1.0165,1.994,0.0738,1.8324,1.0165,1.8023,1.0165,1.8942,0.3604,5
60,0.067,0.0026,0.8648,0.0019,0.974,0.0471,0.9846,0.9193,0.9434,0.4965,1.307,1.6517,1.307,1.4992,1.307,1.4761,0.3871,1.5588,0.3332,4
