Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
1,0.8845,0.032,0.2932,0.9993,0.7575,0.4515,0.3925,0.7668,0.9752,1.9675,1.0246,0.8976,0.2219,1.9351,0.8004,1.0104,0.0522,1.8171,0.4646,0.4911,3
2,0.6771,0.1745,0.7052,0.7898,0.7594,0.9371,0.9139,0.1207,0.4577,1.7761,1.0262,1.8448,0.0367,1.9311,0.1098,1.9329,1.0279,1.1492,0.428,0.4735,4
3,0.2069,0.2306,0.7094,0.0874,0.3746,0.4307,0.1527,0.1074,0.0758,-1.4065,2.5379,-0.2231,2.546,-1.27,2.3909,-1.4142,2.5459,-1.4156,1.318,1.3556,4
6,0.3954,0.1533,0.0575,0.0913,0.8451,0.4776,0.3842,0.1713,0.3538,-0.6288,2.2009,-0.8233,2.2017,0.4712,1.9523,-0.667,2.2,-0.7146,0.9477,1.0181,4
7,0.0306,0.325,0.6384,0.4981,0.5284,0.7859,0.253,0.4722,0.2572,-0.1211,1.7033,0.7655,1.4435,0.4063,0.8383,-0.1007,1.5062,-0.0963,0.5612,0.6971,2
8,0.4582,0.1448,0.1943,0.0534,0.3951,0.5766,0.7684,0.2706,0.5303,-0.0923,1.9487,-0.4163,1.9493,-0.2328,1.4619,0.7928,1.9294,0.1192,0.6566,0.7588,4
9,0.0073,0.0045,0.0011,0.0056,0.0019,0.0074,0.0136,0.0071,0.0166,-15.2276,6.3273,-15.2276,6.3273,-15.2276,6.3273,-15.2276,6.3273,-15.2276,7.8848,8.5729,4
10,0.9954,0.9919,0.1444,0.4503,0.5824,0.1629,0.4438,0.8754,0.5187,1.6063,0.3576,0.6777,0.948,1.3233,1.1671,0.9297,0.1923,1.1399,0.3847,0.4647,1
11,0.7699,0.2896,0.0961,0.8023,0.3643,0.3551,0.65,0.6955,0.5021,1.485,1.3891,0.346,0.4644,0.458,1.336,1.2276,0.6022,0.7632,0.3869,0.4839,1
12,0.053,0.1519,0.295,0.0504,0.9005,0.2435,0.4544,0.2054,0.6086,-0.7949,2.1835,-0.742,2.1844,0.4571,2.1737,-0.4832,2.179,0.0402,0.8961,0.9354,4
13,0.2809,0.6017,0.4618,0.1471,0.3449,0.3682,0.0951,0.9402,0.5917,-0.0574,1.179,0.2271,1.73,-0.0033,1.6401,-0.0931,0.8844,0.6304,0.6018,0.702,2
14,0.114,0.9276,0.45,0.5176,0.6174,0.5266,0.1866,0.573,0.0457,0.0021,0.7976,0.2942,1.31,0.8171,1.2862,0.0067,1.1864,0.0019,0.5631,0.6724,0
15,0.9599,0.158,0.5981,0.0797,0.0251,0.572,0.84,0.1683,0.2052,0.8538,1.8313,0.5221,1.8326,-0.2439,1.3633,0.9941,1.8308,-0.2355,0.505,0.6144,3
16,0.721,0.3096,0.0852,0.2562,0.482,0.5496,0.6244,0.5575,0.3436,1.0659,1.6435,-0.0248,1.6668,0.3478,1.2565,0.7921,1.2314,0.0646,0.4465,0.5619,2
17,0.5833,0.1497,0.8645,0.728,0.136,0.6374,0.9203,0.3532,0.4545,1.1609,1.2999,1.6615,0.4152,0.5055,0.6143,1.6037,1.2264,0.7847,0.3455,0.4151,2
18,0.9772,0.4598,0.3612,0.9286,0.4718,0.6585,0.9603,0.6702,0.9151,2.1384,0.4799,1.3139,-0.2328,1.5197,-0.0531,2.1774,-0.0788,2.2417,0.6205,0.6658,4
19,0.0903,0.6123,0.3287,0.1222,0.4667,0.9778,0.1576,0.8211,0.4649,0.048,1.049,0.1254,1.633,0.391,0.8456,0.0499,0.6937,0.3645,0.6296,0.6926,1
20,0.3573,0.1244,0.7372,0.1577,0.39,0.4563,0.1468,0.094,0.2433,-0.9176,2.3328,0.1824,2.3319,-0.8653,2.1245,-1.0416,2.333,-1.0253,1.0912,1.1473,4
21,0.2647,0.6534,0.3759,0.5102,0.786,0.4911,0.5563,0.331,0.8116,0.507,0.6061,0.6239,0.9708,1.6294,1.0171,1.0777,1.2602,1.6424,0.3417,0.3898,2
22,0.5569,0.0119,0.2008,0.5232,0.1613,0.9082,0.0646,0.1755,0.53,0.0123,2.0886,-0.6333,1.7512,-0.6379,1.2407,-0.6399,2.0862,-0.0899,0.8448,0.963,3
23,0.589,0.0202,0.2375,0.5012,0.1171,0.2776,0.2734,0.9999,0.3296,0.2915,1.9702,-0.4366,1.6719,-0.4532,1.9464,-0.4228,1.2521,-0.3729,0.7724,0.9019,3
24,0.4228,0.8453,0.4045,0.6826,0.0603,0.4971,0.2757,0.5711,0.4361,0.3696,0.6138,0.3295,0.8003,0.1498,1.2479,0.1848,1.0764,0.4144,0.6026,0.6538,0
25,0.5654,0.1957,0.0468,0.5616,0.4776,0.5472,0.0845,0.1412,0.0246,-0.3944,2.3663,-1.1067,1.9552,-0.7005,1.9782,-1.1066,2.3697,-1.1067,1.1137,1.2085,4
26,0.2404,0.5494,0.4684,0.7726,0.0664,0.8587,0.557,0.4141,0.6679,0.4011,0.9478,0.7186,0.4575,0.3853,0.4269,0.9846,1.243,1.3198,0.4724,0.5307,0
27,0.6893,0.9216,0.4913,0.1958,0.8321,0.7129,0.8102,0.0176,0.7767,1.7631,0.1157,1.1867,1.056,1.9445,0.1886,1.9391,1.0607,1.9176,0.4143,0.445,4
