x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9
0.0,10.0,30.0,20.0,0.0,30.0,30.0,0.0,20.0,6.236102,8.330737,4.024826,6.696962,7.181902,10.545105,7.966144,9.416508,3.466353
0.0,30.0,0.0,10.0,30.0,20.0,0.0,20.0,0.0,4.517414,9.859449,4.307162,7.504803,8.205186,4.995039,5.178305,2.500011,5.250011
30.0,0.0,0.0,20.0,30.0,20.0,30.0,10.0,30.0,7.129535,4.98162,4.275894,1.722707,6.781123,6.829488,7.722514,3.213656,0.912531
10.0,20.0,10.0,0.0,10.0,20.0,0.0,20.0,20.0,5.945676,10.47345,3.105088,6.652149,6.53342,9.8342,5.387515,8.725621,3.561066
10.0,0.0,0.0,30.0,10.0,30.0,10.0,20.0,10.0,4.830663,6.963746,3.156794,7.614281,6.905426,9.682851,6.53452,9.830315,4.786281
30.0,0.0,30.0,20.0,20.0,20.0,0.0,20.0,10.0,6.336492,6.22793,4.548241,3.130643,5.717499,9.827707,5.09311,6.725363,3.687867
30.0,30.0,20.0,30.0,30.0,0.0,10.0,10.0,20.0,5.989656,5.956283,4.269377,1.70591,7.564105,6.989861,5.081429,1.494596,2.7079
0.0,0.0,10.0,0.0,20.0,0.0,10.0,10.0,30.0,6.474458,13.018286,2.945003,6.408117,4.094922,12.207053,5.258305,6.658218,2.662322
30.0,20.0,0.0,10.0,10.0,30.0,30.0,0.0,30.0,7.016679,4.091754,3.122154,1.62992,8.136266,8.163987,8.348795,8.004721,0.967784
30.0,30.0,30.0,30.0,10.0,0.0,0.0,0.0,10.0,5.419043,7.45632,3.622221,2.128863,6.770939,12.047561,3.71359,6.389163,4.413786
30.0,30.0,0.0,30.0,0.0,0.0,30.0,30.0,30.0,8.536871,4.599914,4.090883,0.875992,7.081638,5.484501,7.001786,6.885209,0.048625
0.0,20.0,0.0,30.0,20.0,10.0,0.0,10.0,0.0,2.615086,11.660729,2.77669,7.997479,5.796266,11.704973,3.647924,6.257611,7.438066
20.0,0.0,10.0,10.0,0.0,10.0,30.0,20.0,10.0,5.77659,11.337943,3.313521,5.77862,3.294801,11.889185,5.558027,12.212842,3.440265
10.0,0.0,30.0,30.0,0.0,30.0,20.0,10.0,30.0,7.335389,6.086311,3.934793,5.031568,7.1364,10.415493,7.98544,8.493137,2.123416
0.0,10.0,0.0,20.0,10.0,30.0,0.0,30.0,0.0,6.005938,7.419692,3.916803,9.128702,7.094387,7.003584,6.292391,10.13299,4.295798
10.0,0.0,20.0,30.0,20.0,30.0,30.0,0.0,0.0,4.295623,7.323284,4.005648,7.314868,7.226396,9.380287,7.686642,6.949359,5.094464
0.0,30.0,20.0,10.0,0.0,20.0,20.0,0.0,10.0,4.385859,11.774484,3.05214,6.991052,7.531483,10.641559,5.852296,8.211983,5.473376
0.0,0.0,20.0,0.0,30.0,0.0,20.0,20.0,10.0,5.59615,13.066146,4.646953,8.520503,4.494003,8.42461,4.633121,3.983037,4.720552
0.0,20.0,10.0,30.0,0.0,10.0,10.0,0.0,30.0,6.311096,10.628302,1.687376,5.512258,5.75075,13.234673,5.777341,8.138975,2.663328
