x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9
0.0,0.33,1.0,0.67,0.0,1.0,1.0,0.0,0.67,18.216784,3.08769,12.656432,90.924805,10.600002,4.884101,9.547805,32.661217,2.338022
0.0,1.0,0.0,0.33,1.0,0.67,0.0,0.67,0.0,2.362251,32.709509,9.404512,59.523647,5.467671,8.340258,3.16258,36.63207,4.581021
1.0,0.0,0.0,0.67,1.0,0.67,1.0,0.33,1.0,21.745705,29.720314,6.731983,64.563066,9.204259,10.84141,5.615543,33.020753,4.053184
0.33,0.67,0.33,0.0,0.33,0.67,0.0,0.67,0.67,5.946042,9.565128,12.373259,27.090086,4.613926,2.329433,13.424787,36.201214,3.222847
0.33,0.0,0.0,1.0,0.33,1.0,0.33,0.67,0.33,15.711171,13.490049,15.036064,17.677102,6.73991,7.041597,12.951147,23.469914,1.804153
1.0,0.0,1.0,0.67,0.67,0.67,0.0,0.67,0.33,5.749122,19.105308,9.942301,78.788476,5.077936,5.107056,13.93174,24.805082,2.495443
1.0,1.0,0.67,1.0,1.0,0.0,0.33,0.33,0.67,12.497371,35.779286,-5.027064,66.769252,5.848522,12.080107,1.52332,19.742048,4.525542
0.0,0.0,0.33,0.0,0.67,0.0,0.33,0.33,1.0,11.612533,6.411585,16.735021,27.103921,5.005848,3.246035,14.314649,40.401062,3.712965
1.0,0.67,0.0,0.33,0.33,1.0,1.0,0.0,1.0,24.266248,3.569166,0.632139,37.21103,10.07555,6.335128,6.380057,36.558224,2.679628
1.0,1.0,1.0,1.0,0.33,0.0,0.0,0.0,0.33,10.115559,7.568687,-4.75455,92.253643,5.450869,6.999859,6.047317,15.100687,3.581777
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,28.007276,36.383174,-7.053513,62.85257,7.286247,8.494024,-0.867967,8.82029,8.277995
0.0,0.67,0.0,1.0,0.67,0.33,0.0,0.33,0.0,8.456006,13.674361,14.829272,12.471472,5.23699,4.973215,10.974329,29.398642,1.947133
0.67,0.0,0.33,0.33,0.0,0.33,1.0,0.67,0.33,6.221333,10.603312,10.568739,17.094173,6.529311,3.278701,10.480646,32.794164,1.42548
0.33,0.0,1.0,1.0,0.0,1.0,0.67,0.33,1.0,29.709071,6.69652,13.882462,84.694531,9.167389,7.787946,12.071081,17.331388,3.907751
0.0,0.33,0.0,0.67,0.33,1.0,0.0,1.0,0.0,10.563765,32.670373,16.171728,46.260023,6.120506,3.626229,13.487725,25.412408,4.302627
0.33,0.0,0.67,1.0,0.67,1.0,1.0,0.0,0.0,22.841079,12.488464,11.759478,48.801068,11.457311,6.460788,7.218887,22.753897,1.482007
0.0,1.0,0.67,0.33,0.0,0.67,0.67,0.0,0.33,4.069417,3.269883,8.321329,45.702756,5.985343,2.033512,5.530128,39.917492,3.384448
0.0,0.0,0.67,0.0,1.0,0.0,0.67,0.67,0.33,1.501251,28.918681,16.021268,54.999135,5.063951,10.45232,11.697297,34.401651,2.818539
0.0,0.67,0.33,1.0,0.0,0.33,0.33,0.0,1.0,18.747506,3.703424,14.547139,19.336532,6.019204,4.941484,11.370359,26.666552,3.195197
0.67,0.33,0.0,1.0,1.0,0.67,0.67,0.0,0.67,14.092884,32.279344,11.092334,39.872423,7.210526,10.768176,8.038738,27.245534,2.205814
0.67,0.67,1.0,0.67,0.33,0.0,0.33,0.33,0.0,3.057258,5.47598,8.870246,77.699669,4.718616,3.307243,13.422335,28.886848,2.319342
1.0,0.67,0.33,0.33,1.0,1.0,0.67,0.33,0.0,9.270197,24.904225,2.985996,54.488328,7.772919,11.515448,7.884201,34.413198,1.991937
0.67,0.67,0.0,0.67,0.0,0.0,0.67,0.67,0.67,6.882052,10.673711,8.225352,16.289223,4.599237,3.885264,11.843778,30.642347,2.671848
0.67,0.33,1.0,1.0,0.67,0.67,0.33,1.0,0.0,13.469997,44.497824,12.017968,107.494555,6.508199,5.991629,11.402218,3.454557,4.783241
0.67,0.67,0.33,0.67,0.67,0.0,1.0,1.0,0.33,7.429867,42.644216,6.625324,41.218467,6.448326,4.646622,6.023459,18.70639,4.060998
0.67,1.0,0.67,0.0,0.67,1.0,0.0,1.0,1.0,24.048972,36.275585,0.647688,116.872882,6.964118,5.874532,4.72896,23.881672,10.079194
0.33,0.33,0.67,0.33,1.0,0.0,1.0,1.0,0.0,4.74097,56.473031,12.620409,75.523354,6.74497,9.802545,6.16598,21.797416,4.42931
0.67,1.0,0.33,0.0,1.0,1.0,1.0,0.0,0.33,14.154628,20.615554,-2.98097,77.71285,10.520518,12.41471,-2.063927,36.054578,3.400117
0.67,0.67,0.67,0.67,1.0,0.0,0.0,0.0,1.0,12.467191,28.951733,8.837415,62.042116,5.594662,9.584493,8.930863,32.545341,4.134784
1.0,0.67,0.67,0.33,0.67,1.0,0.33,0.67,0.67,11.207345,16.383079,4.103649,54.824589,6.388358,6.053929,11.519654,30.933407,3.26936
0.0,0.33,0.67,0.67,0.67,1.0,0.67,0.33,0.33,11.048763,9.994185,14.978947,42.071057,8.31245,3.257256,11.776559,34.975973,1.820519
0.0,1.0,0.33,0.33,0.33,0.67,0.33,1.0,1.0,18.964368,33.806417,9.334531,80.243566,5.832797,1.798112,5.043146,27.151215,9.632226
0.67,0.0,0.0,0.33,0.67,0.33,0.67,1.0,0.67,7.647312,39.309341,12.38442,46.004058,4.924627,4.448966,11.96316,23.257981,4.832232
0.0,0.0,1.0,0.0,0.33,0.0,1.0,1.0,0.67,8.584052,32.908181,14.652325,94.221254,6.768403,1.626963,9.548356,23.737987,5.213582
0.67,0.0,1.0,0.33,1.0,0.33,0.33,0.0,0.0,1.253591,24.796401,13.033052,89.389222,4.787852,10.285583,12.437753,34.009008,2.236909
1.0,0.33,1.0,0.0,1.0,0.33,0.0,0.33,0.33,1.23,23.463752,8.890752,100.99225,4.269478,12.993113,13.095152,31.918642,2.518588
0.33,0.67,0.67,0.0,0.0,0.67,1.0,0.33,0.0,8.089101,3.031043,9.159015,40.146757,7.861357,3.014688,8.629121,38.37671,1.788885
0.33,1.0,0.0,0.67,0.67,0.33,0.33,0.0,0.33,2.731102,10.924579,5.581484,20.295363,4.674528,3.476254,5.110942,37.113872,2.928165
0.33,0.33,0.0,0.33,0.0,0.0,0.33,0.33,0.33,0.878821,1.966395,14.954937,2.804042,3.929163,1.874592,15.438001,39.105454,1.08769
0.67,1.0,0.0,0.0,0.33,1.0,0.67,0.33,0.67,11.758613,4.406365,-0.737662,28.806724,7.116579,4.87384,4.305666,37.665879,3.108168
0.33,0.33,0.33,0.33,0.67,0.0,0.0,0.0,0.67,2.444598,7.580842,15.059636,12.717038,4.215242,3.276297,14.536885,39.193476,1.568369
0.33,1.0,0.33,0.67,0.0,0.33,0.0,0.33,0.67,5.377193,4.235219,5.834374,22.745222,4.497562,2.847128,6.560218,34.993979,3.464421
0.0,0.67,0.67,1.0,0.33,0.33,0.67,1.0,0.33,12.362698,37.041278,13.870569,57.127415,6.387821,4.516316,9.522879,9.128728,4.741167
0.33,1.0,1.0,0.67,1.0,0.33,0.67,1.0,1.0,20.395624,60.740751,4.902512,178.086444,7.421386,8.698563,0.349773,16.525618,11.269849
1.0,0.33,0.67,0.0,0.33,0.33,0.33,0.0,0.67,3.033064,2.966854,8.756058,21.992373,3.904955,4.115258,15.13804,36.279985,1.266546
0.67,1.0,1.0,0.0,0.0,1.0,0.33,0.67,0.0,7.374332,12.178666,0.299105,103.069414,6.11326,5.423168,5.97739,31.726798,4.358563
1.0,0.33,0.0,0.0,0.67,0.33,1.0,0.67,1.0,18.898714,16.005222,6.210193,44.544516,7.193222,6.379476,9.292999,31.561087,4.472587
