x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9
0.0,0.33,1.0,0.67,0.0,1.0,1.0,0.0,0.67,0.03478,0.018565,0.112432,0.288334,0.132592,0.443093,1.318984,1.099219,0.764563
0.0,1.0,0.0,0.33,1.0,0.67,0.0,0.67,0.0,0.044194,0.0625,0.088388,0.125,0.176777,0.25,0.353553,0.5,0.707107
1.0,0.0,0.0,0.67,1.0,0.67,1.0,0.33,1.0,0.025862,0.021363,0.085012,0.12057,0.366165,0.519322,0.270598,0.292893,1.847759
0.33,0.67,0.33,0.0,0.33,0.67,0.0,0.67,0.67,0.1486,0.244085,0.130287,0.435389,0.421172,0.292946,0.576535,1.234006,1.193711
0.33,0.0,0.0,1.0,0.33,1.0,0.33,0.67,0.33,0.047708,0.100504,0.098533,0.365651,0.309566,1.14878,0.552122,0.603188,1.160805
1.0,0.0,1.0,0.67,0.67,0.67,0.0,0.67,0.33,0.022202,0.046772,0.026032,0.08342,0.136187,0.22233,0.639366,0.307289,1.734622
1.0,1.0,0.67,1.0,1.0,0.0,0.33,0.33,0.67,0.012688,0.012274,0.015472,0.010761,0.065172,0.167136,0.236513,0.704042,1.805535
0.0,0.0,0.33,0.0,0.67,0.0,0.33,0.33,1.0,0.410278,0.338912,0.426335,0.291081,0.996666,0.519322,1.035672,0.707107,0.765367
1.0,0.67,0.0,0.33,0.33,1.0,1.0,0.0,1.0,0.033887,0.015193,0.095846,0.250458,0.206892,0.26026,0.177693,0.608424,1.847759
1.0,1.0,1.0,1.0,0.33,0.0,0.0,0.0,0.33,0.018502,0.013288,0.014517,0.01586,0.030522,0.113264,0.281274,0.698502,1.734622
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.011959,0.03125,0.08166,0.036612,0.039628,0.25,0.112085,0.707107,1.847759
0.0,0.67,0.0,1.0,0.67,0.33,0.0,0.33,0.0,0.044194,0.0625,0.088388,0.125,0.176777,0.25,0.353553,0.5,0.707107
0.67,0.0,0.33,0.33,0.0,0.33,1.0,0.67,0.33,0.072571,0.152882,0.439651,0.372216,0.267325,0.514453,0.650847,0.467436,1.497924
0.33,0.0,1.0,1.0,0.0,1.0,0.67,0.33,1.0,0.033887,0.027992,0.060458,0.183608,0.082319,0.519322,1.357055,0.608424,1.213365
0.0,0.33,0.0,0.67,0.33,1.0,0.0,1.0,0.0,0.044194,0.0625,0.088388,0.125,0.176777,0.25,0.353553,0.5,0.707107
0.33,0.0,0.67,1.0,0.67,1.0,1.0,0.0,0.0,0.044194,0.0625,0.088388,0.125,0.176777,0.25,0.353553,0.5,0.707107
0.0,1.0,0.67,0.33,0.0,0.67,0.67,0.0,0.33,0.065125,0.046772,0.149885,0.244693,0.136187,0.262084,0.552122,1.587769,0.763106
0.0,0.0,0.67,0.0,1.0,0.0,0.67,0.67,0.33,0.075416,0.158875,0.259369,0.144355,0.814871,0.39164,1.255031,0.698502,0.763106
0.0,0.67,0.33,1.0,0.0,0.33,0.33,0.0,1.0,0.169943,0.076192,0.151949,0.191144,0.130504,0.823301,0.680093,1.468866,0.765367
0.67,0.33,0.0,1.0,1.0,0.67,0.67,0.0,0.67,0.035901,0.019163,0.064039,0.105188,0.31312,0.803004,0.369267,0.726737,1.555497
0.67,0.67,1.0,0.67,0.33,0.0,0.33,0.33,0.0,0.044194,0.0625,0.088388,0.125,0.176777,0.25,0.353553,0.5,0.707107
1.0,0.67,0.33,0.33,1.0,1.0,0.67,0.33,0.0,0.044194,0.0625,0.088388,0.125,0.176777,0.25,0.353553,0.5,0.707107
0.67,0.67,0.0,0.67,0.0,0.0,0.67,0.67,0.67,0.101582,0.166855,0.274069,0.146291,0.158867,0.530898,0.283381,0.946994,1.555497
0.67,0.33,1.0,1.0,0.67,0.67,0.33,1.0,0.0,0.044194,0.0625,0.088388,0.125,0.176777,0.25,0.353553,0.5,0.707107
0.67,0.67,0.33,0.67,0.67,0.0,1.0,1.0,0.33,0.019173,0.071148,0.176686,0.084918,0.272124,0.444253,0.435545,0.917544,1.497924
0.67,1.0,0.67,0.0,0.67,1.0,0.0,1.0,1.0,0.019737,0.051575,0.023123,0.145876,0.206892,0.107803,0.36912,1.121003,1.589889
0.33,0.33,0.67,0.33,1.0,0.0,1.0,1.0,0.0,0.044194,0.0625,0.088388,0.125,0.176777,0.25,0.353553,0.5,0.707107
0.67,1.0,0.33,0.0,1.0,1.0,1.0,0.0,0.33,0.012382,0.008892,0.050197,0.124657,0.309566,0.148782,0.286325,1.062531,1.497924
0.67,0.67,0.67,0.67,1.0,0.0,0.0,0.0,1.0,0.07554,0.033868,0.036658,0.039678,0.250317,0.355018,0.58518,0.964557,1.589889
1.0,0.67,0.67,0.33,0.67,1.0,0.33,0.67,0.67,0.020449,0.033588,0.032491,0.126032,0.178347,0.172524,0.369267,0.606543,1.805535
0.0,0.33,0.67,0.67,0.67,1.0,0.67,0.33,0.33,0.037634,0.047612,0.100303,0.288446,0.406643,0.66386,1.083776,1.062531,0.763106
0.0,1.0,0.33,0.33,0.33,0.67,0.33,1.0,1.0,0.060569,0.158274,0.130743,0.282379,0.271094,0.341023,0.428989,1.707107,0.765367
0.67,0.0,0.0,0.33,0.67,0.33,0.67,1.0,0.67,0.073041,0.217424,0.307675,0.297629,0.637039,0.616237,0.428625,0.46547,1.555497
0.0,0.0,1.0,0.0,0.33,0.0,1.0,1.0,0.67,0.052606,0.156596,0.401595,0.184676,0.363452,0.2528,1.531005,0.704042,0.764563
0.67,0.0,1.0,0.33,1.0,0.33,0.33,0.0,0.0,0.044194,0.0625,0.088388,0.125,0.176777,0.25,0.353553,0.5,0.707107
1.0,0.33,1.0,0.0,1.0,0.33,0.0,0.33,0.33,0.031363,0.039678,0.028496,0.05484,0.203507,0.097809,0.552122,0.467436,1.734622
0.33,0.67,0.67,0.0,0.0,0.67,1.0,0.33,0.0,0.044194,0.0625,0.088388,0.125,0.176777,0.25,0.353553,0.5,0.707107
0.33,1.0,0.0,0.67,0.67,0.33,0.33,0.0,0.33,0.072571,0.05212,0.100303,0.126895,0.267325,0.436417,0.242893,1.37111,1.160805
0.33,0.33,0.0,0.33,0.0,0.0,0.33,0.33,0.33,0.27469,0.347517,0.439651,0.315756,0.34496,0.66386,0.476782,0.917544,1.160805
0.67,1.0,0.0,0.0,0.33,1.0,0.67,0.33,0.67,0.046782,0.045254,0.096862,0.288334,0.240293,0.167136,0.181503,1.099219,1.555497
0.33,0.33,0.33,0.33,0.67,0.0,0.0,0.0,0.67,0.292884,0.156335,0.169774,0.184368,0.616115,0.595997,0.751269,0.946994,1.193711
0.33,1.0,0.33,0.67,0.0,0.33,0.0,0.33,0.67,0.124023,0.119974,0.083448,0.16423,0.11423,0.381732,0.369267,1.432367,1.193711
0.0,0.67,0.67,1.0,0.33,0.33,0.67,1.0,0.33,0.024741,0.091811,0.129432,0.126895,0.160538,0.595746,0.839864,1.37111,0.763106
0.33,1.0,1.0,0.67,1.0,0.33,0.67,1.0,1.0,0.009217,0.024086,0.03416,0.032795,0.130504,0.18509,0.562111,1.468866,1.213365
1.0,0.33,0.67,0.0,0.33,0.33,0.33,0.0,0.67,0.124023,0.066201,0.130287,0.16423,0.207016,0.14399,0.481183,0.46547,1.805535
0.67,1.0,1.0,0.0,0.0,1.0,0.33,0.67,0.0,0.044194,0.0625,0.088388,0.125,0.176777,0.25,0.353553,0.5,0.707107
1.0,0.33,0.0,0.0,0.67,0.33,1.0,0.67,1.0,0.053722,0.076192,0.231393,0.191144,0.412832,0.21511,0.232834,0.464335,1.847759
0.67,0.33,0.67,1.0,0.0,0.67,0.0,0.67,1.0,0.064998,0.092184,0.048034,0.164468,0.085698,0.540636,0.766769,0.736127,1.589889
1.0,0.33,0.33,0.0,0.0,0.33,0.67,1.0,0.0,0.044194,0.0625,0.088388,0.125,0.176777,0.25,0.353553,0.5,0.707107
0.67,0.0,0.67,0.33,0.33,0.33,0.0,0.33,1.0,0.231817,0.191494,0.130743,0.260737,0.327994,0.4126,0.891135,0.464335,1.589889
0.0,0.67,1.0,1.0,1.0,0.33,1.0,0.67,0.67,0.009737,0.015994,0.04761,0.039677,0.153906,0.394696,1.012208,1.432367,0.764563
1.0,0.0,0.33,0.67,0.33,0.67,0.67,0.0,0.0,0.044194,0.0625,0.088388,0.125,0.176777,0.25,0.353553,0.5,0.707107
0.0,0.33,0.33,0.67,1.0,1.0,0.33,0.67,1.0,0.046225,0.065559,0.062939,0.250458,0.654479,0.92823,0.891135,1.121003,0.765367
0.67,0.33,0.33,1.0,0.33,0.67,1.0,0.33,0.33,0.027569,0.034879,0.129432,0.18247,0.178893,0.66386,0.562035,0.711044,1.497924
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044194,0.0625,0.088388,0.125,0.176777,0.25,0.353553,0.5,0.707107
