x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9
0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,4.200544,3.169627,2.752441,5.145056,1.240114,1.737214,4.151907,3.681072,6.634657
0.0,10.0,15.0,47.5,15.0,0.0,30.0,35.0,60.0,2.530016,2.04885,3.862872,3.909607,2.165048,1.871484,3.935571,3.585111,3.660533
0.0,60.0,30.0,47.5,0.0,60.0,0.0,47.5,0.0,6.10668,2.333859,3.883943,4.79271,2.548657,3.037606,2.679346,3.70499,5.032512
0.0,10.0,45.0,22.5,60.0,0.0,30.0,35.0,15.0,2.557671,4.089815,3.372448,3.209121,1.782427,3.153702,3.106889,2.621975,3.454778
0.0,22.5,15.0,35.0,45.0,60.0,0.0,60.0,30.0,4.309931,2.32583,2.525576,4.462095,2.068571,2.467511,4.178554,3.754072,3.817963
0.0,22.5,30.0,60.0,15.0,45.0,45.0,10.0,30.0,4.919421,1.287537,5.255136,3.906196,3.254571,1.877501,3.487643,3.976702,5.144601
0.0,22.5,0.0,60.0,30.0,15.0,30.0,47.5,15.0,3.910608,1.758161,4.720644,3.379244,3.054809,2.381456,3.909587,3.708469,4.884626
0.0,22.5,60.0,35.0,0.0,15.0,15.0,35.0,45.0,3.848948,4.279373,3.486815,4.189861,2.036249,3.515015,2.410064,1.812392,4.271647
0.0,35.0,30.0,10.0,45.0,30.0,60.0,22.5,15.0,4.169992,3.702259,5.266059,3.942351,2.095772,2.003211,2.73275,3.183744,4.308075
0.0,35.0,15.0,22.5,30.0,30.0,45.0,60.0,0.0,4.620167,3.69589,4.415595,4.287982,2.130665,2.407517,3.253803,2.892119,4.675291
0.0,35.0,30.0,10.0,15.0,30.0,15.0,47.5,60.0,2.96072,3.491604,2.680312,4.674156,1.233849,2.421236,3.265381,2.878291,3.305771
0.0,35.0,60.0,47.5,30.0,30.0,15.0,22.5,0.0,4.543911,3.609234,3.956482,3.678962,2.491995,3.665087,2.123037,2.190504,4.76806
0.0,47.5,15.0,35.0,0.0,15.0,60.0,35.0,15.0,4.992822,3.25993,6.155616,4.151244,2.558833,1.939213,2.562569,3.243045,5.1687
0.0,47.5,30.0,22.5,60.0,45.0,15.0,10.0,30.0,3.021035,3.042233,2.949775,3.858098,1.550537,2.857124,3.119929,3.946377,3.205433
0.0,60.0,0.0,22.5,45.0,0.0,30.0,22.5,45.0,2.609507,3.336611,3.98051,3.857746,1.470514,2.661125,2.668278,3.762716,3.139039
0.0,60.0,45.0,35.0,15.0,60.0,0.0,22.5,30.0,5.61473,2.945534,3.405525,4.971211,1.978346,3.097569,2.161583,3.38967,4.62502
