x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9
1.0,2.0,4.0,3.0,1.0,4.0,4.0,1.0,3.0,4.684211,22.346343,1.299381,2.034784,4.459636,71.259914,13.358593,2.163658,5.3743
1.0,4.0,1.0,2.0,4.0,3.0,1.0,3.0,1.0,3.676475,77.838177,1.415068,2.46232,21.395804,22.633043,7.651333,2.155105,4.298404
4.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0,4.0,5.759628,149.936406,0.624213,1.539988,8.31925,88.131294,8.359603,1.895711,4.891342
2.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,3.458318,27.914279,1.142169,1.636963,22.142674,102.008094,8.408747,1.508719,3.747549
2.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,2.0,3.708591,38.614843,1.22504,1.477232,19.274199,81.332606,7.805039,2.516974,8.291175
4.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,4.267388,114.438942,1.16428,1.015094,18.337266,93.768623,4.937229,2.203351,5.443164
4.0,4.0,3.0,4.0,4.0,1.0,2.0,2.0,3.0,5.243048,147.955897,1.202708,1.63057,16.885217,24.072402,8.500387,2.319093,7.753502
1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,4.712098,43.836982,0.625898,1.264722,20.818412,97.333004,11.763292,1.353129,4.30989
4.0,3.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,6.134705,86.015117,0.651494,1.726888,8.497445,86.598689,11.751941,1.569446,3.835874
4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,5.74968,93.16058,1.305542,1.576979,17.384767,34.478405,11.10071,2.485525,7.969594
4.0,4.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,8.806621,86.928087,0.742203,2.954983,5.108885,32.277876,3.184782,2.160259,8.553643
1.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.980771,56.769172,1.484834,1.675252,21.991515,94.477876,11.018625,2.677121,7.490964
3.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,3.979468,46.299009,1.138249,1.842364,7.819446,96.857801,7.508266,1.802315,4.551058
2.0,1.0,4.0,4.0,1.0,4.0,3.0,2.0,4.0,6.575351,30.059561,0.785219,1.486928,10.198892,83.085775,11.477151,2.198953,8.048309
1.0,2.0,1.0,3.0,2.0,4.0,1.0,4.0,1.0,3.252958,26.213063,1.35736,2.034966,21.19518,66.803246,5.162396,2.507761,6.255619
2.0,1.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,3.578251,70.678339,1.468792,1.985763,6.094923,77.08803,12.450598,2.690469,7.736223
1.0,4.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,4.818694,9.789408,1.300077,2.291542,12.454907,33.823487,14.017801,1.959698,4.233193
1.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,2.0,3.809227,78.319852,1.227688,1.720865,12.793338,86.437642,8.08333,1.66396,4.317149
1.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,4.0,5.748771,17.858806,0.80424,1.522768,19.560718,101.503816,13.533678,2.179982,7.546547
3.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,3.500524,120.087919,1.157195,1.141992,14.010317,72.735599,11.315215,2.284349,7.071897
3.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,3.809359,58.089201,1.406709,1.15468,16.118733,101.331866,10.102326,2.408925,5.402891
4.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0,1.0,2.868689,138.869515,1.306091,1.30847,13.76947,73.140534,9.197664,2.060087,3.752896
3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,4.175611,47.69939,1.134927,1.566138,13.920041,101.441833,6.65701,2.063172,5.589842
3.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,1.0,4.698973,88.747772,1.405705,1.583642,13.951144,76.062434,3.422229,2.612475,8.020818
3.0,3.0,2.0,3.0,3.0,1.0,4.0,4.0,2.0,5.536986,89.370532,1.27883,2.545177,5.776962,93.354262,3.065237,2.233898,5.788457
3.0,4.0,3.0,1.0,3.0,4.0,1.0,4.0,4.0,7.675185,75.322966,0.685375,2.526179,18.876469,13.530835,3.935006,1.447027,4.723673
2.0,2.0,3.0,2.0,4.0,1.0,4.0,4.0,1.0,4.444259,92.981607,1.378606,2.463527,5.042095,71.05418,4.616903,2.018881,4.752607
3.0,4.0,2.0,1.0,4.0,4.0,4.0,1.0,2.0,4.972534,113.568074,1.284581,2.569187,6.969792,7.544854,11.92751,1.770379,3.666511
3.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,4.0,5.832256,113.396866,0.719585,1.194712,21.116889,93.451988,10.819017,1.934942,5.08348
4.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,4.135833,105.31297,1.088726,1.255585,18.015911,81.830016,5.729244,1.710653,4.171605
1.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.796405,52.181458,1.282416,1.582994,12.81943,63.381534,10.832906,2.320909,5.393884
1.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,7.287155,18.386327,0.717786,2.764185,17.789624,32.110438,5.758403,1.651197,4.980255
3.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,3.0,4.061844,78.679685,1.015857,1.736753,13.4325,89.304416,3.919376,1.652689,4.954624
1.0,1.0,4.0,1.0,2.0,1.0,4.0,4.0,3.0,5.539714,27.943253,1.227964,2.627004,3.258161,96.767477,6.201034,1.499939,4.923832
3.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,2.852912,109.61098,1.304327,0.870947,16.806576,86.742994,11.772676,2.005211,4.141405
4.0,2.0,4.0,1.0,4.0,2.0,1.0,2.0,2.0,3.873239,139.870747,1.14961,0.7298,19.072978,73.770198,9.3331,1.59026,3.530162
2.0,3.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,3.680546,23.474678,1.432904,2.130865,6.730768,101.410647,12.197533,1.837707,3.397585
2.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,4.385055,60.3599,1.256678,1.905817,19.545995,28.227521,11.888813,2.324448,5.43426
2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.009008,17.838322,1.115355,1.026211,20.911729,87.907167,11.910704,1.843056,4.553238
3.0,4.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0,4.453839,51.355448,1.123989,2.044497,13.937487,18.08388,11.1113,1.592884,4.094164
2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.65644,54.341419,1.068373,1.040839,23.144358,84.260037,12.767477,1.687563,4.34825
2.0,4.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,4.271351,23.552062,1.186229,2.01449,21.635638,35.311734,10.941611,2.149217,5.66264
1.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,5.688581,31.800193,1.389342,2.43326,10.360261,93.059909,5.445733,2.484044,8.180074
2.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,8.817405,94.884408,0.836356,2.844298,7.78033,17.372279,3.621565,2.008757,5.945713
4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.125444,79.366534,0.991998,0.551461,19.505908,85.337419,12.00539,1.407142,3.701311
3.0,4.0,4.0,1.0,1.0,4.0,2.0,3.0,1.0,4.809608,40.556786,1.389187,2.031799,15.053696,18.959259,7.626298,1.92778,4.416816
4.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,4.0,6.090246,112.355888,0.57154,1.594679,8.294722,78.930738,5.993826,1.256863,3.704928
3.0,2.0,3.0,4.0,1.0,3.0,1.0,3.0,4.0,6.120799,49.462135,0.680382,1.204594,20.30394,86.274967,6.911599,2.110623,7.725493
4.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,3.423001,71.193122,1.18609,1.457456,13.0016,80.084738,4.135508,1.73895,4.418474
3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,4.0,5.117418,49.783859,0.562316,0.946247,21.983989,99.406982,10.854062,1.49659,4.472349
1.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,5.977615,95.982241,1.446353,2.603856,2.565614,86.326133,7.275461,2.335347,7.363965
4.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.252448,87.491274,1.224032,0.88964,14.523754,96.646363,11.077939,2.369667,5.195605
1.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,5.422186,81.319861,0.716813,1.601288,19.32953,59.217031,6.981491,2.019177,5.514678
3.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,4.260828,67.165758,1.2629,1.701951,7.22188,82.74044,10.496121,2.427206,7.294599
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.70019,9.271668,1.283134,1.244052,23.859445,102.467764,14.352181,1.848482,4.424564
