x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.39877,1.516994,0.757871,0.368593,7.152023,1.442208,0.897959,3.955928,1.893705
5.0,5.0,6.0,8.0,6.0,5.0,7.0,7.0,9.0,25.407876,17.626798,14.191748,31.615866,10.525332,27.233643,1.206942,21.887206,0.851441
5.0,9.0,7.0,8.0,5.0,9.0,5.0,8.0,5.0,0.831705,1.293006,4.88537,2.312758,14.487207,21.704592,6.604271,23.757034,16.215757
5.0,5.0,8.0,6.0,9.0,5.0,7.0,7.0,6.0,9.542938,6.833555,0.498754,0.261028,39.264442,20.955361,1.278047,17.418798,1.771298
5.0,6.0,6.0,7.0,8.0,9.0,5.0,9.0,7.0,16.545198,1.023277,8.472628,8.840409,0.923981,34.189616,5.641342,16.293255,5.0885
5.0,6.0,7.0,9.0,6.0,8.0,8.0,5.0,7.0,10.770823,48.073701,15.499401,3.721027,6.681451,24.748411,6.56001,29.597573,0.705374
5.0,6.0,5.0,9.0,7.0,6.0,7.0,8.0,6.0,7.142202,15.629399,0.599687,2.98773,13.447196,38.694403,2.369016,21.795463,2.014574
5.0,6.0,9.0,7.0,5.0,6.0,6.0,7.0,8.0,15.050946,2.740454,8.038736,15.431532,7.497232,17.217431,1.291763,36.362984,1.914581
5.0,7.0,7.0,5.0,8.0,7.0,9.0,6.0,6.0,3.708855,110.484455,3.979227,4.099704,5.716586,35.644717,4.782691,4.683901,0.674865
5.0,7.0,6.0,6.0,7.0,7.0,8.0,9.0,5.0,3.016789,51.818145,0.343759,2.078065,99.977183,60.628104,3.499722,5.017252,1.466061
5.0,7.0,7.0,5.0,6.0,7.0,6.0,8.0,9.0,19.6357,4.867348,16.839061,27.832067,14.280132,25.202426,1.715218,13.878249,4.022778
5.0,7.0,9.0,8.0,7.0,7.0,6.0,6.0,5.0,3.862629,1.495063,2.030617,1.085921,12.894336,11.182452,2.799836,41.053327,4.987647
5.0,8.0,6.0,7.0,5.0,6.0,9.0,7.0,6.0,1.03692,137.492594,1.438987,2.154442,128.080198,48.735978,3.684035,5.84942,0.990448
5.0,8.0,7.0,6.0,9.0,8.0,6.0,5.0,7.0,6.106436,1.41669,11.966587,4.676549,144.815929,5.806143,4.009814,15.255281,12.054726
5.0,9.0,5.0,6.0,8.0,5.0,7.0,6.0,8.0,2.577248,18.056136,6.044719,8.757772,20.598435,15.70167,1.262064,7.609538,13.616598
5.0,9.0,8.0,7.0,6.0,9.0,5.0,6.0,7.0,2.76168,0.908697,18.370501,8.753537,8.622999,6.962303,6.164461,26.689783,16.705213
6.0,5.0,7.0,6.0,7.0,9.0,9.0,5.0,8.0,19.975944,117.364885,35.33641,0.696905,2.773069,33.333347,10.072707,9.533597,0.967716
6.0,5.0,9.0,5.0,6.0,6.0,8.0,7.0,7.0,11.025795,44.904682,3.709202,0.181628,13.496051,31.555205,2.136014,19.352461,0.568018
6.0,8.0,7.0,9.0,8.0,6.0,7.0,6.0,5.0,1.282117,12.453532,0.7497,0.720411,47.676555,20.259653,2.651837,31.996121,9.096377
6.0,5.0,9.0,7.0,7.0,8.0,5.0,8.0,6.0,12.812557,1.459926,3.61805,2.952627,7.529682,20.830861,3.360643,36.587305,2.997639
6.0,6.0,5.0,7.0,8.0,7.0,7.0,5.0,9.0,24.990386,15.076766,27.406938,25.64345,69.328289,13.958356,2.7028,14.271308,2.859302
6.0,6.0,9.0,6.0,9.0,8.0,6.0,9.0,6.0,10.507015,0.829235,1.344952,0.888502,21.221284,39.173373,3.473091,30.213848,4.986788
6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.901666,5.658282,1.143601,0.923552,13.664287,9.122037,1.065238,8.668405,2.865748
6.0,6.0,7.0,5.0,9.0,7.0,5.0,7.0,8.0,19.270476,1.726972,9.829512,14.015981,153.953991,11.278237,1.697111,15.622198,6.879345
6.0,7.0,5.0,8.0,9.0,6.0,5.0,6.0,7.0,8.934979,1.340627,3.733177,10.86055,210.284689,8.626743,1.509096,20.569654,11.145965
6.0,7.0,8.0,7.0,6.0,6.0,9.0,5.0,5.0,1.75224,120.751266,1.717327,5.693784,14.223973,32.878138,3.853085,14.094639,0.572382
6.0,7.0,5.0,6.0,5.0,9.0,8.0,7.0,9.0,20.689596,64.668531,42.609936,14.632424,27.567761,35.102391,7.815335,7.401007,1.327904
6.0,7.0,8.0,5.0,5.0,8.0,7.0,9.0,6.0,5.445923,19.76242,1.816104,0.167831,74.674794,46.996116,4.032003,12.976881,2.464133
6.0,8.0,5.0,5.0,7.0,5.0,6.0,9.0,7.0,3.702089,6.019929,0.327975,3.219896,6.769038,38.226029,0.801099,5.478004,9.454873
6.0,8.0,6.0,9.0,7.0,7.0,5.0,7.0,5.0,1.940478,0.847236,1.074596,3.83937,30.216928,15.619706,2.778407,29.734978,13.038046
6.0,9.0,7.0,7.0,5.0,5.0,6.0,8.0,5.0,0.575396,7.281785,0.77825,0.320152,8.725039,25.595209,1.113673,15.432875,14.286032
6.0,9.0,6.0,8.0,5.0,7.0,7.0,5.0,7.0,1.161925,25.296111,8.421803,4.538459,2.637689,14.167945,3.400194,17.96565,11.696716
7.0,5.0,5.0,7.0,9.0,7.0,8.0,6.0,6.0,10.157745,40.827749,3.845523,0.456577,126.990618,26.497514,4.015643,8.958505,1.53717
7.0,5.0,9.0,9.0,6.0,7.0,6.0,9.0,8.0,20.016363,1.986077,5.587277,21.464996,2.821156,51.070194,2.278811,64.730794,2.446377
7.0,5.0,6.0,6.0,5.0,7.0,9.0,8.0,7.0,10.57674,138.110331,4.571877,1.048571,69.249831,64.675123,4.453323,4.979892,1.08492
7.0,5.0,8.0,9.0,5.0,6.0,6.0,6.0,7.0,12.901322,3.743209,5.269328,10.05626,29.09581,15.563795,1.861758,46.717537,2.305588
7.0,6.0,5.0,8.0,6.0,8.0,9.0,7.0,5.0,4.808183,133.7082,4.325902,4.423402,15.588444,53.43166,7.863671,9.056016,0.554059
7.0,6.0,6.0,5.0,9.0,9.0,7.0,8.0,5.0,9.104102,11.886404,4.921381,1.194659,87.261259,31.625266,7.278713,6.914888,4.351412
7.0,6.0,7.0,8.0,5.0,6.0,5.0,9.0,6.0,7.743073,1.111104,0.344463,3.953308,3.061385,38.102859,1.283468,26.364243,4.577846
7.0,6.0,8.0,5.0,7.0,6.0,6.0,5.0,9.0,23.773721,3.348769,21.526434,24.628915,116.994611,7.511246,1.126371,22.269864,3.983656
7.0,7.0,6.0,9.0,6.0,5.0,5.0,5.0,8.0,11.304111,1.082791,8.870089,26.525336,101.799554,8.141001,1.081491,35.927369,8.59415
7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,6.239051,17.6928,1.886557,2.284656,26.566483,25.040606,1.334607,17.790045,4.661675
7.0,7.0,8.0,8.0,5.0,9.0,8.0,6.0,7.0,8.455101,54.560041,21.435107,1.152389,0.922203,29.817718,9.203999,28.987846,1.853335
7.0,7.0,9.0,6.0,8.0,5.0,5.0,5.0,6.0,4.970896,1.469754,1.263972,1.501568,238.680227,3.507606,0.84715,31.612546,9.463995
7.0,8.0,9.0,5.0,6.0,9.0,7.0,6.0,5.0,2.248883,17.419202,9.790616,1.26189,24.579495,14.752794,7.419887,21.40811,6.827322
7.0,8.0,7.0,6.0,5.0,7.0,8.0,6.0,9.0,11.016279,63.736703,25.341793,13.183083,0.942342,28.049002,3.165005,14.117808,3.899959
7.0,9.0,5.0,6.0,8.0,8.0,6.0,7.0,5.0,0.658395,5.363347,2.468747,0.172388,108.568741,15.695932,4.217725,7.584478,20.762731
7.0,9.0,6.0,5.0,7.0,6.0,8.0,5.0,6.0,0.517237,61.847911,2.334055,1.437647,34.729751,18.826631,2.634994,4.542125,10.197482
8.0,5.0,7.0,6.0,6.0,6.0,7.0,9.0,5.0,6.890713,21.358243,0.731964,1.244251,1.730119,51.112039,1.716351,11.956152,1.790393
8.0,5.0,6.0,7.0,7.0,8.0,5.0,6.0,9.0,32.994534,1.017927,33.45516,33.656263,236.622497,10.369947,3.154937,23.219667,5.485662
8.0,6.0,9.0,6.0,5.0,7.0,7.0,5.0,7.0,10.083482,18.757198,9.44258,0.90626,85.130181,13.274882,2.76104,29.100927,2.438007
8.0,6.0,5.0,5.0,7.0,5.0,9.0,6.0,7.0,7.185527,136.64161,3.480275,2.157225,26.501525,40.329704,2.502878,2.545494,0.632136
8.0,7.0,5.0,9.0,5.0,9.0,6.0,7.0,6.0,7.352228,8.233473,11.848568,3.458225,61.834212,23.155382,7.73427,27.626339,7.832599
8.0,7.0,6.0,7.0,9.0,6.0,6.0,5.0,5.0,3.987558,2.380043,0.989327,0.163382,499.80781,8.082947,1.834952,15.886623,12.0242
8.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,5.413581,45.008836,3.244944,5.155777,50.626178,55.620145,1.757951,34.526474,7.845345
8.0,9.0,7.0,5.0,6.0,7.0,5.0,7.0,6.0,0.777895,2.209288,1.994488,0.642846,123.745285,12.145787,1.99238,12.895449,22.317228
9.0,5.0,7.0,8.0,7.0,9.0,6.0,5.0,6.0,13.962793,4.946066,16.40352,1.025075,446.208762,11.224913,7.381496,30.551792,5.914567
9.0,5.0,6.0,5.0,8.0,6.0,6.0,7.0,7.0,14.131481,4.947336,2.987093,1.20958,425.639756,18.41492,1.33147,11.431189,6.395827
9.0,6.0,8.0,6.0,7.0,7.0,5.0,7.0,5.0,6.76741,0.959847,1.17788,0.196542,366.103326,14.017128,2.063121,24.015727,9.058674
9.0,6.0,7.0,7.0,5.0,5.0,8.0,6.0,5.0,3.640869,66.413062,0.584068,3.82621,113.739537,29.614517,2.077776,15.068153,2.06184
9.0,7.0,6.0,5.0,5.0,8.0,7.0,6.0,8.0,12.498685,31.119785,20.517157,3.499841,183.969124,19.16287,4.199869,10.349624,6.359978
9.0,7.0,5.0,6.0,6.0,6.0,5.0,8.0,7.0,7.689867,2.871971,1.6308,3.219586,198.766466,24.056261,1.126166,11.754028,11.922232
9.0,8.0,5.0,7.0,6.0,7.0,7.0,5.0,6.0,2.159224,30.256644,4.821177,0.200571,279.817171,15.417248,3.311946,11.893492,11.997276
9.0,9.0,9.0,9.0,9.0,5.0,9.0,9.0,9.0,4.447888,99.007077,5.608236,10.617079,93.057321,110.618939,2.410191,63.715814,13.262442
