x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9
1.0,3.3,7.5,1.7,2.2,0.2,0.2,6.0,0.5,11.467952,12.571254,15.628509,16.270914,26.561036,60.401727,28.785246,18.407935,24.638582
1.0,3.3,9.38,1.92,2.28,0.2,0.35,18.0,2.5,19.244062,13.015859,19.063809,16.485311,39.433634,74.38933,36.857707,23.257062,37.176536
1.0,3.9,11.25,1.92,2.2,1.4,0.2,24.0,0.5,24.023756,13.040272,17.415457,20.25281,40.898222,48.226235,38.142749,20.927875,50.02876
1.0,3.3,13.12,1.78,2.5,0.2,0.35,18.0,1.0,19.902192,13.69615,18.084348,16.471386,32.775403,60.390515,38.370934,20.492755,26.75828
1.0,3.45,9.38,1.85,2.42,1.4,0.2,30.0,1.5,30.089094,13.515031,17.848623,18.073861,40.261418,56.975478,40.548654,21.40234,50.5063
1.0,3.45,11.25,2.0,2.28,1.1,0.42,6.0,1.5,24.162371,12.994624,17.559218,17.612511,42.376621,58.512143,35.760826,22.136035,43.462875
1.0,3.45,7.5,2.0,2.35,0.5,0.35,24.0,1.0,16.244538,13.238112,16.936518,17.476194,36.647173,54.541182,37.540577,21.530422,32.86799
1.0,3.45,15.0,1.85,2.2,0.5,0.28,18.0,2.0,14.239864,12.768348,19.034475,17.036745,34.016829,61.356585,32.769603,21.600317,34.611107
1.0,3.6,11.25,1.7,2.42,0.8,0.5,12.0,1.0,23.986221,13.611936,17.717902,18.059422,37.156539,53.197648,41.012821,19.436811,31.634474
1.0,3.6,9.38,1.78,2.35,0.8,0.42,30.0,0.5,19.172194,13.328819,16.984806,18.201634,34.408643,46.976785,41.489352,19.45229,31.787786
1.0,3.6,11.25,1.7,2.28,0.8,0.28,24.0,2.5,19.854184,13.239679,19.74571,17.929304,34.167749,66.082083,35.835567,21.573175,39.857432
1.0,3.6,15.0,1.92,2.35,0.8,0.28,12.0,0.5,16.584293,13.314318,17.981471,17.960781,33.446722,51.765996,32.279091,20.73757,33.742405
1.0,3.75,9.38,1.85,2.2,0.5,0.5,18.0,1.0,17.206436,12.949984,17.147281,18.819827,39.837736,51.138693,41.035203,20.049065,31.282958
1.0,3.75,11.25,1.78,2.5,1.1,0.28,6.0,1.5,26.235693,14.083194,18.923884,19.062681,34.685035,62.582625,34.481574,20.944558,41.067718
1.0,3.9,7.5,1.78,2.42,0.2,0.35,12.0,2.0,20.831161,13.987963,19.720986,19.827118,35.305761,71.513501,40.114399,21.70226,33.84111
1.0,3.9,13.12,1.85,2.28,1.4,0.2,12.0,1.5,27.375033,13.372513,18.852651,20.08847,40.825829,58.159886,34.655827,21.452452,51.753763
1.75,3.3,11.25,1.78,2.35,1.4,0.5,6.0,2.0,34.529738,13.175172,17.856157,16.9837,44.307744,59.093097,39.244166,21.272971,49.546271
1.75,3.3,15.0,1.7,2.28,0.5,0.42,18.0,1.5,16.086402,12.880746,17.772948,16.189178,34.128129,50.052747,35.94609,19.607535,28.868728
1.75,3.75,11.25,2.0,2.42,0.5,0.35,12.0,0.5,16.115196,13.721403,17.355941,18.537595,36.044312,50.546052,36.225264,21.251279,31.238338
1.75,3.3,15.0,1.85,2.35,1.1,0.2,24.0,1.0,19.503183,13.088711,17.397105,16.649447,34.226669,45.503025,33.915956,20.371654,38.495445
1.75,3.45,7.5,1.85,2.42,0.8,0.35,6.0,2.5,23.519725,13.64425,19.053465,17.274549,38.357679,69.609473,35.663005,22.596096,41.031602
1.75,3.45,15.0,1.78,2.5,1.1,0.28,30.0,1.0,23.293056,13.783042,18.225824,17.40357,33.344506,45.974359,39.302011,20.282423,37.539681
1.75,3.45,9.38,1.78,2.28,0.2,0.28,12.0,1.0,12.862907,12.981854,16.354619,16.797918,30.315719,54.967229,32.655261,19.458421,26.491528
1.75,3.45,11.25,1.7,2.5,0.8,0.2,18.0,2.0,21.04535,13.886954,18.705951,17.009501,31.058696,59.806267,33.698852,20.795429,35.131596
1.75,3.6,7.5,1.92,2.5,0.5,0.2,12.0,1.5,17.888857,13.97814,17.901346,17.951266,32.480377,60.297204,33.502028,21.594163,32.964646
1.75,3.6,13.12,1.85,2.28,0.5,0.5,6.0,0.5,17.516889,13.067431,16.831975,17.631199,39.21141,48.327802,41.321537,19.70281,28.475563
1.75,3.6,7.5,1.78,2.2,1.4,0.42,18.0,2.5,30.775065,12.953917,18.617616,18.562355,44.324443,60.980639,36.699813,22.081461,54.63928
1.75,3.6,13.12,1.7,2.2,1.1,0.35,30.0,1.0,18.198971,12.794009,16.928247,17.90431,33.519367,40.731212,37.933484,18.969675,36.733217
1.75,3.75,7.5,1.7,2.35,0.2,0.28,30.0,1.5,15.173172,13.533386,17.796219,18.647866,30.059988,55.964991,41.422436,19.80109,28.462797
1.75,3.75,9.38,2.0,2.35,0.8,0.2,18.0,0.5,14.68757,13.456606,16.827958,18.736363,33.966576,47.141423,33.120422,21.038465,35.234034
1.75,3.9,11.25,1.85,2.2,0.2,0.28,24.0,0.5,10.123047,13.060595,17.000696,19.125344,31.051979,47.945823,37.358995,19.728502,27.672459
1.75,3.9,9.38,1.92,2.2,0.8,0.35,6.0,1.5,15.577283,13.110911,17.553403,19.489633,36.92604,53.646776,34.327019,21.045924,37.420704
2.5,3.3,7.5,1.85,2.5,0.8,0.42,12.0,1.0,21.120195,13.688259,15.944819,16.277759,36.071608,46.277021,35.973635,19.973148,31.351694
2.5,3.3,15.0,2.0,2.28,0.8,0.28,30.0,2.0,15.456852,12.919778,18.050893,16.199033,37.91457,48.133615,36.158976,22.477769,38.285231
2.5,3.3,9.38,1.78,2.2,0.8,0.5,24.0,1.5,17.730428,12.602816,15.663909,16.08454,39.155712,40.649205,37.639332,19.389002,32.160863
2.5,3.3,13.12,2.0,2.2,0.5,0.28,12.0,1.5,10.682322,12.599083,16.41826,15.849217,35.619691,48.55744,29.816871,21.370469,32.041046
2.5,3.45,7.5,1.92,2.28,1.1,0.5,18.0,0.5,22.034949,12.942838,15.098191,17.242147,41.451571,37.138323,37.231972,19.886866,37.440034
2.5,3.45,9.38,1.7,2.5,1.4,0.35,24.0,0.5,29.164511,13.7645,16.023621,17.405753,36.050913,40.440578,36.74299,18.993618,42.562969
2.5,3.45,11.25,1.92,2.2,0.5,0.2,30.0,1.0,8.745482,12.686074,15.769409,16.562604,31.290935,41.375728,36.036083,20.086888,29.185314
2.5,3.45,13.12,1.7,2.35,0.5,0.28,6.0,2.5,17.436902,13.369077,19.032906,16.427659,32.958838,64.592973,32.790358,21.299247,33.963561
2.5,3.6,9.38,2.0,2.28,0.2,0.2,6.0,2.0,13.569471,13.188483,17.531609,17.344482,35.471614,63.311977,31.532885,22.492851,34.00129
2.5,3.6,11.25,1.85,2.35,0.2,0.35,18.0,1.5,15.034647,13.388035,17.170395,17.264326,34.67198,51.774042,36.86039,20.618012,28.659385
2.5,3.6,13.12,1.92,2.2,1.4,0.42,12.0,1.5,26.3027,12.82006,16.851823,17.976062,43.811253,44.468567,34.70227,21.216397,48.991158
2.5,3.6,15.0,1.78,2.42,0.2,0.2,6.0,1.0,14.102785,13.611656,17.657546,17.129843,28.69815,54.069228,31.971394,19.931181,25.60315
2.5,3.75,15.0,1.7,2.28,1.4,0.35,12.0,0.5,24.749647,13.168079,16.844215,18.56929,36.647272,38.927954,33.396245,18.911154,43.469206
2.5,3.75,11.25,1.78,2.2,0.8,0.42,12.0,2.5,18.823882,13.080965,18.621486,18.120535,39.299881,56.643244,36.458272,21.468597,39.385989
2.5,3.9,7.5,1.78,2.42,1.1,0.28,18.0,0.5,20.072793,13.853366,16.517509,19.581143,32.920614,40.986133,34.67632,19.213142,37.01793
2.5,3.9,9.38,1.7,2.35,0.5,0.42,6.0,1.0,16.091116,13.617083,16.773337,18.957331,33.35239,47.690768,38.455914,18.771085,27.345323
3.25,3.3,11.25,1.78,2.28,0.5,0.35,30.0,0.5,10.46179,12.824353,14.700687,15.481361,31.067981,32.919417,37.449233,18.454141,24.281846
3.25,3.3,9.38,1.85,2.35,1.1,0.2,12.0,2.5,21.847297,13.244794,17.337633,15.882862,38.23666,55.961798,30.323311,21.971469,44.273525
3.25,3.45,15.0,1.78,2.2,0.8,0.35,6.0,1.5,13.034976,12.702787,16.294794,16.144594,33.654706,41.361851,30.636212,19.411631,31.330762
3.25,3.45,7.5,1.7,2.35,0.2,0.5,12.0,1.5,18.429993,13.27407,15.64845,16.303527,38.470665,47.553906,41.655647,19.038671,25.328909
3.25,3.6,7.5,2.0,2.2,1.4,0.28,18.0,1.0,21.734894,12.797237,14.793753,17.862523,42.761651,36.524011,32.469915,20.909472,48.41555
3.25,3.6,9.38,1.85,2.5,0.5,0.28,6.0,0.5,14.842171,13.907748,15.632659,16.978873,30.759716,44.478555,32.534658,19.501862,25.956787
3.25,3.75,13.12,1.92,2.42,0.2,0.42,24.0,2.0,18.237267,13.824147,18.124774,17.673261,40.045579,50.856889,41.551807,22.002112,31.31846
3.25,3.9,11.25,1.7,2.28,0.8,0.2,18.0,1.0,11.403251,13.346439,15.847508,18.364763,28.47271,36.385874,31.407405,18.293259,29.266118
4.0,3.3,11.25,1.92,2.35,1.4,0.28,6.0,1.0,23.843337,13.078707,14.384695,15.74479,40.282535,36.723451,29.490573,20.128349,44.451973
4.0,3.3,9.38,1.7,2.42,0.5,0.28,18.0,1.5,12.963004,13.405751,14.985091,14.964266,29.420186,39.251561,31.614524,18.812268,24.885887
4.0,3.45,13.12,1.78,2.35,0.8,0.2,18.0,0.5,11.008466,13.185261,14.576844,15.657985,28.955071,29.676991,29.284795,18.396894,26.790018
4.0,3.45,11.25,1.85,2.2,0.2,0.42,12.0,0.5,9.697133,12.663143,13.816433,15.532608,35.314733,34.097196,34.267184,18.642444,22.7095
4.0,3.6,9.38,1.7,2.2,1.1,0.35,12.0,2.0,17.474904,12.880474,15.331051,16.628237,35.616319,39.325275,30.899108,19.21749,37.500733
4.0,3.6,7.5,1.78,2.28,0.5,0.2,24.0,1.5,9.123206,13.131637,14.765504,16.460343,29.240809,37.040974,32.24733,19.002737,26.858005
4.0,3.75,7.5,1.85,2.28,0.8,0.35,6.0,1.0,12.643888,13.217375,14.328867,17.422336,33.853481,35.257093,31.432652,18.949837,29.936258
4.0,3.9,15.0,2.0,2.5,0.2,0.5,30.0,2.5,23.037454,14.330526,19.28705,18.036838,47.259634,52.342399,47.128013,23.748818,34.708272
