x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9
25.0,23.33,35.0,26.67,30.0,40.0,40.0,20.0,30.0,3.038778,2.989926,1.414134,2.255662,2.454378,2.741462,3.496614,2.32742,3.134843
25.0,30.0,20.0,23.33,40.0,35.0,30.0,26.67,20.0,1.571728,2.378877,2.480035,2.549346,3.213732,2.687396,2.066789,0.849577,1.202906
45.0,20.0,20.0,26.67,40.0,35.0,40.0,23.33,35.0,1.220212,3.399572,1.648486,5.020197,1.344446,2.277751,3.349174,3.079259,2.197088
31.67,26.67,25.0,20.0,33.33,35.0,30.0,26.67,30.0,1.568128,2.577031,2.447997,2.447097,2.518994,2.197639,2.645431,2.066321,1.889552
31.67,20.0,20.0,30.0,33.33,40.0,33.33,26.67,25.0,1.702914,2.587479,2.107447,2.591371,2.69488,2.084863,2.423049,1.313734,2.313373
45.0,20.0,35.0,26.67,36.67,35.0,30.0,26.67,25.0,2.19399,1.546679,1.777882,3.670071,2.161855,2.15391,2.204119,1.411898,1.70425
45.0,30.0,30.0,30.0,40.0,25.0,33.33,23.33,30.0,1.338295,2.047738,2.102026,4.424019,1.819642,2.734515,2.291752,2.380488,1.01358
25.0,20.0,25.0,20.0,36.67,25.0,33.33,23.33,35.0,2.176187,3.006746,2.465536,2.604093,2.403866,1.669376,2.855354,3.535147,0.995786
45.0,26.67,20.0,23.33,33.33,40.0,40.0,20.0,35.0,1.081408,3.747443,1.796036,4.57413,1.548208,2.85818,3.766471,3.194779,2.936679
45.0,30.0,35.0,30.0,33.33,25.0,30.0,20.0,25.0,2.245094,1.690683,2.309917,3.227917,2.493647,3.12257,2.062668,1.933248,0.912863
45.0,30.0,20.0,30.0,30.0,25.0,40.0,30.0,35.0,1.428246,3.688567,2.819344,4.211653,1.797917,2.496533,3.390011,2.881548,2.314093
25.0,26.67,20.0,30.0,36.67,30.0,30.0,23.33,20.0,2.006603,2.279892,2.601212,1.777265,3.516983,2.774772,1.787425,1.2749,0.543121
38.33,20.0,25.0,23.33,30.0,30.0,40.0,26.67,25.0,1.786529,3.788669,2.208965,3.892793,2.269226,2.475017,3.600947,1.724728,1.662166
31.67,20.0,35.0,30.0,30.0,40.0,36.67,23.33,35.0,2.809273,2.510918,1.319366,2.592246,2.063781,1.946648,3.061342,2.779155,3.031565
25.0,23.33,20.0,26.67,33.33,40.0,30.0,30.0,20.0,1.884048,2.232136,2.706432,1.775506,3.362037,2.157001,2.093119,0.922249,2.365006
31.67,20.0,30.0,30.0,36.67,40.0,40.0,20.0,20.0,1.861091,2.631502,1.40151,3.09519,2.480567,2.973329,3.134397,1.2618,2.303634
25.0,30.0,30.0,23.33,30.0,35.0,36.67,20.0,25.0,2.281594,3.144574,2.072803,2.338367,2.998902,3.066547,3.168047,1.499144,1.880783
25.0,20.0,30.0,20.0,40.0,25.0,36.67,26.67,25.0,2.414886,3.034933,2.143017,3.298727,2.514033,2.089042,3.109607,1.820231,0.935438
25.0,26.67,25.0,30.0,30.0,30.0,33.33,20.0,35.0,2.236308,2.745643,2.567663,1.689765,2.855402,2.335205,2.457102,3.163504,1.647151
38.33,23.33,20.0,30.0,40.0,35.0,36.67,20.0,30.0,1.326756,2.974784,1.929911,4.335634,1.919214,2.631528,2.726131,2.443808,1.87094
38.33,26.67,35.0,26.67,33.33,25.0,33.33,23.33,20.0,2.534933,2.339807,2.106976,3.495806,2.743285,2.876981,2.442365,1.608463,0.561825
45.0,26.67,25.0,23.33,40.0,40.0,36.67,23.33,20.0,0.707886,2.910544,1.543899,5.127475,2.05927,3.056234,3.034486,1.168172,1.851185
38.33,26.67,20.0,26.67,30.0,25.0,36.67,26.67,30.0,1.773562,3.627159,2.686642,3.824907,2.294455,2.448089,3.000702,2.583959,1.4668
