x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9
3.0,3.67,5.0,4.33,3.0,5.0,5.0,3.0,4.33,27.372618,16.225886,17.613701,85.298128,64.647402,31.828574,29.565122,6.359492,8.237284
3.0,5.0,3.0,3.67,5.0,4.33,3.0,4.33,3.0,17.394929,13.932533,44.61754,42.049953,57.949477,26.940622,29.197962,17.401175,2.854084
5.0,3.0,3.0,4.33,5.0,4.33,5.0,3.67,5.0,29.180676,12.703192,42.906727,42.153826,37.760255,36.558875,17.131421,0.348642,7.31293
3.67,4.33,3.67,3.0,3.67,4.33,3.0,4.33,4.33,8.698719,13.630988,44.217517,41.894717,67.886779,22.951354,21.472911,16.697573,2.630578
3.67,3.0,3.0,5.0,3.67,5.0,3.67,4.33,3.67,5.132446,20.369923,55.834531,85.593997,56.018463,30.612208,26.135555,15.0771,1.174098
5.0,3.0,5.0,4.33,4.33,4.33,3.0,4.33,3.67,3.576145,13.594735,17.065092,42.228918,40.284954,25.430982,26.535502,11.826166,6.495088
5.0,5.0,4.33,5.0,5.0,3.0,3.67,3.67,4.33,23.053372,3.628694,23.897421,0.762534,9.450564,15.752454,27.201906,9.540045,7.715305
3.0,3.0,3.67,3.0,4.33,3.0,3.67,3.67,5.0,6.92292,4.034682,40.455478,0.018686,89.761448,12.421057,18.507658,15.60976,2.297047
5.0,4.33,3.0,3.67,3.67,5.0,5.0,3.0,5.0,35.688418,16.043904,46.796494,85.031178,26.893262,31.067616,20.851875,0.16222,8.470161
5.0,5.0,5.0,5.0,3.67,3.0,3.0,3.0,3.67,20.446944,0.569684,14.082926,0.852569,9.448626,2.925558,36.245341,11.275925,9.049112
5.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,45.241056,22.087826,43.424731,0.768436,7.023446,59.604595,0.513721,-0.055103,9.913104
3.0,4.33,3.0,5.0,4.33,3.67,3.0,3.67,3.0,9.229211,5.282343,52.352066,16.097949,58.0205,10.046273,35.518769,17.574324,1.381804
4.33,3.0,3.67,3.67,3.0,3.67,5.0,4.33,3.67,27.843865,14.726508,50.55162,15.500881,65.056706,41.460751,25.257608,3.765458,5.706836
3.67,3.0,5.0,5.0,3.0,5.0,4.33,3.67,5.0,11.579301,16.184422,14.15326,85.654876,54.555724,26.693475,17.884313,11.298118,6.748089
3.0,3.67,3.0,4.33,3.67,5.0,3.0,5.0,3.0,3.268928,29.169051,55.239063,85.224948,68.282145,46.262315,18.66781,17.75805,0.650132
3.67,3.0,4.33,5.0,4.33,5.0,5.0,3.0,3.0,26.169712,16.143596,37.653993,85.619098,53.204499,32.88484,37.28087,5.595123,5.843128
3.0,5.0,4.33,3.67,3.0,4.33,4.33,3.0,3.67,27.89274,7.631527,34.028627,42.101254,56.405705,15.728115,35.821552,11.956285,6.204859
3.0,3.0,4.33,3.0,5.0,3.0,4.33,4.33,3.67,13.470721,10.712697,31.470355,0.030525,88.647218,33.632006,25.68522,12.47936,3.630249
3.0,4.33,3.67,5.0,3.0,3.67,3.67,3.0,5.0,12.177052,2.805973,41.696448,16.099556,57.585132,5.474921,21.954979,15.39882,3.320471
4.33,3.67,3.0,5.0,5.0,4.33,4.33,3.0,4.33,15.05948,7.514434,46.620775,42.542777,44.208171,18.83366,30.106879,9.659427,3.552344
4.33,4.33,5.0,4.33,3.67,3.0,3.67,3.67,3.0,11.749546,3.986274,18.295885,0.424089,50.775097,12.657852,35.603514,13.02654,6.640535
5.0,4.33,3.67,3.67,5.0,5.0,4.33,3.67,3.0,20.666369,16.250533,42.086423,85.017402,28.538331,30.059264,34.817342,6.438474,5.987013
4.33,4.33,3.0,4.33,3.0,3.0,4.33,4.33,4.33,20.09691,10.56735,51.742818,0.35214,50.392335,28.709726,20.922412,9.536727,4.464495
4.33,3.67,5.0,5.0,4.33,4.33,3.67,5.0,3.0,5.901696,23.343043,16.674013,42.605684,44.690452,48.332929,18.460443,13.295736,5.774535
4.33,4.33,3.67,4.33,4.33,3.0,5.0,5.0,3.67,33.165345,22.174639,43.57061,0.3276,48.777128,61.462734,14.689361,3.784733,6.68409
4.33,5.0,4.33,3.0,4.33,5.0,3.0,5.0,5.0,17.063183,28.556905,22.296979,84.974625,38.8433,48.681363,1.8322,14.535146,6.460154
3.67,3.67,4.33,3.67,5.0,3.0,5.0,5.0,3.0,27.827845,22.317768,31.062402,0.121257,73.406584,64.262297,17.181957,5.686454,6.212816
4.33,5.0,3.67,3.0,5.0,5.0,5.0,3.0,3.67,42.696073,16.055317,37.669955,84.988093,35.789727,35.458999,34.585574,3.45018,8.141816
4.33,4.33,4.33,4.33,5.0,3.0,3.0,3.0,5.0,8.892107,0.411677,22.703484,0.338542,51.58778,5.373902,21.981049,14.583139,4.961219
5.0,4.33,4.33,3.67,4.33,5.0,3.67,4.33,4.33,12.690314,19.994458,30.769355,85.016234,29.4199,32.766619,21.212522,9.903863,6.318513
3.0,3.67,4.33,4.33,4.33,5.0,4.33,3.67,3.67,13.086379,16.347827,35.372946,85.224759,66.793843,27.866403,32.156094,12.504564,3.87194
3.0,5.0,3.67,3.67,3.67,4.33,3.67,5.0,5.0,19.793537,23.311028,35.955901,42.036192,57.657511,46.129323,1.916649,15.365735,4.78781
4.33,3.0,3.0,3.67,4.33,3.67,4.33,5.0,4.33,13.431426,21.390669,50.085803,15.471766,66.881579,51.023817,10.232187,9.756894,3.349053
3.0,3.0,5.0,3.0,3.67,3.0,5.0,5.0,4.33,27.207727,22.44562,15.70509,0.088526,86.64418,61.354229,9.376724,6.474351,7.990653
4.33,3.0,5.0,3.67,5.0,3.67,3.67,3.0,3.0,5.633294,2.954729,14.644891,15.559083,67.120939,11.211891,38.630813,13.106644,5.530034
5.0,3.67,5.0,3.0,5.0,3.67,3.0,3.67,3.67,6.599288,4.999396,12.307372,15.439565,47.570661,13.910355,32.653609,11.756093,6.850223
3.67,4.33,4.33,3.0,3.0,4.33,5.0,3.67,3.0,33.244669,12.888554,38.185116,41.947594,64.592556,33.177309,34.327298,5.446907,7.087659
3.67,5.0,3.0,4.33,4.33,3.67,3.67,3.0,3.67,20.946324,2.973355,48.154957,15.782644,48.205626,7.727794,36.200547,14.587896,3.739524
3.67,3.67,3.0,3.67,3.0,3.0,3.67,3.67,3.67,8.341981,4.18658,56.300789,0.149379,76.082972,10.377508,32.763983,14.88938,1.627633
4.33,5.0,3.0,3.0,3.67,5.0,4.33,3.67,4.33,29.078406,16.302893,47.836143,84.997265,37.548336,26.466044,27.101102,9.342238,5.917281
3.67,3.67,3.67,3.67,4.33,3.0,3.0,3.0,4.33,4.833297,0.702687,44.152653,0.121602,76.563232,2.424185,31.054912,16.658069,1.839582
3.67,5.0,3.67,4.33,3.0,3.67,3.0,3.67,4.33,17.598613,4.921725,42.719223,15.779609,48.594074,8.601693,27.776002,16.316362,4.070711
3.0,4.33,4.33,5.0,3.67,3.67,4.33,5.0,3.67,18.17562,21.338853,34.705305,16.096027,56.614304,50.445922,15.415018,12.408484,4.648732
3.67,5.0,5.0,4.33,5.0,3.67,4.33,5.0,5.0,25.841776,21.14537,-0.584163,15.790301,46.880462,55.421218,1.221964,11.087965,9.229669
5.0,3.67,4.33,3.0,3.67,3.67,3.67,3.0,4.33,10.519874,2.729776,35.318675,15.414565,47.542678,6.537412,31.001903,9.769652,5.659392
4.33,5.0,5.0,3.0,3.0,5.0,3.67,4.33,3.0,20.469855,20.276638,15.895401,85.07554,37.887216,32.205261,29.172189,12.838484,8.144412
5.0,3.67,3.0,3.0,4.33,3.67,5.0,4.33,5.0,32.027198,14.668691,45.56878,15.368977,45.17103,43.206148,11.178412,0.365909,7.728224
4.33,3.67,4.33,5.0,3.0,4.33,3.0,4.33,5.0,3.839028,13.351861,31.713616,42.558423,45.436871,22.492958,12.378926,14.752956,4.228466
5.0,3.67,3.67,3.0,3.0,3.67,4.33,5.0,3.0,17.685509,21.395536,50.135914,15.406691,46.760628,49.381201,18.279185,6.450759,5.374044
4.33,3.0,4.33,3.67,3.67,3.67,3.0,3.67,5.0,3.021394,4.818411,31.678473,15.496454,68.01076,9.131971,18.831773,14.703927,3.979024
3.0,4.33,5.0,5.0,5.0,3.67,5.0,4.33,4.33,31.781499,14.696695,7.668854,16.117906,54.523333,47.224688,19.68874,6.454816,8.88511
5.0,3.0,3.67,4.33,3.67,4.33,4.33,3.0,3.0,15.472785,7.58119,51.393463,42.205086,39.375402,15.350684,38.488617,6.374336,4.972759
3.0,3.67,3.67,4.33,5.0,5.0,3.67,4.33,5.0,5.536408,20.172464,35.30624,85.175066,67.902247,34.507559,11.968714,15.773951,2.459832
4.33,3.67,3.67,5.0,3.67,4.33,5.0,3.67,3.67,28.922686,12.705138,49.080571,42.556524,42.5267,33.030646,31.414777,3.808054,5.905187
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.204672,1.176405,58.394322,0.083937,89.997945,0.415761,38.924277,17.453796,0.492287
3.67,4.33,3.0,3.0,5.0,4.33,3.67,5.0,3.67,11.412631,23.531466,45.733649,41.884207,67.472782,49.460699,15.641034,15.028263,2.285381
3.67,4.33,5.0,3.0,4.33,4.33,4.33,3.0,5.0,18.493284,7.497117,7.971981,41.958632,66.035592,18.158723,21.646215,11.190125,7.873382
3.67,3.67,5.0,3.67,3.67,3.0,4.33,4.33,5.0,13.871231,10.509747,11.481271,0.170581,74.783357,30.687689,12.041823,11.330293,7.131787
3.0,5.0,5.0,3.67,4.33,4.33,5.0,3.67,4.33,40.949386,12.844233,8.986156,42.107765,54.458136,36.266933,26.377751,6.14268,10.436295
3.67,5.0,4.33,4.33,3.67,3.67,5.0,4.33,3.0,41.22696,14.687959,33.548575,15.792809,45.462975,43.056561,28.15947,5.285591,8.457955
5.0,4.33,5.0,3.67,3.0,5.0,3.0,5.0,3.67,9.450089,28.784295,17.035257,85.092723,29.392413,47.322966,15.999533,11.6989,7.63831
5.0,5.0,3.67,5.0,4.33,3.0,4.33,4.33,3.0,30.852805,10.445607,42.634262,0.768206,8.694063,31.213,28.735611,6.161996,7.443966
5.0,3.0,4.33,4.33,3.0,4.33,3.67,5.0,4.33,6.862933,23.173962,36.156793,42.190373,40.231423,45.441283,10.627373,9.898881,5.290249
