x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9
0.0,27.0,81.0,54.0,0.0,81.0,81.0,0.0,54.0,16.240057,52.877761,56.504126,30.412253,24.354779,2.356887,4.602536,27.652683,39.880134
0.0,81.0,0.0,27.0,81.0,54.0,0.0,54.0,0.0,56.094619,31.290713,15.792204,26.958575,21.376422,47.998408,14.06028,33.646834,22.652064
81.0,0.0,0.0,54.0,81.0,54.0,81.0,27.0,81.0,69.251533,30.58223,15.011468,8.517405,25.486223,44.999113,8.02948,15.11512,17.012496
27.0,54.0,27.0,0.0,27.0,54.0,0.0,54.0,54.0,20.753931,25.898794,30.160747,35.566553,14.716279,58.153328,8.130888,32.680642,35.079094
27.0,0.0,0.0,81.0,27.0,81.0,27.0,54.0,27.0,35.371532,59.343013,28.533727,28.552992,8.216691,52.520933,4.333508,37.488016,27.877997
81.0,0.0,81.0,54.0,54.0,54.0,0.0,54.0,27.0,37.572352,32.343621,24.832346,28.780752,4.352398,48.227075,5.843926,21.874627,22.503387
81.0,81.0,54.0,81.0,81.0,0.0,27.0,27.0,54.0,108.235265,24.659224,37.021192,11.658263,25.970708,64.205528,18.402586,19.715706,34.274591
0.0,0.0,27.0,0.0,54.0,0.0,27.0,27.0,81.0,27.334626,2.568011,30.005344,23.345918,12.847514,63.882509,2.393093,29.633537,44.399981
81.0,54.0,0.0,27.0,27.0,81.0,81.0,0.0,81.0,24.132957,49.025854,34.661773,22.62455,35.794931,17.392218,16.764559,19.084927,29.485378
81.0,81.0,81.0,81.0,27.0,0.0,0.0,0.0,27.0,53.530192,26.355935,51.858158,27.627482,20.50388,52.038208,16.582537,21.289968,34.749449
81.0,81.0,0.0,81.0,0.0,0.0,81.0,81.0,81.0,25.3066,34.688262,36.132422,14.509611,41.41278,127.68232,20.569628,23.175427,41.662706
0.0,54.0,0.0,81.0,54.0,27.0,0.0,27.0,0.0,66.412842,24.655597,19.8215,26.928113,8.963259,49.076906,5.701684,39.580278,27.456992
54.0,0.0,27.0,27.0,0.0,27.0,81.0,54.0,27.0,20.73652,14.640864,37.355754,39.681417,13.882838,75.697677,2.014297,37.558177,39.663017
27.0,0.0,81.0,81.0,0.0,81.0,54.0,27.0,81.0,3.913612,62.74062,54.583046,16.593378,22.398823,35.7323,6.138726,22.231263,40.406104
0.0,27.0,0.0,54.0,27.0,81.0,0.0,81.0,0.0,30.964522,53.929669,27.537471,33.771701,6.281666,45.783503,5.080073,39.398841,29.869766
27.0,0.0,54.0,81.0,54.0,81.0,81.0,0.0,0.0,47.563409,61.621148,27.1465,25.400638,17.383749,3.52766,5.023615,35.222716,11.062187
0.0,81.0,54.0,27.0,0.0,54.0,54.0,0.0,27.0,32.785198,27.69307,48.604264,40.494779,28.283207,26.499733,10.729797,31.513173,40.053694
0.0,0.0,54.0,0.0,81.0,0.0,54.0,54.0,27.0,45.392249,6.525155,33.381039,27.049863,7.633965,79.08977,1.018833,36.663041,49.10964
0.0,54.0,27.0,81.0,0.0,27.0,27.0,0.0,81.0,20.997728,26.396425,40.319843,17.492715,21.296327,42.242498,6.775389,27.815864,40.171172
54.0,27.0,0.0,81.0,81.0,54.0,54.0,0.0,54.0,89.584874,36.987819,9.074684,12.566146,14.974555,34.581649,7.637717,27.541846,12.948671
54.0,54.0,81.0,54.0,27.0,0.0,27.0,27.0,0.0,42.963732,13.969189,44.759914,36.416792,9.777011,55.818468,6.930055,29.204957,36.580494
81.0,54.0,27.0,27.0,81.0,81.0,54.0,27.0,0.0,53.031356,51.196115,17.973523,25.374235,18.489943,45.35736,15.607068,25.638501,11.453877
54.0,54.0,0.0,54.0,0.0,0.0,54.0,54.0,54.0,21.07412,15.822064,32.597716,31.689627,18.759713,86.575208,9.003996,34.242805,41.140087
54.0,27.0,81.0,81.0,54.0,54.0,27.0,81.0,0.0,59.881449,48.890042,35.425165,23.302935,5.848714,53.204427,5.674156,27.749102,17.786057
54.0,54.0,27.0,54.0,54.0,0.0,81.0,81.0,27.0,66.652317,20.675251,36.402403,28.430772,20.890853,110.026372,8.103367,34.797618,37.259853
54.0,81.0,54.0,0.0,54.0,81.0,0.0,81.0,81.0,29.58357,54.741353,28.094697,20.196721,33.600637,65.414961,20.0327,14.435258,25.016169
27.0,27.0,54.0,27.0,81.0,0.0,81.0,81.0,0.0,75.17615,13.917247,38.694285,25.147781,13.446323,101.903706,2.551254,35.130733,43.542784
54.0,81.0,27.0,0.0,81.0,81.0,81.0,0.0,27.0,38.075049,53.611801,24.54332,25.306635,37.087704,15.652564,20.058398,26.892611,15.630157
54.0,54.0,54.0,54.0,81.0,0.0,0.0,0.0,81.0,85.98217,10.729614,34.568668,9.740615,19.270142,52.293142,10.074776,18.211975,39.256328
81.0,54.0,54.0,27.0,54.0,81.0,27.0,54.0,54.0,38.326682,51.354776,28.252957,27.234168,19.268122,62.270521,14.884853,18.994298,20.204258
0.0,27.0,54.0,54.0,54.0,81.0,54.0,27.0,27.0,44.033401,52.881393,28.181052,30.742094,13.96171,35.500838,5.111512,32.763864,15.236761
0.0,81.0,27.0,27.0,27.0,54.0,27.0,81.0,81.0,28.045869,35.384651,35.459573,25.253061,33.612022,69.317907,13.366113,23.94244,32.644612
54.0,0.0,0.0,27.0,54.0,27.0,54.0,81.0,54.0,39.210966,17.472053,27.457344,28.043398,11.484304,88.223033,3.049629,31.617135,33.10018
0.0,0.0,81.0,0.0,27.0,0.0,81.0,81.0,54.0,26.521908,12.313088,34.134526,34.730463,17.153321,113.058768,1.311207,31.163146,41.314042
54.0,0.0,81.0,27.0,81.0,27.0,27.0,0.0,0.0,52.228086,10.049689,24.054431,27.601285,3.135574,46.417932,3.523083,28.391668,32.163337
81.0,27.0,81.0,0.0,81.0,27.0,0.0,27.0,27.0,44.692727,10.730166,27.931362,25.793151,4.208404,56.526145,6.795915,20.193747,38.235562
27.0,54.0,54.0,0.0,0.0,54.0,81.0,27.0,0.0,32.211647,26.461013,45.438675,42.934305,21.781628,41.905394,6.617513,36.262597,40.053132
27.0,81.0,0.0,54.0,54.0,27.0,27.0,0.0,27.0,55.891727,18.801023,23.182678,31.350172,22.917324,50.44795,14.123549,36.312837,30.209876
27.0,27.0,0.0,27.0,0.0,0.0,27.0,27.0,27.0,18.605254,4.55931,30.186909,41.73309,5.105454,61.924434,2.207453,41.367663,40.885852
54.0,81.0,0.0,0.0,27.0,81.0,54.0,27.0,54.0,20.320465,50.882795,34.791448,34.455536,34.584184,49.873359,20.012055,29.517204,31.705089
