x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9
2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.180672,0.036759,0.066223,0.338259,0.236709,0.909331,0.076388,0.025479,1.941644
2.0,2.0,3.5,3.75,1.25,2.0,5.0,2.5,8.0,1.384231,4.008673,7.282442,18.218648,20.441886,0.247839,4.527136,2.581748,12.470096
2.0,8.0,5.0,3.75,0.0,5.0,2.0,3.75,2.0,25.141261,0.103303,0.084369,2.012084,-0.064095,2.474392,1.647573,0.270013,1.529856
2.0,2.0,6.5,1.25,5.0,2.0,5.0,2.5,3.5,0.211725,0.705055,5.52612,4.680439,0.258925,6.603095,1.747289,0.605215,29.403669
2.0,3.5,3.5,2.5,3.75,5.0,2.0,5.0,5.0,0.140758,0.660452,0.025806,14.014558,0.458362,0.194279,3.751517,0.002475,4.018153
2.0,3.5,5.0,5.0,1.25,4.25,6.5,0.0,5.0,2.323192,4.881173,8.326313,18.248769,2.720431,3.619255,12.313581,4.27475,5.17371
2.0,3.5,2.0,5.0,2.5,2.75,5.0,3.75,3.5,0.472237,0.816375,2.630674,2.257868,0.044497,-0.075727,9.688345,-0.007564,4.363526
2.0,3.5,8.0,2.5,0.0,2.75,3.5,2.5,6.5,0.348014,1.085664,1.507844,14.409183,3.465214,13.367039,0.610116,0.188019,5.313551
2.0,5.0,5.0,0.0,3.75,3.5,8.0,1.25,3.5,5.845608,1.275459,19.955296,5.064893,2.622732,30.533067,7.728772,1.027918,30.616906
2.0,5.0,3.5,1.25,2.5,3.5,6.5,5.0,2.0,14.971099,0.025208,5.998222,0.452522,-0.003189,8.984705,6.013227,0.200689,8.703353
2.0,5.0,5.0,0.0,1.25,3.5,3.5,3.75,8.0,0.415438,1.481597,0.949242,20.968442,21.688503,6.293685,1.081203,0.138607,9.811382
2.0,5.0,8.0,3.75,2.5,3.5,3.5,1.25,2.0,8.573386,0.763495,0.370599,4.658904,-0.103919,8.80809,1.516915,0.120982,3.091281
2.0,6.5,3.5,2.5,0.0,2.75,8.0,2.5,3.5,25.073352,0.521689,18.513855,1.013439,0.909155,13.37396,8.365813,-0.015087,6.438366
2.0,6.5,5.0,1.25,5.0,4.25,3.5,0.0,5.0,0.439149,6.780571,0.306647,26.235694,3.401871,2.024977,4.159422,10.352733,9.348364
2.0,8.0,2.0,1.25,3.75,2.0,5.0,1.25,6.5,0.665417,7.538164,2.990715,11.412657,15.314553,0.293711,6.216689,7.048086,16.068426
2.0,8.0,6.5,2.5,1.25,5.0,2.0,1.25,5.0,1.712796,2.658241,0.071436,20.282772,0.6468,5.300824,1.426731,0.469232,1.925906
