x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9
0.0,0.33,1.0,0.67,0.0,1.0,1.0,0.0,0.67,0.423987,1.305081,1.374204,0.60559,0.423987,0.58894,1.374204,1.361447,1.355372
0.0,1.0,0.0,0.33,1.0,0.67,0.0,0.67,0.0,-0.207063,1.075449,-0.207063,1.754569,0.794954,1.091238,-0.207063,1.091238,-0.207063
1.0,0.0,0.0,0.67,1.0,0.67,1.0,0.33,1.0,1.821543,0.981786,0.91133,0.192709,1.821543,0.192709,1.821543,0.922943,1.821543
0.33,0.67,0.33,0.0,0.33,0.67,0.0,0.67,0.67,-0.127929,1.091238,-0.127929,1.808021,-0.127929,1.091238,-0.207063,1.091238,0.775095
0.33,0.0,0.0,1.0,0.33,1.0,0.33,0.67,0.33,0.09285,1.656128,0.015157,0.909973,0.09285,0.909973,0.09285,0.926055,0.09285
1.0,0.0,1.0,0.67,0.67,0.67,0.0,0.67,0.33,1.538169,1.226058,1.538169,0.458354,1.519628,0.458354,0.602615,0.458354,0.6765
1.0,1.0,0.67,1.0,1.0,0.0,0.33,0.33,0.67,1.948828,0.050911,1.931015,0.050911,1.948828,0.867582,1.120982,0.807994,1.931015
0.0,0.0,0.33,0.0,0.67,0.0,0.33,0.33,1.0,-1.095969,2.364062,-1.011072,2.364062,-0.042291,2.364062,-1.011072,2.314238,-0.020986
1.0,0.67,0.0,0.33,0.33,1.0,1.0,0.0,1.0,1.680794,0.326476,0.757994,1.046749,0.830872,0.309332,1.680794,1.10479,1.680794
1.0,1.0,1.0,1.0,0.33,0.0,0.0,0.0,0.33,1.369168,0.593398,1.369168,0.593398,0.493579,1.365539,0.418501,1.365539,0.493579
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.948828,0.050911,1.049998,0.050911,1.049998,0.867582,1.948828,0.050911,1.948828
0.0,0.67,0.0,1.0,0.67,0.33,0.0,0.33,0.0,-0.757508,1.475623,-0.757508,1.460515,0.268938,2.110333,-0.757508,2.110333,-0.757508
0.67,0.0,0.33,0.33,0.0,0.33,1.0,0.67,0.33,0.768371,1.812925,-0.135194,1.759505,-0.214375,1.759505,0.788242,1.096572,-0.135194
0.33,0.0,1.0,1.0,0.0,1.0,0.67,0.33,1.0,0.830872,1.10479,1.680794,0.309332,0.757994,0.309332,1.662506,1.046749,1.680794
0.0,0.33,0.0,0.67,0.33,1.0,0.0,1.0,0.0,-0.469938,1.928389,-0.469938,1.279041,-0.3891,1.263585,-0.469938,1.263585,-0.469938
0.33,0.0,0.67,1.0,0.67,1.0,1.0,0.0,0.0,0.49903,1.361447,1.355372,0.58894,1.355372,0.58894,1.374204,1.361447,0.423987
0.0,1.0,0.67,0.33,0.0,0.67,0.67,0.0,0.33,-0.207063,1.075449,0.775095,1.754569,-0.207063,1.091238,0.775095,1.808021,-0.127929
0.0,0.0,0.67,0.0,1.0,0.0,0.67,0.67,0.33,-0.461758,1.97545,0.540892,1.97545,0.561165,1.97545,0.540892,1.273317,-0.380973
0.0,0.67,0.33,1.0,0.0,0.33,0.33,0.0,1.0,-0.214375,1.096572,-0.135194,1.080792,-0.214375,1.759505,-0.135194,1.812925,0.788242
0.67,0.33,0.0,1.0,1.0,0.67,0.67,0.0,0.67,1.519628,1.168808,0.602615,0.441444,1.538169,0.458354,1.519628,1.226058,1.519628
0.67,0.67,1.0,0.67,0.33,0.0,0.33,0.33,0.0,0.985504,0.921055,1.00499,0.921055,0.099407,1.651531,0.099407,1.597058,0.021756
1.0,0.67,0.33,0.33,1.0,1.0,0.67,0.33,0.0,1.680794,0.326476,0.830872,1.046749,1.680794,0.309332,1.662506,1.046749,0.757994
0.67,0.67,0.0,0.67,0.0,0.0,0.67,0.67,0.67,0.997587,0.911085,0.034896,0.911085,0.034896,1.642362,0.997587,0.911085,0.997587
0.67,0.33,1.0,1.0,0.67,0.67,0.33,1.0,0.0,1.803504,0.922943,1.821543,0.175328,1.803504,0.192709,0.983214,0.175328,0.91133
0.67,0.67,0.33,0.67,0.67,0.0,1.0,1.0,0.33,1.666805,0.322451,0.835517,0.322451,1.666805,1.101089,1.685086,0.3053,0.835517
0.67,1.0,0.67,0.0,0.67,1.0,0.0,1.0,1.0,1.934747,0.047222,1.934747,0.864196,1.934747,0.047222,1.054056,0.047222,1.952554
0.33,0.33,0.67,0.33,1.0,0.0,1.0,1.0,0.0,0.493579,1.3092,1.350327,1.3092,1.369168,1.365539,1.369168,0.593398,0.418501
0.67,1.0,0.33,0.0,1.0,1.0,1.0,0.0,0.33,1.662506,0.309332,0.830872,1.10479,1.680794,0.309332,1.680794,1.10479,0.830872
0.67,0.67,0.67,0.67,1.0,0.0,0.0,0.0,1.0,1.360405,0.601146,1.360405,0.601146,1.379228,1.357361,0.42946,1.357361,1.379228
1.0,0.67,0.67,0.33,0.67,1.0,0.33,0.67,0.67,1.952554,0.06483,1.934747,0.804585,1.934747,0.047222,1.125015,0.06483,1.934747
0.0,0.33,0.67,0.67,0.67,1.0,0.67,0.33,0.33,0.423987,1.305081,1.355372,0.60559,1.355372,0.58894,1.355372,1.305081,0.49903
0.0,1.0,0.33,0.33,0.33,0.67,0.33,1.0,1.0,0.592513,0.449909,0.666463,1.176629,0.666463,0.466804,0.666463,0.449909,1.528896
0.67,0.0,0.0,0.33,0.67,0.33,0.67,1.0,0.67,1.181708,1.50012,0.235128,1.444659,1.181708,1.444659,1.181708,0.740014,1.181708
0.0,0.0,1.0,0.0,0.33,0.0,1.0,1.0,0.67,0.021756,1.651531,1.00499,1.651531,0.099407,1.651531,1.00499,0.904965,0.985504
0.67,0.0,1.0,0.33,1.0,0.33,0.33,0.0,0.0,0.768371,1.812925,0.788242,1.759505,0.788242,1.759505,-0.135194,1.812925,-0.214375
1.0,0.33,1.0,0.0,1.0,0.33,0.0,0.33,0.33,1.18984,1.453371,1.18984,1.508775,1.18984,1.453371,0.223136,1.453371,0.299481
0.33,0.67,0.67,0.0,0.0,0.67,1.0,0.33,0.0,-0.127929,1.091238,0.775095,1.808021,-0.207063,1.091238,0.794954,1.754569,-0.207063
0.33,1.0,0.0,0.67,0.67,0.33,0.33,0.0,0.33,-0.135194,1.080792,-0.214375,1.096572,0.768371,1.759505,-0.135194,1.812925,-0.135194
0.33,0.33,0.0,0.33,0.0,0.0,0.33,0.33,0.33,-1.86859,2.789462,-1.959082,2.789462,-1.959082,2.836205,-1.86859,2.789462,-1.86859
0.67,1.0,0.0,0.0,0.33,1.0,0.67,0.33,0.67,1.355372,0.58894,0.423987,1.361447,0.49903,0.58894,1.355372,1.305081,1.355372
0.33,0.33,0.33,0.33,0.67,0.0,0.0,0.0,0.67,-1.011072,2.314238,-1.011072,2.314238,-0.042291,2.364062,-1.095969,2.364062,-0.042291
0.33,1.0,0.33,0.67,0.0,0.33,0.0,0.33,0.67,-0.135194,1.080792,-0.135194,1.096572,-0.214375,1.759505,-0.214375,1.759505,0.768371
0.0,0.67,0.67,1.0,0.33,0.33,0.67,1.0,0.33,0.59757,0.462576,1.514989,0.445673,0.671488,1.172716,1.514989,0.445673,0.671488
0.33,1.0,1.0,0.67,1.0,0.33,0.67,1.0,1.0,1.488746,-0.297184,2.288607,-0.278967,2.288607,0.486387,2.271396,-0.297184,2.288607
1.0,0.33,0.67,0.0,0.33,0.33,0.33,0.0,0.67,0.788242,1.759505,0.768371,1.812925,-0.135194,1.759505,-0.135194,1.812925,0.768371
0.67,1.0,1.0,0.0,0.0,1.0,0.33,0.67,0.0,1.355372,0.58894,1.374204,1.361447,0.423987,0.58894,0.49903,0.60559,0.423987
1.0,0.33,0.0,0.0,0.67,0.33,1.0,0.67,1.0,1.533538,1.172716,0.59757,1.22994,1.514989,1.172716,1.533538,0.462576,1.533538
