x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9,Fitness,Nc,dy_err1,dy_err2,dy_err3,dy_err4,dy_err5,dy_err6,dy_err7,dy_err8,dy_err9
0,30,20,0,30,30,20,0,20,5.48,7.52,4.51,6.08,9.16,4.5,7.69,1.92,3.62,0.248213,2,0.0875,0.115,0.0601,0.132,0.0,0.3075,0.0,0.6162,0.1959
0.12,24.0,26.55,0.0,0.0,24.0,20.0,29.07,29.96,8.54,7.78,4.6,5.29,7.52,5.8,7.42,7.75,1.12,0.267289,4,0.0,0.0849,0.0422,0.244,0.0,0.1079,0.0,0.0,0.7502
9.8,24.0,29.13,0.0,6.0,18.0,20.0,29.75,23.96,8.18,9.12,4.66,5.55,6.72,6.57,6.42,7.73,1.75,0.21827,5,0.0,0.0,0.0283,0.2067,0.1042,0.0,0.0,0.0,0.6119
5.7,27.48,29.2,0.0,12.0,26.83,20.0,29.87,17.96,7.73,7.48,4.96,6.21,8.05,4.53,7.07,6.8,2.35,0.196576,5,0.0,0.1194,0.0,0.1134,0.0,0.303,0.0,0.0,0.4783
4.0867,27.48,29.2,0.0,8.411,15.1415,20.0,16.336,6.8881,5.76,12.35,4.02,7.11,6.79,10.01,5.25,7.73,5.01,0.065936,5,0.0392,0.0,0.1633,0.0,0.0943,0.0,0.0451,0.0,0.0
4.0867,27.48,29.2,0.0,11.2015,18.6735,20.3011,19.3399,10.5003,6.21,11.08,4.32,6.89,7.17,8.58,5.78,7.15,4.25,0.041241,5,0.0,0.0,0.1005,0.0155,0.0442,0.0,0.0,0.0,0.055
4.0867,27.48,29.263,0.0,15.8523,21.0631,20.3011,19.8159,7.2293,6.08,10.5,4.5,7.08,7.5,7.67,6.08,6.31,4.46,0.021228,7,0.0,0.0,0.0632,0.0,0.0,0.0,0.0,0.0,0.0078
4.0867,27.48,29.5031,0.0,18.8259,21.0631,20.3011,21.2467,5.4039,6.22,10.28,4.72,7.14,7.57,6.91,6.05,5.64,4.36,0.011533,7,0.0,0.0,0.0168,0.0,0.0,0.0,0.0,0.0,0.0302
4.0867,27.48,29.5031,0.0,20.5393,21.0631,20.3011,20.1758,4.2652,6.04,10.28,4.76,7.16,7.61,6.86,6.02,5.15,4.54,0.00311,8,0.0,0.0,0.0093,0.0,0.0,0.0,0.0,0.0,0.0
4.0867,27.48,29.5031,0.0,21.5207,21.0631,20.3011,20.7484,4.2652,6.1,10.17,4.83,7.15,7.64,6.52,6.03,4.89,4.46,0.00775,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217,0.0085
4.0867,27.045,29.5031,0.0,19.3161,21.0631,20.3011,20.3847,3.8792,6.04,10.38,4.7,7.21,7.54,7.11,6.0,5.55,4.58,0.00714,8,0.0,0.0,0.0214,0.0,0.0,0.0,0.0,0.0,0.0
4.0867,27.045,29.5248,0.0,20.4878,21.0631,20.3011,21.028,3.8792,6.12,10.24,4.79,7.2,7.57,6.75,6.01,5.21,4.49,0.00107,7,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.003
4.0867,27.045,29.5248,0.0,21.1989,21.0631,20.3011,21.0084,3.4469,6.1,10.19,4.83,7.2,7.6,6.6,6.01,5.02,4.49,0.000985,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003
4.0867,27.045,29.5248,0.0,21.1989,21.0631,20.3011,20.6079,3.1553,6.04,10.23,4.81,7.2,7.6,6.69,6.0,5.02,4.53,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
