x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9,Fitness,Nc,dy_err1,dy_err2,dy_err3,dy_err4,dy_err5,dy_err6,dy_err7,dy_err8,dy_err9
0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.03,0.04,0.06,0.09,0.13,0.22,0.38,0.73,1.57,0.290557,3,0.0,0.0,0.2454,0.4188,0.3358,0.46,0.3676,0.2545,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.91,0.6,0.48,0.52,0.56,0.6,0.65,0.71,0.77,0.187795,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2785,0.4898
0.4318,0.3815,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.61,0.4,0.32,0.35,0.37,0.4,0.44,0.95,1.34,0.09745,6,0.0,0.0,0.0,0.0,0.0,0.0,0.2695,0.0308,0.109
0.3915,0.4107,0.1092,0.0,0.0,0.0,0.0,0.2,1.0,0.59,0.39,0.31,0.33,0.36,0.39,0.53,1.0,1.29,0.060747,6,0.0,0.0,0.0,0.0,0.0,0.0194,0.114,0.0,0.1409
0.3939,0.3307,0.1803,0.1133,0.0,0.0,0.0,0.2,1.0,0.57,0.38,0.3,0.33,0.35,0.48,0.62,0.93,1.29,0.049687,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.1389
0.3886,0.4031,0.1803,0.1133,0.0,0.0,0.0,0.2,1.0,0.55,0.37,0.29,0.31,0.34,0.46,0.59,1.0,1.29,0.047926,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0131,0.0,0.1432
0.4136,0.3707,0.2343,0.1133,0.0,0.0,0.0,0.2,1.0,0.54,0.36,0.28,0.31,0.33,0.45,0.64,0.95,1.32,0.042186,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286,0.1233
0.4328,0.4368,0.2343,0.1133,0.0,0.0,0.0,0.2,1.0,0.51,0.34,0.27,0.29,0.31,0.43,0.6,1.0,1.34,0.03608,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1082
0.4582,0.4368,0.2343,0.1133,0.0,0.0,0.0,0.2,1.0,0.5,0.33,0.26,0.28,0.31,0.42,0.59,0.98,1.37,0.030055,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0165,0.0002,0.0886
0.4678,0.5099,0.3704,0.1133,0.0,0.0,0.0,0.2,1.0,0.43,0.29,0.23,0.25,0.27,0.37,0.64,1.03,1.38,0.039658,7,0.0,0.0,0.0,0.0,0.0,0.0868,0.0,0.0,0.0813
0.5214,0.4179,0.2785,0.3595,0.0,0.0,0.0,0.2,1.0,0.41,0.28,0.22,0.24,0.26,0.53,0.6,0.92,1.44,0.025314,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0636,0.0415
0.4717,0.5131,0.3971,0.3595,0.0,0.0,0.0,0.2,1.0,0.37,0.25,0.2,0.21,0.23,0.48,0.66,1.03,1.38,0.026126,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784
0.5336,0.5131,0.3971,0.3595,0.0,0.0,0.0,0.2,1.0,0.36,0.24,0.19,0.2,0.22,0.46,0.62,0.98,1.45,0.010881,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326
0.5779,0.5131,0.3971,0.3595,0.0,0.0,0.0,0.2,1.0,0.34,0.23,0.18,0.19,0.21,0.44,0.6,0.95,1.5,0.011377,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0341,0.0013
0.5319,0.569,0.3971,0.3595,0.0,0.0,0.0,0.2,1.0,0.34,0.23,0.18,0.19,0.21,0.44,0.6,1.03,1.45,0.011489,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0,0.0339
0.5136,0.5237,0.4333,0.3595,0.0,0.0,0.0,0.2,1.0,0.35,0.23,0.18,0.2,0.22,0.45,0.65,1.01,1.43,0.015725,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0472
0.5586,0.5237,0.4333,0.3595,0.0,0.0,0.0,0.2,1.0,0.34,0.22,0.18,0.19,0.21,0.43,0.63,0.97,1.48,0.0059,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097,0.0148
0.5356,0.5715,0.4333,0.3595,0.0,0.0,0.0,0.2,1.0,0.33,0.22,0.17,0.19,0.2,0.43,0.61,1.02,1.45,0.010401,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312
0.5842,0.5715,0.4333,0.3595,0.0,0.0,0.0,0.2,1.0,0.32,0.21,0.17,0.18,0.19,0.41,0.59,0.98,1.5,0.010956,7,0.0,0.0,0.0,0.0,0.0254,0.0,0.0209,0.0,0.0
0.4775,0.4909,0.4406,0.3263,0.1139,0.0,0.0,0.2,1.0,0.36,0.24,0.19,0.2,0.28,0.46,0.69,1.01,1.39,0.024666,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074
0.5303,0.4909,0.4406,0.3263,0.1139,0.0,0.0,0.2,1.0,0.34,0.23,0.18,0.2,0.27,0.44,0.66,0.97,1.45,0.012267,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113,0.035
0.5188,0.5424,0.4406,0.3263,0.1139,0.0,0.0,0.2,1.0,0.33,0.22,0.18,0.19,0.26,0.43,0.64,1.02,1.43,0.014458,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434
0.5734,0.5424,0.4406,0.3263,0.1139,0.0,0.0,0.2,1.0,0.32,0.21,0.17,0.18,0.25,0.41,0.61,0.97,1.49,0.003241,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,0.0044
0.5624,0.588,0.4406,0.3263,0.1139,0.0,0.0,0.2,1.0,0.31,0.21,0.16,0.18,0.24,0.39,0.59,1.01,1.48,0.007237,6,0.0,0.0,0.0,0.0,0.0,0.0148,0.0102,0.0,0.0121
0.5018,0.4806,0.4305,0.4023,0.1139,0.0,0.0,0.2,1.0,0.34,0.23,0.18,0.19,0.27,0.49,0.68,0.98,1.42,0.01862,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0559
0.5509,0.4806,0.4305,0.4023,0.1139,0.0,0.0,0.2,1.0,0.33,0.22,0.17,0.19,0.26,0.47,0.65,0.94,1.47,0.013833,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0362,0.0203
0.5441,0.5403,0.4305,0.4023,0.1139,0.0,0.0,0.2,1.0,0.31,0.21,0.17,0.18,0.24,0.45,0.62,0.99,1.46,0.008369,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0251
0.5584,0.5403,0.4305,0.4023,0.1139,0.0,0.0,0.2,1.0,0.31,0.21,0.16,0.18,0.24,0.45,0.62,0.98,1.48,0.004984,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015
0.5935,0.5403,0.4305,0.4023,0.1139,0.0,0.0,0.2,1.0,0.3,0.2,0.16,0.17,0.23,0.43,0.6,0.95,1.51,0.009442,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0278,0.0
0.4651,0.5498,0.464,0.4023,0.1139,0.0,0.0,0.2,1.0,0.32,0.22,0.17,0.18,0.25,0.47,0.68,1.07,1.37,0.027795,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0834
0.5371,0.5498,0.464,0.4023,0.1139,0.0,0.0,0.2,1.0,0.31,0.2,0.16,0.17,0.24,0.44,0.64,1.01,1.45,0.010041,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301
0.5901,0.5498,0.464,0.4023,0.1139,0.0,0.0,0.2,1.0,0.29,0.19,0.15,0.17,0.23,0.42,0.61,0.96,1.51,0.006013,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0
0.529,0.595,0.464,0.4023,0.1139,0.0,0.0,0.2,1.0,0.3,0.2,0.16,0.17,0.23,0.43,0.62,1.05,1.45,0.011988,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036
0.5717,0.595,0.464,0.4023,0.1139,0.0,0.0,0.2,1.0,0.29,0.19,0.15,0.16,0.22,0.41,0.6,1.01,1.49,0.002489,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0,0.0056
0.5434,0.5477,0.4948,0.4023,0.1139,0.0,0.0,0.2,1.0,0.3,0.2,0.16,0.17,0.23,0.43,0.65,1.0,1.46,0.008536,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256
0.584,0.5477,0.4948,0.4023,0.1139,0.0,0.0,0.2,1.0,0.29,0.19,0.15,0.16,0.22,0.41,0.63,0.97,1.5,0.004711,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.0
0.5238,0.593,0.4948,0.4023,0.1139,0.0,0.0,0.2,1.0,0.29,0.19,0.15,0.17,0.23,0.42,0.64,1.05,1.44,0.013244,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0397
0.5661,0.593,0.4948,0.4023,0.1139,0.0,0.0,0.2,1.0,0.28,0.19,0.15,0.16,0.22,0.4,0.62,1.01,1.49,0.003179,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095
0.6013,0.593,0.4948,0.4023,0.1139,0.0,0.0,0.2,1.0,0.27,0.18,0.14,0.15,0.21,0.39,0.6,0.98,1.52,0.006994,7,0.0,0.0,0.0,0.0,0.0,0.0204,0.0048,0.0,0.0
0.4958,0.4846,0.4864,0.4701,0.1139,0.0,0.0,0.2,1.0,0.31,0.21,0.16,0.18,0.24,0.5,0.71,0.99,1.41,0.020102,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0603
0.5458,0.4846,0.4864,0.4701,0.1139,0.0,0.0,0.2,1.0,0.3,0.2,0.16,0.17,0.23,0.48,0.68,0.95,1.46,0.012502,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0289,0.0239
0.5494,0.6355,0.464,0.4023,0.1139,0.0,0.0,0.2,1.0,0.28,0.19,0.15,0.16,0.22,0.4,0.59,1.06,1.47,0.01059,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0235,0.0,0.0213
0.5007,0.5363,0.5517,0.4023,0.1139,0.0,0.0,0.2,1.0,0.3,0.2,0.16,0.17,0.23,0.43,0.71,1.03,1.41,0.018891,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0567
0.5436,0.5363,0.5517,0.4023,0.1139,0.0,0.0,0.2,1.0,0.29,0.19,0.15,0.16,0.22,0.41,0.69,0.99,1.46,0.008488,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0255
0.5762,0.5363,0.5517,0.4023,0.1139,0.0,0.0,0.2,1.0,0.28,0.19,0.15,0.16,0.22,0.4,0.67,0.96,1.5,0.005247,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155,0.0025
