x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9,Fitness,Nc,dy_err1,dy_err2,dy_err3,dy_err4,dy_err5,dy_err6,dy_err7,dy_err8,dy_err9
30,10,30,10,10,30,30,30,10,4.47,3.3,2.77,4.52,1.53,1.9,3.59,2.86,6.02,0.203352,3,0.2554,0.0574,0.3836,0.059,0.3882,0.0484,0.0,0.0,0.0
0.0,20.0,42.0,20.0,4.04,60.0,60.0,30.0,0.0,6.45,3.17,4.97,5.06,2.44,1.67,2.81,3.01,5.59,0.063834,6,0.0,0.0956,0.0,0.0,0.0241,0.1642,0.0,0.0,0.0
0.0,20.0,46.3227,23.3344,4.04,57.7041,57.5689,30.0,0.0,6.33,3.32,4.89,4.94,2.45,1.92,2.67,2.8,5.53,0.022999,6,0.0,0.0521,0.0,0.0,0.0181,0.0415,0.0,0.0,0.0
0.0,20.7645,49.3223,25.9233,4.04,55.7015,56.4688,30.0,0.0,6.22,3.42,4.89,4.8,2.47,2.08,2.51,2.61,5.45,0.008962,6,0.0,0.0241,0.0,0.0001,0.0119,0.0,0.0,0.0,0.0
0.0,20.7645,50.4205,28.5967,4.0169,55.3796,56.5209,30.0,0.0,6.25,3.43,4.99,4.76,2.57,2.17,2.5,2.6,5.44,0.007176,6,0.0,0.0197,0.0,0.0084,0.0,0.0,0.002,0.0,0.0
0.0,20.5607,47.8213,27.2652,3.8203,55.1199,56.5209,30.0,0.0,6.2,3.35,4.94,4.8,2.51,2.04,2.6,2.7,5.49,0.014403,7,0.0,0.0432,0.0,0.0003,0.0,0.0,0.0,0.0,0.0
0.0,20.5607,49.0997,24.4694,3.5813,53.7209,56.5209,30.0,0.0,6.15,3.52,4.91,4.8,2.44,2.1,2.52,2.59,5.47,0.00737,7,0.0,0.0,0.0,0.0008,0.0221,0.0,0.0,0.0,0.0
0.0,20.5607,49.0997,27.013,3.3589,53.9444,56.5997,30.0,0.0,6.17,3.46,4.97,4.77,2.52,2.11,2.54,2.62,5.47,0.004716,7,0.0,0.0126,0.0,0.0064,0.0,0.0,0.0,0.0,0.0
0.0,20.5607,50.0616,26.2369,3.1749,53.9021,56.5997,30.0,0.0,6.19,3.53,4.97,4.78,2.51,2.16,2.5,2.57,5.47,0.001545,8,0.0,0.0,0.0,0.0046,0.0,0.0,0.0,0.0,0.0
0.0,20.5607,50.0616,25.8726,2.6432,55.0074,56.5997,30.0,0.0,6.26,3.53,4.97,4.83,2.53,2.16,2.53,2.61,5.49,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
