x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9,Fitness,Nc,dy_err1,dy_err2,dy_err3,dy_err4,dy_err5,dy_err6,dy_err7,dy_err8,dy_err9
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.94,27.88,1.13,1.04,20.44,83.76,11.81,1.83,4.28,0.323969,3,0.4115,0.6558,0.06,0.3871,0.0,0.0,0.0,0.0834,0.4298
1.0,4.0,4.0,4.0,4.0,2.0,2.6,4.0,1.0,6.19,90.27,1.6,2.94,9.6,15.48,4.45,2.74,8.34,0.357734,6,0.0,0.0,0.0,0.0,0.4351,0.8089,0.5551,0.0,0.0
1.6,3.4,3.4,4.0,4.0,1.46,2.26,3.4,1.0,4.74,92.0,1.54,2.13,14.38,71.17,5.6,2.68,7.85,0.161583,5,0.0514,0.0,0.0,0.0,0.1541,0.1214,0.4403,0.0,0.0
1.5824,3.1237,3.3716,4.0,4.0,1.46,2.1407,3.0344,1.3505,4.44,91.58,1.46,1.83,15.55,85.36,6.91,2.6,7.67,0.113282,6,0.1118,0.0,0.0,0.0,0.0851,0.0,0.3095,0.0,0.0
1.3555,3.2728,3.0606,4.0,4.0,1.46,1.5245,1.7353,2.2816,4.62,89.25,1.39,1.72,19.03,81.88,11.32,2.46,7.46,0.025268,7,0.0756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049
1.3555,3.2889,3.6163,4.0,4.0,1.46,1.5245,2.025,2.6396,4.91,90.12,1.4,1.76,17.74,81.39,10.57,2.41,7.5,0.005822,7,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003
1.3555,3.3131,3.6228,4.0,4.0,1.46,1.5245,2.0608,2.7934,4.86,90.1,1.39,1.78,17.71,80.37,10.46,2.38,7.51,0.009442,7,0.0272,0.0,0.0,0.0,0.0,0.0077,0.0,0.0,0.0
1.3555,3.2502,3.6296,4.0,4.0,1.4599,1.5245,2.0948,2.8558,4.81,90.1,1.38,1.75,17.73,83.59,10.37,2.37,7.5,0.012929,7,0.0388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
1.3555,3.2528,3.8224,4.0,4.0,1.4599,1.5245,2.245,3.0128,4.96,90.55,1.36,1.77,17.18,83.46,9.89,2.35,7.52,0.004524,7,0.0073,0.0,0.0,0.0,0.0,0.0,0.0115,0.0,0.0
1.3549,3.2534,3.8252,4.0,4.0,1.4599,1.5245,2.1841,3.0494,4.97,90.53,1.36,1.76,17.2,83.49,10.08,2.34,7.51,0.002178,8,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3549,3.2539,3.828,4.0,4.0,1.4599,1.5245,2.2121,3.1557,5.07,90.49,1.33,1.76,17.2,83.41,9.99,2.32,7.52,0.000274,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0
1.3521,3.2539,3.828,4.0,4.0,1.4599,1.5245,2.1741,3.1557,5.06,90.47,1.33,1.76,17.21,83.44,10.12,2.32,7.51,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
