x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9,Fitness,Nc,dy_err1,dy_err2,dy_err3,dy_err4,dy_err5,dy_err6,dy_err7,dy_err8,dy_err9
5,5,5,5,5,5,5,5,5,7.4,1.52,0.76,0.37,7.15,1.44,0.9,3.96,1.89,0.892897,0,0.2601,0.9806,0.9842,0.9693,0.9702,0.9639,0.9102,0.9391,0.8106
9.0,9.0,5.83,8.21,9.0,9.0,9.0,5.8,9.0,7.91,120.17,44.6,8.07,336.65,51.92,10.68,25.12,14.02,0.243211,5,0.2091,0.0,0.0707,0.3275,0.0,0.0,0.0,0.6135,0.0
9.0,7.316,8.5527,8.21,9.0,9.0,8.2851,5.6502,9.0,19.79,50.75,46.32,13.46,451.9,38.52,9.02,50.92,7.7,0.161324,3,0.0,0.3493,0.035,0.0,0.0,0.037,0.0978,0.2166,0.2305
9.0,7.6614,8.5911,8.3702,8.7703,9.0,8.2162,6.2136,9.0,17.47,49.33,43.94,14.66,382.22,42.52,8.92,53.58,9.07,0.146669,4,0.0,0.3676,0.0846,0.0,0.0,0.0,0.1083,0.1757,0.0934
9.0,8.466,8.7627,8.7131,8.4731,9.0,8.29,5.9693,9.0,11.76,55.96,44.64,15.55,344.63,42.9,9.27,60.24,12.78,0.102963,5,0.0,0.2826,0.0699,0.0,0.0,0.0,0.0729,0.0732,0.0
9.0,8.466,8.787,8.7901,8.2313,9.0,8.549,5.9139,9.0,11.24,73.54,45.41,13.65,282.37,46.96,9.76,59.89,10.95,0.037921,5,0.0,0.0571,0.054,0.0,0.0,0.0,0.0239,0.0786,0.0
9.0,8.466,8.7876,8.7928,8.2278,9.0,8.6705,5.8834,9.0,11.06,82.08,45.66,12.62,268.39,48.84,9.99,59.17,10.3,0.034049,6,0.0,0.0,0.0488,0.0,0.0,0.0,0.001,0.0897,0.0
9.0,8.466,8.7896,8.9452,8.2278,9.0,8.6827,5.7943,9.0,11.04,82.57,46.09,13.2,271.73,48.94,10.11,61.63,10.31,0.021797,7,0.0,0.0,0.0398,0.0,0.0,0.0,0.0,0.0519,0.0
9.0,8.466,8.7899,8.9848,8.2278,9.0,8.6827,5.7582,9.0,11.04,82.46,46.25,13.38,273.68,48.81,10.14,62.31,10.33,0.018405,7,0.0,0.0,0.0365,0.0,0.0,0.0,0.0,0.0414,0.0
9.0,8.466,8.79,8.9957,8.2278,9.0,8.6827,5.7299,9.0,11.04,82.44,46.36,13.43,275.19,48.63,10.15,62.5,10.33,0.017149,7,0.0,0.0,0.0341,0.0,0.0,0.0,0.0,0.0385,0.0
9.0,8.466,8.8888,8.9988,8.2278,9.0,8.6827,5.6724,9.0,11.02,81.74,46.58,13.44,278.23,48.2,10.15,64.11,10.31,0.010834,7,0.0,0.0,0.0295,0.0,0.0,0.0,0.0,0.0136,0.0
9.0,8.466,8.8888,8.9996,8.2278,9.0,8.6827,5.6251,9.0,11.02,81.74,46.76,13.44,280.7,47.84,10.16,64.13,10.31,0.009679,7,0.0,0.0,0.0258,0.0,0.0,0.0,0.0,0.0134,0.0
9.0,8.466,8.8888,8.9999,8.2278,9.0,8.6827,5.6161,9.0,11.02,81.74,46.8,13.44,281.17,47.77,10.16,64.13,10.31,0.009457,7,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0133,0.0
9.0,8.466,8.8888,9.0,8.2278,9.0,8.6827,5.5782,9.0,11.02,81.75,46.94,13.44,283.12,47.48,10.16,64.13,10.31,0.008596,7,0.0,0.0,0.0221,0.0,0.0,0.0,0.0,0.0133,0.0
9.0,8.466,8.8888,9.0,8.2278,9.0,8.6827,5.5464,9.0,11.02,81.75,47.06,13.44,284.75,47.25,10.17,64.13,10.31,0.007908,7,0.0,0.0,0.0196,0.0,0.0,0.0,0.0,0.0133,0.0
9.0,8.466,8.8888,9.0,8.2278,9.0,8.6827,5.5194,9.0,11.02,81.75,47.16,13.44,286.11,47.05,10.17,64.13,10.32,0.007349,7,0.0,0.0,0.0176,0.0,0.0,0.0,0.0,0.0133,0.0
9.0,8.466,8.8888,9.0,8.2278,9.0,8.6827,5.4964,9.0,11.02,81.75,47.24,13.44,287.27,46.88,10.18,64.13,10.32,0.006896,7,0.0,0.0,0.0158,0.0,0.0,0.0,0.0,0.0133,0.0
9.0,8.466,8.8888,9.0,8.2278,9.0,8.6827,5.4552,9.0,11.02,81.76,47.39,13.44,289.32,46.58,10.18,64.13,10.32,0.006145,7,0.0,0.0,0.0127,0.0,0.0,0.0,0.0,0.0133,0.0
9.0,8.466,8.8888,9.0,8.2278,9.0,8.6827,5.4411,9.0,11.02,81.76,47.44,13.44,290.02,46.48,10.18,64.13,10.32,0.005909,7,0.0,0.0,0.0117,0.0,0.0,0.0,0.0,0.0133,0.0
9.0,8.466,8.8888,9.0,8.2278,9.0,8.6827,5.4119,9.0,11.02,81.76,47.54,13.44,291.45,46.27,10.19,64.13,10.32,0.005463,7,0.0,0.0,0.0095,0.0,0.0,0.0,0.0,0.0133,0.0
9.0,8.466,8.8888,9.0,8.2278,9.0,8.6827,5.4034,9.0,11.02,81.76,47.57,13.44,291.87,46.22,10.19,64.13,10.32,0.005345,7,0.0,0.0,0.0089,0.0,0.0,0.0,0.0,0.0133,0.0
9.0,8.466,8.9793,9.0,8.2278,9.0,8.6827,5.3959,9.0,11.01,81.12,47.6,13.44,292.23,46.18,10.18,65.62,10.3,0.002805,8,0.0,0.0,0.0084,0.0,0.0,0.0,0.0,0.0,0.0
9.0,8.466,8.9793,9.0,8.2278,9.0,8.6827,5.3866,9.0,11.01,81.12,47.63,13.44,292.69,46.12,10.18,65.62,10.3,0.002579,8,0.0,0.0,0.0077,0.0,0.0,0.0,0.0,0.0,0.0
9.0,8.466,8.9793,9.0,8.2278,9.0,8.6827,5.3788,9.0,11.01,81.12,47.66,13.44,293.07,46.06,10.18,65.61,10.3,0.00239,8,0.0,0.0,0.0072,0.0,0.0,0.0,0.0,0.0,0.0
9.0,8.466,8.9793,9.0,8.2278,9.0,8.6827,5.3724,9.0,11.01,81.12,47.68,13.44,293.38,46.02,10.18,65.61,10.3,0.002235,8,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0
9.0,8.466,8.9793,9.0,8.2278,9.0,8.6827,5.367,9.0,11.01,81.12,47.7,13.44,293.64,45.98,10.18,65.61,10.3,0.002105,8,0.0,0.0,0.0063,0.0,0.0,0.0,0.0,0.0,0.0
9.0,8.466,8.9793,9.0,8.2278,9.0,8.6827,5.3625,9.0,11.01,81.12,47.71,13.44,293.85,45.95,10.18,65.61,10.3,0.001996,8,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0
9.0,8.466,8.9793,9.0,8.2278,9.0,8.6827,5.3588,9.0,11.01,81.12,47.73,13.44,294.03,45.92,10.18,65.61,10.3,0.001907,8,0.0,0.0,0.0057,0.0,0.0,0.0,0.0,0.0,0.0
9.0,8.466,8.9793,9.0,8.2278,9.0,8.6827,5.3557,9.0,11.01,81.12,47.74,13.44,294.18,45.9,10.18,65.61,10.3,0.001833,8,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0
9.0,8.466,8.9793,9.0,8.2278,9.0,8.6827,5.3531,9.0,11.01,81.12,47.75,13.44,294.31,45.89,10.18,65.61,10.3,0.00177,8,0.0,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0
9.0,8.466,8.9793,9.0,8.2278,9.0,8.6827,5.351,9.0,11.01,81.12,47.75,13.44,294.41,45.87,10.18,65.61,10.3,0.00172,8,0.0,0.0,0.0052,0.0,0.0,0.0,0.0,0.0,0.0
9.0,8.466,8.9793,9.0,8.2278,9.0,8.6827,5.3213,9.0,11.01,81.12,47.85,13.44,295.83,45.67,10.18,65.61,10.3,0.001011,8,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
9.0,8.466,8.9793,9.0,8.2278,9.0,8.6827,5.3017,9.0,11.01,81.13,47.92,13.44,296.76,45.54,10.19,65.61,10.3,0.000547,8,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0
9.0,8.466,8.9793,9.0,8.2278,9.0,8.6827,5.2854,9.0,11.0,81.13,47.98,13.44,297.53,45.43,10.19,65.61,10.3,0.000164,8,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
9.0,8.466,8.9793,9.0,8.2278,9.0,8.6827,5.2718,9.0,11.0,81.13,48.02,13.44,298.17,45.34,10.19,65.61,10.3,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
