x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9,Fitness,Nc,dy_err1,dy_err2,dy_err3,dy_err4,dy_err5,dy_err6,dy_err7,dy_err8,dy_err9
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,41.22,60.98,20.7,91.44,79.74,110.37,81.84,55.26,41.36,0.317745,3,0.313,0.1288,0.7413,0.0,0.2026,0.0,0.0,0.1498,0.4256
5.0,5.0,0.0,0.3,1.5,5.0,4.64,5.0,0.0,60.49,79.15,95.82,46.78,111.89,118.52,71.92,71.11,72.68,0.056574,7,0.0,0.0,0.0,0.1647,0.0,0.0,0.0411,0.0,0.0
5.0,5.0,0.5784,0.2696,1.5,5.0,4.64,4.5005,0.0,60.28,72.16,95.24,55.84,108.79,120.16,71.51,68.44,68.18,0.023523,6,0.0,0.0,0.0,0.0029,0.0,0.0,0.0465,0.0,0.053
5.0,5.0,1.0925,0.4149,1.5,4.415,4.64,4.0342,0.0,60.31,67.6,88.8,60.92,106.77,109.89,73.41,66.65,70.44,0.015268,6,0.0,0.0344,0.0,0.0,0.0,0.0,0.0212,0.0,0.0216
5.0,5.0,1.5359,0.4969,1.5,3.9138,4.64,4.2098,0.0,60.43,70.62,83.99,55.76,107.95,100.18,76.56,66.4,75.88,0.001452,8,0.0,0.0,0.0,0.0044,0.0,0.0,0.0,0.0,0.0
5.0,5.0,1.5359,0.4969,1.5,3.9138,4.64,3.9665,0.0,60.1,67.44,83.67,59.32,106.36,100.6,75.83,65.26,73.92,0.012191,8,0.0,0.0366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,1.5359,0.481,1.5,3.9138,4.64,4.0855,0.0,60.17,68.9,83.76,57.47,107.0,100.29,76.1,65.7,74.8,0.005243,8,0.0,0.0157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,1.5359,0.4668,1.5,3.9138,4.64,4.1289,0.0,60.21,69.46,83.8,56.79,107.25,100.19,76.22,65.87,75.13,0.002577,8,0.0,0.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,1.5359,0.4538,1.5,3.9138,4.64,4.1928,0.0,60.31,70.33,83.89,55.84,107.68,100.09,76.44,66.17,75.65,0.000963,8,0.0,0.0,0.0,0.0029,0.0,0.0,0.0,0.0,0.0
5.0,5.0,1.5359,0.4538,1.5,3.9138,4.64,3.9429,0.0,60.01,67.11,83.58,59.52,106.1,100.57,75.74,65.04,73.67,0.013738,8,0.0,0.0412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,1.5359,0.434,1.5,3.9138,4.64,4.0652,0.0,60.05,68.58,83.66,57.6,106.73,100.22,75.98,65.47,74.55,0.006764,8,0.0,0.0203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,1.5359,0.3661,1.5,3.9138,4.64,4.2027,0.0,60.16,70.36,83.76,55.4,107.49,99.89,76.36,65.97,75.58,0.003586,8,0.0,0.0,0.0,0.0108,0.0,0.0,0.0,0.0,0.0
5.0,5.0,1.5359,0.3661,1.5,3.9138,4.64,3.9587,0.0,59.84,67.19,83.44,58.98,105.91,100.33,75.64,64.84,73.63,0.013442,6,0.0026,0.0402,0.0,0.0,0.0,0.0,0.0,0.0024,0.0
5.0,5.0,1.4268,0.4309,1.7011,3.9138,4.6801,4.079,0.5569,61.8,69.57,84.26,58.25,106.96,99.77,76.43,67.14,75.49,0.002049,8,0.0,0.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,1.4268,0.4208,1.7011,3.9138,4.6801,4.1227,0.5569,61.85,70.13,84.3,57.57,107.22,99.67,76.56,67.32,75.83,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
