x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9,Fitness,Nc,dy_err1,dy_err2,dy_err3,dy_err4,dy_err5,dy_err6,dy_err7,dy_err8,dy_err9
4.0,3.7,7.5,1.8,2.2,0.8,0.3,6.0,0.5,22.42,19.21,16.02,17.05,20.35,32.14,29.58,20.94,27.95,0.293939,1,0.3406,0.2316,0.3323,0.0526,0.0,0.4644,0.2415,0.1622,0.441
1.17,3.58,14.96,1.8,2.1,1.4,0.48,30.0,2.5,34.77,25.93,24.55,18.46,5.61,59.24,40.12,26.85,54.98,0.066264,7,0.0,0.0,0.0,0.0,0.1984,0.0127,0.0,0.0,0.0
1.1637,3.58,14.96,1.7186,2.1,1.1742,0.3911,30.0,1.9248,25.36,29.86,23.3,18.09,16.94,51.19,38.15,24.61,43.67,0.107363,3,0.254,0.0,0.0291,0.0,0.0,0.1469,0.0219,0.0156,0.1267
1.1359,3.5881,14.9641,1.7438,2.1227,1.2638,0.4135,30.0,2.1615,28.89,26.03,23.89,18.27,13.04,54.71,38.84,25.44,47.87,0.05983,4,0.1504,0.0,0.0045,0.0,0.0,0.0881,0.0042,0.0,0.0425
1.1359,3.5943,14.9641,1.7438,2.1421,1.3235,0.4318,30.0,2.2679,31.42,22.99,24.21,18.4,11.01,56.46,39.36,25.76,50.31,0.041782,6,0.0759,0.0805,0.0,0.0,0.0,0.0589,0.0,0.0,0.0
1.1359,3.5712,14.9641,1.7438,2.1277,1.3402,0.4324,30.0,2.3188,31.77,25.31,24.18,18.31,10.44,57.08,39.25,25.86,51.14,0.027256,7,0.0657,0.0,0.0,0.0,0.0,0.0487,0.0,0.0,0.0
1.1359,3.5712,14.9641,1.7438,2.1466,1.3561,0.4332,30.0,2.3719,32.71,23.18,24.36,18.34,9.75,58.16,39.43,26.03,52.01,0.029177,6,0.038,0.0726,0.0,0.0,0.0,0.0307,0.0,0.0,0.0
1.1359,3.5338,14.9641,1.7438,2.1397,1.3609,0.4336,30.0,2.3914,32.79,25.35,24.24,18.17,9.57,58.38,39.25,26.05,52.21,0.014868,7,0.0356,0.0,0.0,0.0,0.0,0.0269,0.0,0.0,0.0
1.1359,3.5338,14.9641,1.7438,2.1515,1.3811,0.4341,30.0,2.4122,33.59,24.02,24.33,18.2,9.07,58.94,39.38,26.14,53.01,0.01491,6,0.0119,0.0394,0.0,0.0,0.0,0.0176,0.0,0.0,0.0
1.1359,3.5165,14.9641,1.7438,2.1445,1.3873,0.4348,30.0,2.4199,33.67,25.4,24.26,18.13,8.94,59.0,39.3,26.15,53.23,0.006398,7,0.0096,0.0,0.0,0.0,0.0,0.0166,0.0,0.0,0.0
1.1359,3.5165,14.9641,1.7438,2.1576,1.3937,0.4352,30.0,2.4284,34.11,23.98,24.32,18.14,8.74,59.33,39.39,26.2,53.5,0.01414,7,0.0,0.0409,0.0,0.0,0.0,0.0112,0.0,0.0,0.0
1.1359,3.4789,14.9641,1.7438,2.1276,1.3937,0.4352,30.0,2.4333,33.6,28.62,24.09,17.96,8.8,59.03,39.08,26.15,53.46,0.006672,6,0.0116,0.0,0.0,0.0025,0.0,0.0161,0.0,0.0,0.0
1.1359,3.5711,14.9641,1.7438,2.1533,1.3916,0.4351,30.0,2.4256,33.96,22.28,24.51,18.39,8.75,59.21,39.61,26.21,53.54,0.036525,6,0.0011,0.1088,0.0,0.0,0.0,0.0132,0.0,0.0,0.0
1.1359,3.5434,14.9641,1.7438,2.1325,1.3943,0.4356,30.0,2.4461,33.76,25.53,24.39,18.26,8.61,59.27,39.4,26.21,53.73,0.004687,7,0.0071,0.0,0.0,0.0,0.0,0.0121,0.0,0.0,0.0
1.1359,3.5434,14.9641,1.7438,2.1467,1.3972,0.4359,30.0,2.4687,34.18,23.98,24.48,18.27,8.35,59.81,39.5,26.29,53.99,0.013619,7,0.0,0.0407,0.0,0.0,0.0,0.0032,0.0,0.0,0.0
1.1359,3.5236,14.9641,1.7438,2.1328,1.3972,0.4359,30.0,2.4817,33.99,26.21,24.39,18.17,8.3,59.84,39.35,26.29,54.05,0.000914,7,0.0003,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,0.0
1.1359,3.5236,14.9641,1.7438,2.1365,1.3986,0.4362,30.0,2.4893,34.13,25.8,24.42,18.17,8.2,60.0,39.38,26.32,54.15,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
