x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9,Fitness,Nc,dy_err1,dy_err2,dy_err3,dy_err4,dy_err5,dy_err6,dy_err7,dy_err8,dy_err9
40,30,30,28,30,30,40,30,20,1.7,3.16,2.4,3.92,2.49,3.06,3.31,0.82,1.9,0.195539,3,0.1901,0.0113,0.0004,0.0,0.0035,0.0,0.0,0.5463,0.0968
32.5682,30.0,31.0829,25.6472,30.0,30.4735,38.4656,30.0,29.033,2.13,3.12,2.46,3.11,2.33,2.53,3.32,1.67,2.31,0.033661,6,0.0,0.0257,0.0,0.0,0.0678,0.0,0.0,0.0703,0.0
30.6583,30.0,30.0931,23.7673,30.0,29.9841,38.1824,30.0,29.3124,2.12,3.26,2.55,2.95,2.41,2.46,3.39,1.78,2.23,0.013665,6,0.0,0.0,0.0,0.0,0.0364,0.0144,0.0,0.0123,0.0
30.3104,30.0,30.0931,23.7673,30.0,29.9347,37.8837,29.2583,27.8302,2.14,3.25,2.48,2.89,2.53,2.55,3.33,1.57,2.02,0.044846,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1291,0.0379
30.3104,30.0,30.0931,23.7673,30.0,31.0101,37.9327,29.2583,28.8262,2.12,3.24,2.43,2.89,2.46,2.51,3.36,1.67,2.18,0.02497,7,0.0,0.0,0.0,0.0,0.0148,0.0,0.0,0.0734,0.0
29.1301,30.0,30.0931,23.7673,30.0,30.461,37.432,29.2583,29.5117,2.19,3.2,2.49,2.74,2.51,2.43,3.29,1.8,2.13,0.009715,7,0.0,0.0003,0.0,0.0,0.0,0.0291,0.0,0.0,0.0
29.1301,30.0,29.9538,23.7261,30.0,30.461,37.7174,28.5564,28.424,2.18,3.25,2.41,2.75,2.56,2.54,3.32,1.65,2.0,0.031711,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0818,0.0486
29.1301,30.0,29.9538,23.7261,30.0,31.4762,37.773,28.5564,29.3021,2.15,3.25,2.36,2.75,2.5,2.5,3.34,1.74,2.15,0.012483,7,0.0,0.0,0.0182,0.0,0.0,0.0,0.0,0.0327,0.0
29.1301,30.0,29.4277,23.7261,30.0,30.6646,37.2295,28.5882,29.9559,2.12,3.22,2.44,2.73,2.5,2.43,3.27,1.89,2.06,0.011406,7,0.0,0.0,0.0,0.0,0.0,0.0288,0.0,0.0,0.0185
29.1301,30.0,29.4277,23.7261,30.0,31.721,37.2877,27.9374,28.8672,2.09,3.23,2.33,2.72,2.56,2.52,3.27,1.69,2.04,0.024113,5,0.0024,0.0,0.0294,0.0,0.0,0.0,0.0,0.0592,0.0293
28.995,30.0,29.5383,23.7261,30.0,31.6048,36.8292,27.9854,29.6617,2.12,3.17,2.35,2.68,2.54,2.45,3.22,1.82,2.04,0.013008,5,0.0,0.0084,0.0193,0.0,0.0,0.0194,0.0,0.0,0.0265
28.995,30.0,28.8928,23.682,30.0,31.8143,36.7755,27.4333,28.6778,2.05,3.21,2.33,2.68,2.6,2.53,3.2,1.69,1.94,0.034658,5,0.0243,0.0,0.0303,0.0,0.0,0.0,0.0,0.0608,0.0748
28.8546,30.0,29.1525,23.682,30.0,31.6771,36.3805,27.4933,29.5203,2.09,3.15,2.34,2.64,2.58,2.46,3.16,1.83,1.96,0.025394,3,0.0071,0.0154,0.0233,0.0,0.0,0.0163,0.0119,0.0,0.0676
28.7265,30.0,29.1763,23.6132,30.0,31.6923,36.8418,26.9925,28.5202,2.1,3.22,2.28,2.65,2.62,2.56,3.21,1.69,1.88,0.043302,5,0.0016,0.0,0.0488,0.0,0.0,0.0,0.0,0.0615,0.1035
28.1833,30.0,30.2167,23.6132,30.0,32.8671,36.3327,27.612,31.7064,2.2,3.08,2.25,2.57,2.48,2.33,3.2,2.1,2.21,0.032829,4,0.0,0.0387,0.0611,0.0,0.0076,0.0664,0.0012,0.0,0.0
28.1833,30.0,29.5356,23.5389,30.0,31.9396,36.4799,27.0674,29.0087,2.15,3.16,2.28,2.58,2.63,2.51,3.18,1.75,1.92,0.034303,4,0.0,0.0132,0.0502,0.0,0.0,0.0,0.0069,0.0285,0.0839
29.1301,30.0,29.4603,23.7083,30.0,30.9726,37.5349,29.2773,30.22,2.11,3.24,2.49,2.75,2.47,2.4,3.32,1.89,2.21,0.014368,7,0.0,0.0,0.0,0.0,0.0129,0.0411,0.0,0.0,0.0
28.887,30.0,29.4603,23.7083,30.0,30.9726,37.2795,28.5616,27.8876,2.12,3.23,2.43,2.71,2.62,2.53,3.26,1.55,1.98,0.050175,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1393,0.057
28.887,30.0,29.4603,23.7083,30.0,31.8893,37.3483,28.5616,28.8911,2.1,3.22,2.38,2.71,2.56,2.49,3.28,1.66,2.14,0.0257,5,0.0004,0.0,0.0081,0.0,0.0,0.0042,0.0,0.0766,0.0
28.7607,30.0,29.5866,23.7083,30.0,30.8062,36.8427,27.9663,28.6298,2.15,3.19,2.39,2.66,2.61,2.5,3.21,1.7,1.91,0.035733,5,0.0,0.0043,0.005,0.0,0.0,0.0,0.0,0.0561,0.0911
