x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9,Fitness,Nc,dy_err1,dy_err2,dy_err3,dy_err4,dy_err5,dy_err6,dy_err7,dy_err8,dy_err9
5,3,3,3,3,3,3,3,5,7.56,0.74,50.44,0.05,53.67,0.3,22.12,11.29,3.88,0.613699,2,0.6219,0.9508,0.0,0.999,0.0061,0.9906,0.2627,0.0,0.225
3.47,5.0,5.0,4.72,3.0,5.0,4.58,4.25,3.27,30.53,21.58,15.67,85.56,36.01,40.74,28.53,9.7,8.91,0.215822,5,0.0,0.0,0.5522,0.0,0.3331,0.0,0.049,0.0298,0.0
3.0,4.6,4.6,4.72,3.68,4.6,4.18,3.85,3.22,18.61,13.14,29.17,57.55,52.55,24.9,33.14,13.25,5.46,0.104312,4,0.0694,0.1241,0.1666,0.0,0.0268,0.2219,0.0,0.0,0.0
3.0,4.5598,4.3926,4.72,3.6736,4.5533,4.3234,4.1498,3.22,20.19,15.49,34.33,54.72,53.44,31.33,30.2,12.37,5.14,0.010089,6,0.0,0.0,0.0192,0.0,0.0104,0.021,0.0,0.0,0.0
3.0,4.5045,4.2349,4.72,3.672,4.4901,4.3446,4.2145,3.22,19.97,15.64,37.94,51.04,54.82,32.36,29.48,12.24,4.73,0.018661,6,0.0015,0.0,0.0,0.0,0.0,0.0,0.0173,0.0,0.0532
3.1251,4.5501,4.3244,4.72,3.672,4.4901,4.4899,4.0772,3.22,22.88,14.83,35.96,51.04,52.84,31.84,30.81,11.05,5.41,0.008303,6,0.0,0.0116,0.0,0.0,0.0215,0.005,0.0,0.0,0.0
3.1109,4.4933,4.3244,4.72,3.672,4.4725,4.5001,4.1554,3.22,22.38,15.41,36.14,50.05,54.02,33.35,29.99,11.01,5.32,0.000166,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0
3.1109,4.4933,4.3244,4.72,3.672,4.4725,4.5001,4.0481,3.22,22.42,14.48,36.21,50.05,54.02,31.34,31.09,11.0,5.32,0.013371,7,0.0,0.0344,0.0,0.0,0.0,0.0207,0.0,0.0,0.0
3.1109,4.4933,4.3244,4.72,3.672,4.4954,4.517,4.2505,3.22,22.63,16.54,36.06,51.34,53.85,35.67,28.91,10.88,5.36,0.012199,7,0.0,0.0,0.0,0.0,0.0028,0.0,0.0365,0.0,0.0
3.0985,4.4417,4.3244,4.72,3.672,4.4358,4.517,4.1065,3.22,22.16,14.76,36.38,48.01,55.15,32.44,30.48,10.9,5.27,0.005281,8,0.0,0.0158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0985,4.4417,4.3244,4.72,3.672,4.4521,4.517,4.1283,3.22,22.14,15.08,36.36,48.91,55.06,32.95,30.25,10.9,5.27,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
