x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9,Fitness,Nc,dy_err1,dy_err2,dy_err3,dy_err4,dy_err5,dy_err6,dy_err7,dy_err8,dy_err9
40,40,40,40,40,40,40,40,40,37.57,21.01,31.6,34.06,11.39,60.14,5.55,33.87,29.82,0.353888,1,0.1651,0.4165,0.4254,0.0538,0.6203,0.1981,0.5376,0.0,0.1716
52.24,81.0,54.69,81.0,0.2,2.5,81.0,81.0,16.76,37.96,36.51,54.17,28.37,30.86,102.9,13.85,32.22,38.96,0.087944,6,0.1564,0.0,0.0151,0.2119,0.0,0.0,0.0,0.0,0.0
52.24,81.0,54.69,74.4778,10.5565,2.5,81.0,81.0,14.5031,46.05,33.3,51.85,30.18,30.66,103.05,13.85,32.07,37.16,0.062446,6,0.0,0.0751,0.0573,0.1618,0.0,0.0,0.0,0.0,0.0
52.24,81.0,67.7585,44.2135,5.4514,38.7457,81.0,81.0,8.3188,45.61,35.28,56.98,36.28,31.62,87.1,14.31,29.34,36.82,0.009854,7,0.0,0.0199,0.0,0.0,0.0,0.0,0.0,0.0219,0.0
51.3819,81.0,65.0818,44.5912,5.3463,43.1657,81.0,81.0,7.3743,45.02,37.6,57.15,36.18,31.89,85.05,14.45,29.92,36.78,0.000903,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0
51.1497,81.0,64.389,44.5912,5.2601,43.1657,81.0,81.0,6.5806,44.97,37.59,57.04,36.18,31.86,84.94,14.45,30.11,36.82,0.00022,8,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.1497,81.0,64.389,45.9981,13.6756,43.1657,81.0,81.0,6.4316,48.17,37.96,55.08,35.67,31.82,84.79,14.53,29.79,34.08,0.018137,6,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.0069,0.0532
49.6686,81.0,61.6376,43.3311,10.5108,38.531,81.0,81.0,5.7419,46.76,34.8,54.34,36.37,31.48,87.02,14.24,30.74,35.43,0.012946,6,0.0,0.0334,0.0119,0.0,0.0,0.0,0.0,0.0,0.0158
49.6686,81.0,61.6376,48.8967,6.0425,46.8805,81.0,81.0,5.7419,44.45,40.7,57.35,35.41,32.13,82.79,14.53,30.73,36.39,0.006826,7,0.0122,0.0,0.0,0.0164,0.0,0.0,0.0,0.0,0.0
49.6686,81.0,61.6376,48.8919,13.9318,46.8805,81.0,81.0,5.1555,47.76,40.72,55.19,35.14,32.08,82.68,14.62,30.41,33.68,0.022921,7,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0645
49.6686,81.0,61.6376,45.9771,12.4329,41.788,81.0,81.0,5.1555,47.4,37.13,54.61,35.8,31.69,85.22,14.39,30.61,34.57,0.013551,6,0.0,0.0,0.007,0.0056,0.0,0.0,0.0,0.0,0.0396
51.1497,81.0,65.6438,42.0342,3.5871,37.2222,81.0,81.0,5.9347,45.12,33.97,56.48,36.7,31.43,87.58,14.2,30.03,37.49,0.018824,8,0.0,0.0565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.1497,81.0,65.6438,42.8079,3.5871,42.2566,81.0,81.0,5.9347,44.89,36.69,57.4,36.49,31.78,85.25,14.38,29.92,37.41,0.001212,7,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0
50.2228,81.0,62.1219,43.4511,11.8037,42.2566,81.0,81.0,5.5625,47.19,36.77,54.66,36.21,31.73,85.34,14.44,30.44,34.85,0.010837,7,0.0,0.0,0.0062,0.0,0.0,0.0,0.0,0.0,0.0319
50.2228,81.0,63.5462,43.4511,9.1398,36.4806,81.0,81.0,5.5625,46.7,33.88,54.84,36.41,31.35,87.79,14.17,30.4,35.88,0.01966,6,0.0,0.0588,0.003,0.0,0.0,0.0,0.0,0.0,0.0033
50.2228,81.0,64.8568,44.1978,8.1789,36.9624,81.0,81.0,5.5625,46.51,34.32,55.51,36.3,31.39,87.37,14.14,30.16,36.08,0.015526,8,0.0,0.0466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.1497,81.0,64.389,80.4,5.2601,59.3657,81.0,81.0,6.5806,41.99,60.19,64.53,27.87,33.41,74.17,15.21,29.88,35.73,0.07864,4,0.0668,0.0,0.0,0.2258,0.0,0.011,0.0,0.0039,0.0074
49.1477,81.0,60.7303,73.8294,12.8845,49.5332,81.0,81.0,4.9503,47.15,50.7,58.35,29.79,32.39,79.16,14.7,30.8,32.83,0.064551,7,0.0,0.0,0.0,0.1725,0.0,0.0,0.0,0.0,0.088
49.1477,81.0,60.7303,41.361,6.3764,36.7621,81.0,81.0,2.8163,45.62,33.48,54.7,36.78,31.3,87.45,14.15,31.17,36.75,0.023444,7,0.0,0.0701,0.0054,0.0,0.0,0.0,0.0,0.0,0.0
49.1477,81.0,62.2579,42.003,5.6641,41.0204,81.0,81.0,2.8163,45.46,35.77,55.93,36.62,31.59,85.32,14.26,30.79,36.81,0.002117,8,0.0,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.1477,81.0,62.2579,42.3635,5.6641,44.6891,81.0,81.0,2.8163,45.3,37.83,56.56,36.5,31.86,83.63,14.4,30.7,36.73,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
