x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9,Fitness,Nc,dy_err1,dy_err2,dy_err3,dy_err4,dy_err5,dy_err6,dy_err7,dy_err8,dy_err9
4,5,8,0,4,5,2,5,2,3.52,0.02,0.0,3.59,-0.1,19.87,0.58,0.2,3.2,0.87845,1,0.0,0.9979,0.9998,0.9282,1.0048,0.5584,0.9519,0.9921,0.936
4.0,5.0,8.0,1.0,1.81,4.6,8.0,0.0,8.0,0.9,9.07,28.0,51.5,43.5,68.96,8.54,14.14,27.5,0.229528,6,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.4344,0.45
4.0,5.0,8.0,2.9644,2.9797,4.6244,8.0,0.0,8.0,0.71,15.66,27.38,66.52,30.52,31.2,15.59,24.28,31.23,0.161855,6,0.0,0.0,0.0,0.0,0.0,0.3066,0.0,0.0287,0.3754
4.0,5.0,8.0,2.534,2.9386,4.6244,8.0,0.413,8.0,0.72,13.22,27.48,61.79,30.91,36.12,14.24,18.39,33.25,0.156759,6,0.0,0.0,0.0,0.0,0.0,0.1974,0.0,0.2644,0.3351
4.0,5.0,8.0,2.2355,2.9298,4.6244,8.0,0.6808,8.0,0.72,11.79,27.55,58.91,31.26,39.72,13.39,15.25,34.86,0.169149,6,0.0,0.0,0.0,0.0,0.0,0.1173,0.0,0.39,0.3027
4.0,5.0,8.0,1.958,2.9393,4.6244,8.0,0.7966,8.0,0.71,10.97,27.61,57.3,32.25,43.18,12.67,13.88,36.31,0.174591,6,0.0,0.0,0.0,0.0,0.0,0.0405,0.0,0.4447,0.2738
4.0,5.0,8.0,0.8707,3.1562,4.6244,8.0,0.4212,8.0,0.67,10.44,27.93,57.58,41.12,57.32,10.39,16.79,42.48,0.128452,6,0.0,0.0,0.0,0.0,0.0,0.0,0.1343,0.3284,0.1504
4.0,5.0,8.0,1.047,3.2756,4.6244,8.0,0.3774,8.0,0.65,11.13,27.88,59.28,40.12,53.39,11.0,18.18,43.01,0.105946,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0837,0.2729,0.1397
4.0,5.0,8.0,2.0824,3.609,4.6325,8.0,0.1586,8.0,0.62,14.76,27.58,67.01,34.57,36.8,14.36,24.82,41.74,0.082033,6,0.0,0.0,0.0,0.0,0.0,0.1823,0.0,0.0072,0.1651
4.0,5.0,8.0,1.8088,3.4549,4.6325,8.0,0.3344,8.0,0.64,13.19,27.65,63.62,35.36,41.23,13.28,21.06,41.58,0.081797,6,0.0,0.0,0.0,0.0,0.0,0.0838,0.0,0.1575,0.1685
4.0,5.0,8.0,1.591,3.4002,4.6325,8.0,0.3774,8.0,0.64,12.48,27.7,62.15,36.51,44.5,12.6,19.84,42.01,0.087136,6,0.0,0.0,0.0,0.0,0.0,0.0111,0.0,0.2065,0.1599
4.0,5.0,8.0,1.4123,3.3388,4.6325,8.0,0.4027,8.0,0.65,11.9,27.75,60.92,37.53,47.47,12.02,18.88,42.14,0.096957,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2447,0.1573
4.0,5.0,8.0,1.4123,3.6694,4.6325,8.0,0.1743,8.0,0.61,13.37,27.76,64.89,38.7,44.77,12.63,23.65,45.62,0.034332,6,0.0,0.0,0.0,0.0,0.0,0.0052,0.0,0.0541,0.0875
4.0,5.0,8.0,1.2546,3.5939,4.6325,8.0,0.2344,8.0,0.62,12.67,27.8,63.34,39.43,47.57,12.09,22.08,45.58,0.048792,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1166,0.0884
4.0,5.0,8.0,1.2546,3.8092,4.6325,8.0,0.1171,8.0,0.6,13.56,27.81,65.76,40.02,45.79,12.48,25.05,48.06,0.012946,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0388
4.0,5.0,8.0,1.2546,3.9429,4.6325,8.0,0.1171,8.0,0.59,13.9,27.81,66.77,39.96,44.7,12.74,26.02,49.86,0.002391,7,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.0,0.0027
4.0,5.0,8.0,1.1467,3.9469,4.6325,8.0,0.1663,8.0,0.58,13.51,27.84,66.05,40.39,46.14,12.46,25.16,50.62,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
