x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9,Fitness,Nc,dy_err1,dy_err2,dy_err3,dy_err4,dy_err5,dy_err6,dy_err7,dy_err8,dy_err9
0.77,0.01,0.84,0.03,0.77,0.01,0.77,0.02,0.8,1.2,1.64,1.24,1.64,1.2,1.64,1.2,1.64,1.23,0.119471,4,0.1694,0.0,0.1416,0.0,0.1694,0.0,0.1694,0.0,0.1495
0.7843,0.0443,0.8667,0.1245,0.8066,0.1362,0.77,0.0942,0.8,1.45,1.46,1.46,1.46,1.46,1.46,1.43,1.46,1.46,0.004347,7,0.0022,0.0,0.0,0.0,0.0,0.0,0.0129,0.0,0.0
0.7872,0.0443,0.8744,0.1245,0.8067,0.163,0.77,0.0981,0.8,1.47,1.45,1.48,1.45,1.49,1.44,1.45,1.45,1.48,0.002381,5,0.0,0.0032,0.0,0.0034,0.0,0.0043,0.0,0.0033,0.0
0.7872,0.0394,0.8433,0.1106,0.7871,0.1539,0.7577,0.0872,0.7796,1.41,1.5,1.43,1.5,1.41,1.5,1.37,1.5,1.4,0.026171,4,0.0299,0.0,0.0155,0.0,0.03,0.0,0.0538,0.0,0.035
0.7921,0.0545,0.87,0.1249,0.8143,0.1815,0.7732,0.1141,0.7808,1.49,1.43,1.5,1.43,1.51,1.43,1.48,1.43,1.48,0.009737,5,0.0,0.014,0.0,0.0143,0.0,0.0159,0.0,0.0142,0.0
0.7921,0.0529,0.8414,0.112,0.7935,0.152,0.7576,0.1012,0.769,1.42,1.49,1.44,1.49,1.43,1.49,1.39,1.49,1.4,0.020396,4,0.0176,0.0,0.0059,0.0,0.0168,0.0,0.0444,0.0,0.0339
0.7953,0.0572,0.8701,0.1293,0.8128,0.1691,0.7776,0.1111,0.7772,1.49,1.43,1.5,1.43,1.5,1.43,1.48,1.43,1.48,0.008535,5,0.0,0.0124,0.0,0.0127,0.0,0.0136,0.0,0.0125,0.0
0.7953,0.0572,0.8318,0.1193,0.8122,0.1484,0.7662,0.1042,0.7757,1.45,1.47,1.46,1.47,1.46,1.47,1.42,1.47,1.43,0.008804,6,0.0017,0.0,0.0,0.0,0.0,0.0,0.0221,0.0,0.0143
0.798,0.0572,0.8459,0.1193,0.8175,0.1807,0.7871,0.1124,0.7965,1.5,1.43,1.52,1.43,1.51,1.42,1.5,1.43,1.5,0.011492,5,0.0,0.0167,0.0,0.0169,0.0,0.0185,0.0,0.0168,0.0
0.798,0.0564,0.8304,0.1126,0.8063,0.1546,0.7773,0.1054,0.7906,1.46,1.46,1.47,1.46,1.47,1.46,1.44,1.46,1.46,0.001778,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0,0.0
0.798,0.0564,0.8324,0.1126,0.8063,0.16,0.7854,0.1059,0.7906,1.47,1.45,1.48,1.45,1.47,1.45,1.46,1.45,1.46,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
